,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,HxTsr.exe,133343971222000000,133343971223000000,940,221,7,17,2
1,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,HxTsr.exe,133343971223000000,133343971224000000,2975,700,18,41,15
2,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,HxTsr.exe,133343971224000000,133343971225000000,1069,219,11,41,4
3,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,HxTsr.exe,133343971225000000,133343971226000000,1473,380,10,35,4
4,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,HxTsr.exe,133343971226000000,133343971227000000,3621,888,25,63,11
5,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,HxTsr.exe,133343971227000000,133343971228000000,5387,1153,40,147,26
6,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,Idle,133343971146000000,133343971147000000,101,27,0,19,9
7,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,Idle,133343971147000000,133343971148000000,55,8,1,16,5
8,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,Idle,133343971148000000,133343971149000000,23,5,2,5,3
9,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,Idle,133343971149000000,133343971150000000,159,43,8,37,2
10,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,Idle,133343971150000000,133343971151000000,368,100,5,47,0
11,vobfus_0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,Idle,133343971151000000,133343971152000000,423,98,3,26,3
