,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859452000000,133343859453000000,964,216,8,19,5
1,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859453000000,133343859454000000,8213,2052,64,200,36
2,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859454000000,133343859455000000,2412,519,28,155,19
3,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859455000000,133343859456000000,1969,432,25,150,13
4,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859456000000,133343859457000000,1735,396,26,126,7
5,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859457000000,133343859458000000,1763,384,25,110,12
6,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859458000000,133343859459000000,1610,351,20,119,8
7,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859459000000,133343859460000000,665,138,7,34,6
8,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859469000000,133343859470000000,10649,1723,51,30,14
9,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859470000000,133343859471000000,13981,2180,57,35,17
10,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859471000000,133343859472000000,13501,2147,64,20,18
11,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859472000000,133343859473000000,11842,1773,55,48,19
12,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859473000000,133343859474000000,1011,246,4,9,4
13,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133343859559000000,133343859560000000,265,58,3,11,5
14,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859302000000,133343859303000000,4389,1213,18,44,9
15,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859303000000,133343859304000000,2044,437,16,55,9
16,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859304000000,133343859305000000,160,35,4,7,1
17,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859305000000,133343859306000000,109,21,4,8,2
18,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859306000000,133343859307000000,907,203,9,25,4
19,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859307000000,133343859308000000,1473,323,13,39,11
20,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859308000000,133343859309000000,2492,652,10,21,5
21,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859309000000,133343859310000000,2454,579,15,43,9
22,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859310000000,133343859311000000,2218,433,22,76,18
23,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,HxTsr.exe,133343859311000000,133343859312000000,3,0,0,0,0
24,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857817000000,133343857818000000,20,13,0,3,7
25,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857818000000,133343857819000000,62,11,5,21,1
26,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857819000000,133343857820000000,30,9,1,8,6
27,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857820000000,133343857821000000,22,5,0,5,2
28,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857821000000,133343857822000000,48,14,0,14,0
29,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857822000000,133343857823000000,66,16,1,15,3
30,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857823000000,133343857824000000,32,11,1,10,3
31,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857824000000,133343857825000000,11,2,0,1,2
32,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857825000000,133343857826000000,123,29,1,22,3
33,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857826000000,133343857827000000,353,88,8,51,1
34,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857827000000,133343857828000000,148,37,2,13,2
35,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857828000000,133343857829000000,173,47,1,16,3
36,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857829000000,133343857830000000,195,39,3,14,3
37,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857830000000,133343857831000000,116,23,1,17,3
38,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857831000000,133343857832000000,42,9,2,15,5
39,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857832000000,133343857833000000,44,8,1,11,6
40,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857833000000,133343857834000000,39,9,1,14,1
41,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857834000000,133343857835000000,50,10,0,13,1
42,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857835000000,133343857836000000,110,28,5,22,6
43,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857836000000,133343857837000000,137,25,2,21,2
44,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857837000000,133343857838000000,63,7,2,14,2
45,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,Idle,133343857838000000,133343857839000000,143,36,5,15,1
