,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,rust5,Idle,133374277870000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13100,2776,40,157,71,2,0,0,0,5,426,24240,4652,97,356,166
1,rust5,Idle,133374277880000000,0,0,0,0,0,2,0,23614,4142,85,182,94,0,0,0,0,0,0,502,101,3,20,5,0,0,0,0,0,0,46,10,2,9,6,0,0,0,0,0,0,17,5,0,4,3,0,0,0,0,0,0,233,53,3,17,10,0,0,0,0,0,0,18,5,0,5,2,0,0,0,0,0,0,321,66,0,8,3,5,0,0,0,43,6295,2793,653,27,128,22,0,0,0,0,16,0,1991,443,16,82,25,0,0,0,0,0,0,614,117,3,31,16
2,rust5,Idle,133374277890000000,0,1,0,0,0,11,935680,12538,2331,91,491,136,0,30,0,0,39,37637520,10060,2008,77,363,113,0,0,0,0,0,0,370,76,6,44,13,0,0,0,0,0,0,31,8,2,6,4,0,0,0,0,22,0,9589,2083,78,406,105,1,0,0,0,44,19267584,14068,2618,102,519,149,1,0,0,0,18,935680,16250,3115,71,369,184,0,0,0,0,0,0,1429,278,9,71,31,0,0,0,0,0,0,1016,235,5,31,15,0,0,0,0,0,0,392,86,7,59,24
3,rust5,Idle,133374277900000000,0,0,0,0,0,0,0,112,25,3,23,9,0,0,0,0,0,0,86,19,3,17,6,0,0,0,0,0,0,279,59,6,53,20,0,0,0,0,0,0,69,16,1,14,7,0,0,0,0,0,0,215,49,4,34,18,0,0,0,0,0,0,716,155,9,82,22,0,0,0,0,1,0,447,90,5,43,17,0,0,0,0,0,0,3753,701,8,102,47,0,0,0,0,0,0,893,210,2,13,7,0,0,0,0,0,0,24,5,2,5,4
4,rust5,Idle,133374277910000000,0,0,0,0,0,0,0,30,7,0,5,3,0,0,0,0,2,0,238,50,4,37,10,0,0,0,0,0,0,720,138,4,43,18,0,0,0,0,0,0,38,8,3,11,5,0,0,0,0,0,0,26,6,0,7,5,0,0,0,0,0,0,315,68,6,34,16,0,0,0,0,0,0,90,21,2,16,10,0,0,0,0,0,0,586,113,4,42,17,0,0,0,0,0,0,2107,455,9,46,22,0,0,0,0,0,0,266,60,5,42,18
5,rust5,Idle,133374277920000000,0,0,0,0,0,0,0,178,38,3,29,12,0,0,0,0,0,0,100,23,1,21,12,0,0,0,0,0,0,155,32,5,26,9,0,0,0,0,0,0,20,6,0,7,3,0,0,0,0,0,0,18,5,1,6,4,0,0,0,0,0,0,24,5,0,6,2,0,0,0,0,0,0,103,25,2,18,10,0,0,0,0,0,0,252,54,4,24,14,0,0,0,0,0,0,1460,342,3,20,11,0,0,0,0,0,0,323,73,8,50,21
6,rust5,Idle,133374277930000000,0,0,0,0,0,0,0,164,36,2,25,13,0,0,0,0,0,0,61,14,1,15,8,0,0,0,0,2,0,400,84,8,57,16,0,0,0,0,0,0,195,44,2,20,10,0,0,0,0,0,0,20,3,1,4,3,0,0,0,0,0,0,55,12,1,15,7,0,0,0,0,0,0,200,45,4,29,12,0,0,0,0,0,0,191,42,4,32,13,0,0,0,0,0,0,2395,512,10,38,19,0,0,0,0,0,0,290,61,8,46,21
7,rust5,Idle,133374277940000000,0,0,0,0,0,0,0,288,66,4,42,19,0,0,0,0,0,0,93,20,0,18,9,0,0,0,0,0,0,278,64,8,40,18,0,0,0,0,0,0,233,51,5,42,20,0,0,0,0,0,0,183,40,1,29,13,0,0,0,0,1,0,747,160,5,32,14,6,0,0,0,45,1395438,19647,3747,57,221,84,2,0,0,0,21,862,15119,3033,57,213,80,0,2,0,0,9,71869,11484,2208,52,253,96,0,0,0,0,0,0,458,87,3,21,10
8,rust5,Idle,133374277950000000,0,0,0,0,0,0,0,592,113,4,27,14,0,0,0,0,0,0,24,5,1,6,4,0,0,0,0,0,0,27,6,1,7,4,0,0,0,0,0,0,17,4,0,5,3,0,0,0,0,0,0,56,12,2,10,6,0,0,0,0,0,0,204,44,2,36,15,2,0,0,0,42,6100,2786,642,30,146,34,0,0,0,0,16,0,1111,237,13,82,25,0,0,0,0,0,0,1124,261,3,20,12,0,0,0,0,0,0,367,79,8,47,23
9,rust5,Idle,133374277960000000,0,0,0,0,0,0,0,218,49,4,37,15,0,0,0,0,0,0,107,23,3,23,10,0,0,0,0,0,0,213,46,4,35,15,0,0,0,0,0,0,294,66,5,40,19,0,0,0,0,0,0,93,21,3,22,9,0,0,0,0,0,0,146,32,3,22,11,0,0,0,0,0,0,82,19,0,15,6,0,0,0,0,0,0,38,9,2,8,5,0,0,0,0,0,0,1253,292,4,15,8,0,0,0,0,0,0,237,50,5,36,16
