,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828290000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2713,507,56,14,2,0,0,0,0,0,0,4288,761,101,0,0,0,0,0,0,0,0,4129,734,99,1,0
1,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828300000000,1,0,0,0,0,0,0,4260,757,101,0,0,0,0,0,0,0,0,3757,665,89,3,0,0,0,0,0,0,0,4089,726,98,0,0,0,0,0,0,0,0,4129,733,96,2,0,0,0,0,0,0,0,4266,757,101,0,0,0,0,0,0,0,0,4256,756,102,1,0,0,0,0,0,0,0,3950,700,94,0,0,0,0,0,0,0,0,4202,748,100,3,0,0,0,0,0,0,0,4256,756,101,1,0,0,0,0,0,0,0,4108,730,97,0,0
2,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828310000000,1,0,0,0,0,0,0,4258,756,102,1,1,0,0,0,0,0,0,4288,762,101,0,0,0,0,0,0,0,0,4292,762,101,0,0,0,0,0,0,0,0,4202,745,100,1,0,0,0,0,0,0,0,4215,749,101,0,0,0,0,0,0,0,0,4269,758,102,0,0,0,0,0,0,0,0,4217,748,101,1,1,0,0,0,0,0,0,4171,741,99,0,0,0,0,0,0,0,0,4282,760,102,0,0,0,0,0,0,0,0,3965,704,95,0,0
3,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828320000000,1,0,0,0,0,0,0,4289,761,101,0,0,0,0,0,0,0,0,4218,749,100,0,0,0,0,0,0,0,0,4350,773,93,1,0,0,0,0,0,0,0,4021,716,95,1,1,0,0,0,0,0,0,4215,748,99,0,0,0,0,0,0,0,0,4220,749,101,0,0,0,0,0,0,0,0,4209,748,99,1,0,0,0,0,0,0,0,4132,733,100,0,0,0,0,0,0,0,0,4256,756,101,1,0,0,0,0,0,0,0,4256,755,101,0,0
4,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828330000000,1,0,0,0,0,0,0,4027,715,95,0,0,0,0,0,0,0,0,4276,760,102,1,0,0,0,0,0,0,0,4256,755,101,0,0,0,0,0,0,0,0,4222,749,100,0,0,0,0,0,0,4,0,4130,737,97,3,1,0,0,0,0,7,0,6725,1280,67,20,6,0,0,0,0,12,0,798,167,7,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828360000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
6,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828400000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828430000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828450000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4408,296,10,13,3
9,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b.exe,133496828460000000,1,0,0,0,0,0,0,11683,428,5,1,0,0,0,0,0,0,0,12173,435,4,1,0,0,0,0,0,0,0,12527,442,6,0,0,0,0,0,0,0,0,11321,404,4,1,0,0,0,0,0,28,0,12411,572,9,20,4,0,0,0,0,11,0,12241,442,5,2,0,0,0,0,0,0,0,12379,426,4,1,0,0,21,6,14,45,684929,7006,614,17,46,4,12,26,6,8,64,358746895,8371,1089,8,54,8,5,57,13,39,116,165902977,5375,827,14,54,7
