,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842630000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,739,162,4,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,464,100,5,22,4,0,0,0,0,0,0,0,0,0,0,0
1,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842640000000,1,0,0,0,0,3,0,187,39,1,3,0,0,0,0,0,8,0,274,60,2,6,1,0,0,0,0,9,0,494,104,3,12,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,40,2573,5412,453,14,24,7,0,0,0,0,31,0,6560,404,13,27,5,0,0,0,0,0,0,6699,232,1,4,0,0,0,0,0,0,0,7554,273,8,0,0,0,0,0,0,0,0,6985,242,5,2,0,0,0,0,0,0,0,9278,332,7,0,0
2,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842650000000,1,0,0,0,0,0,0,9478,343,5,1,0,3,4,2,2,42,130277,8307,698,15,66,12,40,279,130,0,581,18627376,12233,1530,21,147,13,82,273,136,0,627,5394198,10777,1258,16,135,15,81,210,118,0,526,4001578,9247,1008,21,142,14,64,246,125,0,561,7088146,10339,1162,25,136,16,45,261,135,0,577,18136932,11962,1429,20,143,15,83,241,120,0,562,6827194,10333,1273,23,129,17,134,312,154,0,756,5238976,12305,1400,23,145,17,118,283,139,0,677,8314596,11703,1439,22,143,20
3,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842660000000,1,81,161,93,0,429,1108706,8387,1105,19,124,14,76,225,112,0,525,58912375,9645,1160,17,133,14,83,215,115,0,528,1845438,8508,823,22,104,14,27,128,62,0,281,34130310,5880,705,19,69,14,81,192,95,0,468,893264,7816,929,22,126,14,109,217,108,0,552,811200,9317,1204,21,138,14,84,179,104,0,476,7616824,8811,1028,21,141,13,107,284,149,0,691,1943582,11537,1311,19,151,13,36,181,83,0,386,11962492,8443,1114,17,114,10,102,232,120,0,586,2126984,9522,1058,23,142,13
4,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842670000000,1,44,212,101,0,456,13339388,8664,1002,18,132,15,88,167,114,0,484,2204086,9650,1214,20,146,14,78,195,94,0,460,23613320,9063,1261,21,117,10,135,286,136,0,694,1237110,10679,1252,23,155,11,141,295,142,0,719,1061286,11250,1361,17,137,13,57,216,100,0,474,20911054,7770,810,18,114,16,79,170,86,0,423,675668,6835,796,13,102,10,76,156,76,0,382,540280,5406,549,8,85,9,88,176,86,0,440,615688,6283,654,11,100,8,147,303,147,0,746,1165744,11097,1244,18,144,13
5,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842680000000,1,141,304,141,0,727,1404124,11245,1355,17,141,13,133,302,138,0,714,1714498,10790,1199,16,148,12,40,179,85,0,390,5427866,7343,807,16,115,10,80,326,162,0,733,3941952,12664,1470,16,154,13,119,274,154,0,699,2371924,12984,1641,18,150,16,88,290,152,0,686,6233590,12268,1405,19,149,15,126,248,142,0,656,1129698,11262,1355,25,148,20,100,309,176,0,761,4093310,13394,1479,21,180,17,120,265,145,0,676,1336902,11467,1375,20,142,12,37,259,127,0,550,3492751440,14653,1811,20,152,15
6,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842690000000,1,23,286,144,0,598,853825634,12176,1250,21,147,10,25,255,130,0,538,6118208,11576,1550,17,118,16,30,198,97,0,424,3533580,7588,863,14,95,9,44,302,154,0,653,5172828,12597,1567,22,153,14,93,229,127,0,575,73681364,10115,1108,30,148,16,82,302,161,0,708,4858006,12368,1378,24,155,14,134,298,165,0,762,2792812,12072,1315,21,157,15,82,277,150,0,657,10964282,15913,2723,22,133,14,0,0,0,0,0,0,37723,12648,9,2,0,0,0,0,0,0,0,32817,10997,8,2,2
7,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842700000000,1,0,0,0,0,0,0,36238,12146,8,0,0,29,142,73,0,317,4926766,19985,5359,14,85,9,33,327,161,0,686,15623690,14086,1764,17,149,13,33,210,109,0,461,8240708,8120,792,12,105,11,14,228,115,0,470,938073298,11873,1258,13,128,16,11,298,147,0,605,1430835544,18516,2293,23,172,13,16,267,134,0,551,1323808036,16640,2045,20,153,14,7,241,120,0,488,1366111762,15438,1917,24,146,16,15,279,141,0,573,921687700,17763,2263,21,153,11,15,280,140,0,578,1030736388,17366,2082,20,166,14
8,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842710000000,1,10,267,135,0,545,682787842,15310,1703,19,156,8,35,277,137,0,588,403120988,14622,1767,21,156,14,69,149,86,0,391,903242,6086,612,12,94,9,143,247,178,0,748,2496512,14716,1915,22,160,17,108,292,172,0,746,3593704,13407,1612,22,159,18,35,311,146,0,637,5049664,11367,1272,16,150,16,34,292,138,0,601,4955698,10604,1127,18,149,12,45,170,94,0,403,2482270,7405,854,9,106,12,56,179,101,0,437,2685902,7330,754,15,105,19,72,175,94,0,438,1644362,7477,870,15,100,9
9,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76.exe,133496842720000000,1,77,178,87,0,431,1111488,6744,829,13,85,13,111,226,120,0,587,8454816,9115,1035,16,137,16,42,207,99,0,447,44466565,7870,785,14,116,9,5,23,0,0,52,214432,4827,961,12,71,4,6,24,0,0,54,222480,4539,870,17,81,5,1,12,0,0,25,116944,3745,754,11,69,3,4,16,0,0,36,159856,4670,895,10,66,4,0,4,0,0,8,82464,2985,590,9,53,5,1,4,0,0,9,37568,3979,787,12,72,7,3,19,0,0,42,168832,4645,873,16,74,5
