,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847640000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,11,0.0,448,99,4,13,1,0,0,0.0,1.0,25,0.0,1236,239,7,21,3,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,2,0,0,2,0,0,2,0.0,0.0,2,0.0,1921,398,8,27,3,0,0,0.0,0.0,0,0.0,3145,623,16,76,3,0,0,0.0,0.0,0,0.0,2844,568,15,73,4,0,0,0.0,0.0,0,0.0,2362,473,16,71,3
1,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847650000000,1,0,0,0.0,0.0,0,0.0,3089,612,9,59,4,0,0,0.0,0.0,0,0.0,3748,778,8,62,4,28,9,0.0,9.0,65,5527594.0,5099,986,12,58,12,120,20,0.0,13.0,179,365954000.0,7286,1155,6,95,39,28,9,0.0,7.0,58,77668784.0,7964,1499,10,49,17,0,0,0.0,0.0,0,0.0,8184,1662,12,21,7,91,13,0.0,7.0,126,518045824.0,6423,1070,6,81,32,98,10,0.0,3.0,117,375414832.0,7234,1122,4,101,43,107,11,0.0,2.0,123,357564448.0,7530,1164,3,89,38,90,43,0.0,42.0,259,21794825.0,5205,907,18,84,11
2,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847660000000,1,96,43,0.0,43.0,269,10782631.0,5333,924,13,77,12,101,50,0.0,50.0,300,5017354.0,5689,992,13,73,9,112,52,0.0,52.0,321,7451087.0,6469,1161,13,80,9,109,42,0.0,40.0,270,30969272.0,5755,985,15,85,17,111,53,0.0,53.0,323,2727962.0,5763,1075,17,76,10,123,58,0.0,57.0,354,3573534.0,6044,1067,16,78,7,104,49,0.0,50.0,301,3060332.0,5263,931,17,73,11,109,52,0.0,52.0,318,2914310.0,5327,941,19,81,7,119,53,0.0,53.0,331,4953082.0,6048,1067,16,77,8,117,50,0.0,50.0,317,8251652.0,6178,1074,14,76,9
3,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847670000000,1,95,38,0.0,38.0,247,12658590.0,4978,857,11,66,15,117,55,0.0,55.0,336,5692612.0,5924,1039,15,80,8,105,63,0.0,63.0,357,4898932.0,6086,1092,15,77,7,96,58,0.0,58.0,329,4388740.0,5864,1046,15,75,11,83,32,0.0,31.0,208,9771059.0,4861,833,10,64,14,108,44,0.0,45.0,287,11508292.0,6143,1066,15,76,12,89,33,0.0,33.0,221,12596605.0,5321,908,12,62,15,100,38,0.0,38.0,251,16561937.0,5848,1006,14,71,18,122,28,0.0,26.0,228,85650189.0,7283,1240,9,78,26,112,47,0.0,45.0,295,30455451.0,6582,1136,13,79,14
4,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847680000000,1,106,21,0.0,17.0,178,97312940.0,6713,1081,7,98,39,105,16,0.0,10.0,150,420462948.0,6895,1097,7,88,35,89,27,0.0,25.0,192,77175552.0,5271,870,11,78,24,90,36,0.0,36.0,233,6341282.0,4770,819,17,73,9,116,59,0.0,58.0,349,1076332.0,5503,977,19,81,6,109,31,0.0,29.0,228,131483811.0,6111,1018,12,87,23,110,19,0.0,11.0,161,385589498.0,7482,1187,7,94,36,92,15,0.0,10.0,137,309811017.0,5914,935,7,80,33,103,15,0.0,9.0,146,431282051.0,6764,1074,7,82,34,115,19,0.0,11.0,166,358040348.0,7101,1125,7,92,38
5,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847690000000,1,103,13,0.0,5.0,131,390253322.0,7488,1175,4,97,40,94,42,0.0,42.0,262,7445768.0,5367,934,17,75,11,114,37,0.0,35.0,257,82179734.0,6343,1056,14,82,21,127,38,0.0,35.0,270,88279322.0,6836,1133,11,83,22,105,18,0.0,13.0,161,188446187.0,6886,1099,8,89,35,111,30,0.0,28.0,226,63967028.0,6414,1053,12,86,26,99,37,0.0,37.0,247,19196702.0,5638,957,13,79,16,97,47,0.0,46.0,282,3935380.0,5040,897,17,77,7,101,21,0.0,20.0,182,66952602.0,5983,966,8,69,24,101,22,0.0,22.0,189,33394376.0,5765,940,10,68,19
6,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847700000000,1,91,10,0.0,4.0,112,202884904.0,6099,955,5,75,36,72,14,0.0,12.0,123,40081944.0,4801,765,7,64,28,105,46,0.0,45.0,286,9162506.0,5345,929,15,70,11,104,42,0.0,43.0,275,10922518.0,5635,1021,19,75,11,114,54,0.0,54.0,329,3257441.0,5385,954,16,79,9,99,40,0.0,40.0,259,11526225.0,5838,1090,16,72,13,104,46,0.0,46.0,289,5630502.0,6051,1205,16,79,9,101,20,0.0,20.0,181,40295538.0,6135,1038,12,71,21,105,13,0.0,7.0,138,292008806.0,6466,1010,5,89,39,108,9,0.0,1.0,120,714607648.0,7531,1181,3,99,43
7,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847710000000,1,102,16,0.0,14.0,160,113546276.0,6633,1104,8,83,29,105,14,0.0,9.0,147,191994986.0,6652,1047,6,83,34,100,34,0.0,34.0,236,22041806.0,5234,885,14,77,13,95,39,0.0,38.0,248,10640086.0,5099,871,15,74,10,85,19,0.0,20.0,163,31292959.0,4837,784,9,65,18,68,16,0.0,16.0,133,16712163.0,3974,691,9,48,19,102,37,0.0,37.0,249,12207562.0,5579,964,14,73,14,100,43,0.0,43.0,273,50725684.0,5040,894,16,78,13,98,35,0.0,32.0,228,107663552.0,5937,1049,10,83,21,95,29,0.0,27.0,205,84980043.0,5628,977,10,74,25
8,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847720000000,1,115,13,0.0,5.0,144,811297629.0,6882,1081,5,92,43,96,9,0.0,0.0,104,1277607232.0,6869,1066,2,96,46,100,10,0.0,4.0,123,956660916.0,6420,1014,4,85,36,100,14,0.0,9.0,141,515442188.0,6521,1047,5,90,39,110,35,0.0,32.0,240,454753730.0,6063,1007,14,88,23,121,9,0.0,0.0,131,1731821297.0,7582,1187,4,104,53,103,19,0.0,15.0,166,902888433.0,6238,1017,9,87,33,104,28,0.0,28.0,216,40964679.0,6016,1000,10,81,23,112,22,0.0,16.0,183,306285424.0,6387,1034,8,83,32,90,35,0.0,30.0,215,165346528.0,6111,1014,10,83,27
9,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49.exe,133496847730000000,1,118,55,0.0,55.0,337,11208838.0,6198,1085,15,83,14,102,33,0.0,33.0,234,26607450.0,5674,962,11,77,20,93,60,0.0,60.0,333,802140.0,5286,995,16,76,7,98,34,0.0,31.0,226,43019798.0,5673,957,12,78,24,111,55,0.0,54.0,327,44601223.0,6327,1099,16,90,17,119,60,0.0,60.0,360,29412734.0,6078,1085,16,86,9,99,12,0.0,4.0,122,178509661.0,7108,1124,4,96,48,98,47,0.0,42.0,272,73885825.0,6376,1089,15,93,24,100,49,0.0,49.0,295,26107272.0,5861,1027,15,83,13,121,42,0.0,41.0,287,52089914.0,6590,1119,12,79,18
