,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771870000000,1,0,0,0,0,0,0,599,206,1,25,8,0,0,0,0,0,0,2636,593,10,42,20,0,0,0,0,0,0,1230,249,7,38,7,0,0,0,0,0,0,151,32,1,8,3,0,0,0,0,0,0,8,2,0,1,2,0,0,0,0,0,0,15,3,0,3,3,0,0,0,0,0,0,64,11,1,8,6,0,0,0,0,0,0,14,3,0,5,3,0,0,0,0,0,0,1526,270,9,53,32,0,0,0,0,0,0,66,14,1,4,3
1,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771880000000,1,0,0,0,0,0,0,30,7,1,2,1,0,0,0,0,0,0,440,62,3,11,5,0,0,0,0,0,0,21,2,2,3,1,0,0,0,0,0,0,1087,175,7,18,6,0,0,0,0,7,0,551,130,8,33,3,0,0,0,0,0,0,171,42,1,8,2,0,0,0,0,0,0,156,37,0,7,4,0,0,0,0,0,0,918,147,11,22,8,0,0,0,0,0,0,124,27,1,6,1,0,0,0,0,0,0,22,3,0,3,1
2,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771890000000,1,0,0,0,0,0,0,55,13,0,8,2,0,0,0,0,0,0,67,11,1,6,3,0,3,0,0,23,2960,1373,316,12,43,9,0,0,0,0,0,0,199,40,2,8,3,0,0,0,0,0,0,28,4,0,6,3,0,0,0,0,0,0,79,14,0,5,3,0,0,0,0,0,0,75,11,2,5,4,0,0,0,0,0,0,28,6,0,3,0,0,0,0,0,0,0,118,25,2,8,0,0,0,0,0,0,0,72,17,1,6,2
3,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771900000000,1,0,0,0,0,0,0,24,5,0,5,2,0,0,0,0,0,0,25,6,1,5,0,0,0,0,0,0,0,23,2,0,5,2,0,0,0,0,0,0,24,3,1,4,3,0,0,0,0,0,0,18,2,1,3,1,0,0,0,0,0,0,32,5,0,7,3,0,0,0,0,0,0,22,1,1,4,2,2,0,0,0,6,139264,232,42,1,12,3,0,0,0,0,0,0,24,3,1,2,1,0,0,0,0,0,0,23,2,1,4,3
4,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771910000000,1,0,0,0,0,0,0,24,4,0,4,2,0,0,0,0,0,0,20,3,0,2,0,0,0,0,0,0,0,23,5,1,4,1,0,0,0,0,0,0,28,6,0,3,0,0,0,0,0,0,0,18,1,1,2,1,0,0,0,0,0,0,27,4,0,5,2,0,0,0,0,0,0,68,14,1,8,3,0,0,0,0,0,0,23,6,2,3,1,0,0,0,0,0,0,204,43,2,12,3,0,0,0,0,0,0,26,4,0,4,1
5,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771920000000,1,0,0,0,0,0,0,20,4,0,2,0,0,0,0,0,0,0,17,2,1,3,2,0,0,0,0,0,0,21,3,1,0,1,0,0,0,0,0,0,20,5,0,3,3,0,0,0,0,0,0,19,3,0,4,1,0,0,0,0,0,0,31,4,1,3,2,0,0,0,0,0,0,23,3,0,4,1,0,0,0,0,0,0,24,3,0,3,1,0,0,0,0,0,0,35,5,0,4,2,0,0,0,0,0,0,22,4,0,2,2
6,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771930000000,1,9,0,0,0,43,28311552,6103,1303,60,217,47,1,0,0,0,17,3145728,10249,2197,98,268,48,0,0,0,0,0,0,20,3,0,2,1,0,0,0,0,0,0,19,1,0,4,1,0,0,0,0,0,0,24,6,0,3,2,0,0,0,0,0,0,30,3,0,3,1,0,0,0,0,0,0,70,13,1,7,4,0,0,0,0,0,0,22,2,1,2,1,0,0,0,0,0,0,51,9,0,4,0,0,0,0,0,0,0,21,3,0,4,1
7,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771940000000,1,0,0,0,0,0,0,37,6,2,3,1,0,0,0,0,0,0,45,8,0,5,2,0,0,0,0,0,0,58,13,1,5,2,0,0,0,0,0,0,21,5,2,2,1,0,0,0,0,0,0,33,4,0,4,1,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771950000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,18,1,6,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,9,2,0,2,1,0,0,0,0,0,0,45,9,1,2,2,0,0,0,0,0,0,6,3,0,4,0,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1229-0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,svchost.exe,133346771960000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
