,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774760000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,167,69392800,6573,1045,30,63,12,0,188,0,0,271,64614395,15836,2341,38,57,14,1,154,0,0,167,271205246,14377,1975,29,56,15,7,0,0,0,10,395676,15387,1070,22,36,7
1,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774770000000,1,0,0,0,0,0,0,20024,1002,22,6,1,0,0,0,0,0,0,19180,969,20,3,1,0,0,0,0,0,0,18984,956,21,5,2,0,0,0,0,0,0,18281,921,19,4,2,0,0,0,0,0,0,18263,886,20,4,2,0,0,0,0,0,0,19063,921,20,3,2,0,0,0,0,0,0,16964,820,18,4,2,0,0,0,0,0,0,16405,792,18,2,1,0,0,0,0,0,0,13705,662,15,2,1,0,0,0,0,0,0,13610,657,14,3,2
2,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774780000000,1,0,0,0,0,0,0,14274,737,16,7,3,0,0,0,0,0,0,17572,882,18,5,1,0,0,0,0,0,0,19813,969,20,3,0,0,0,0,0,0,0,20387,985,21,3,1,0,0,0,0,0,0,19968,963,21,1,0,0,0,0,0,0,0,19358,935,20,3,1,0,0,0,0,0,0,21779,1051,24,2,0,1,5,0,0,8,1980,13846,956,16,12,4,0,0,0,0,0,0,13,3,0,2,1,0,0,0,0,0,0,8,2,0,2,0
3,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774790000000,1,0,0,0,0,3,0,244,56,2,14,5,0,0,0,0,2,0,105,23,3,10,2,0,0,0,0,0,0,7,1,0,2,1,8,26,1,3,77,5619825,11918,1376,27,70,19,4,23,1,0,34,33710968,16057,2219,18,43,13,10,67,5,2,134,3900284,13756,1842,24,73,16,11,70,6,0,124,5245267,12692,1642,21,71,14,7,51,3,0,79,11037967,14484,1601,20,60,15,3,21,1,0,31,20686475,15471,1692,18,40,15,5,34,2,0,52,18557980,14580,1559,18,47,14
4,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774800000000,1,3,16,1,0,29,8075277,13000,1376,14,37,12,5,35,2,0,53,30887264,11660,1573,13,43,12,8,56,5,0,97,2737724,10176,1366,18,53,16,10,66,5,0,114,1799135,9698,1360,18,63,17,7,41,2,0,61,14548013,13279,1427,15,43,14,10,67,5,0,112,3570336,13835,1741,21,67,19,12,79,6,0,133,5944828,14703,1949,24,73,18,5,28,2,0,48,6891940,14793,1601,19,49,14,8,58,4,0,93,21279084,12087,1741,19,62,19,5,32,2,0,51,14520704,13419,1435,16,41,14
5,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774810000000,1,6,42,3,0,69,6571736,11431,1220,16,38,12,6,40,3,0,68,4857304,9599,1218,14,49,17,5,33,2,0,51,14827904,13867,1461,17,45,14,10,70,6,0,121,5628782,15633,1863,24,76,14,14,88,6,0,145,6898268,12330,1707,24,91,20,2,4,0,0,6,9124166,15817,1462,15,29,6,9,64,5,0,109,32921725,11860,1614,20,67,16,2,11,0,0,13,6608808,12952,1074,15,30,9,3,24,1,0,33,42059376,11551,1588,12,33,12,14,92,7,0,155,3664884,14518,1968,25,77,21
6,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774820000000,1,4,30,2,0,49,12452541,15911,1522,18,48,14,3,20,1,0,30,18308600,11050,1237,14,36,11,3,22,2,0,34,14863504,13176,1604,15,37,13,3,14,0,0,22,18279360,15670,1458,15,34,11,3,3,0,0,6,23453856,16762,1577,16,31,10,8,68,4,0,104,94837770,12243,1692,17,55,17,4,28,2,0,45,5554847,12841,1241,16,36,13,3,21,1,0,31,18131184,13434,1437,16,33,12,8,57,5,0,99,8258931,13111,1710,22,54,21,12,79,6,0,133,2122717,11003,1470,20,63,22
7,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774830000000,1,8,48,3,0,79,4362268,11333,1279,16,38,12,5,33,2,0,52,20310998,13519,1528,15,47,20,1,11,1,0,16,20115944,14212,1365,14,29,11,6,41,2,0,63,14371330,14679,1543,18,46,16,5,32,2,0,52,23576676,16810,1608,20,48,12,3,5,0,0,8,23328312,17739,1704,17,38,12,2,10,1,0,17,60544672,16926,1671,18,32,12,5,40,1,0,53,100238672,13998,1613,15,39,15,1,3,0,0,4,10857288,13540,1114,14,23,9,2,20,1,0,27,98640712,15134,1672,16,33,14
8,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774840000000,1,12,78,5,0,127,13947988,14023,1709,22,71,16,7,45,3,0,74,17320060,15951,1753,18,46,11,7,45,3,0,72,14938368,16844,1817,20,52,15,10,67,5,0,113,3335302,12783,1802,21,67,16,8,55,5,0,93,5521816,12453,1547,20,62,20,12,78,5,0,129,16754360,11802,1472,19,62,19,2,4,0,0,7,16554080,18970,1642,18,29,8,3,5,0,0,8,38462328,19744,1801,18,31,8,5,59,3,0,85,160959435,13906,1740,18,46,17,13,83,7,0,143,3359704,14095,1785,25,83,13
9,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,1230-ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133346774850000000,1,14,89,6,0,147,3833602,14668,1920,24,71,12,8,57,4,0,93,9318292,15289,1750,21,58,13,15,94,8,0,165,2560545,13129,1754,25,93,14,15,100,7,0,164,2595451,15093,2051,28,90,14,5,32,3,2,77,12141928,15206,1571,19,53,16,9,55,3,0,88,13875008,15809,1775,22,49,15,8,58,4,2,98,17351514,17382,1904,23,57,18,12,84,7,0,143,8387286,14337,1931,22,78,19,8,52,3,1,85,11812256,17031,1740,21,61,13,5,33,2,0,52,16738678,16895,1701,18,44,12
