,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779040000000,1,0,0,0,0,1,0,339,77,2,10,3,0,0,0,0,6,0,3401,606,18,33,8,0,0,0,0,0,0,15954,2173,13,5,2,0,0,0,0,0,0,2312,309,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779050000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,352256,9202,2471,61,72,24,0,0,0,0,0,0,3,1,0,1,1,3,0,0,0,17,704604,1479,323,14,47,11,0,0,0,0,7,0,6116,1477,14,42,18,0,0,0,0,0,0,17183,3735,32,22,9,0,0,0,0,6,0,10805,1865,52,90,33
2,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779060000000,1,7,0,0,0,65,2573,6427,1507,51,140,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779070000000,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,0,107,23,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779080000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,110,25,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779090000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,112,24,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779100000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,110,25,1,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779110000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,1011,37,12,5,0,0,0,0,0,0,14315,2504,88,14,3,0,0,0,0,0,0,15145,2649,90,13,3,2,17,2,0,60,29551,9959,2016,62,219,39,1,0,0,0,11,25157174,18277,2370,18,106,49,0,0,0,0,1,0,19330,2112,26,45,15
8,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779120000000,1,0,1,0,1,4,15,15512,478,18,21,8,0,0,0,0,0,0,15985,754,24,31,15,0,0,0,0,0,0,18062,519,15,15,4,0,4,0,0,3,100628696,20822,1024,28,30,13,0,0,0,0,0,0,16420,2158,13,31,10,0,0,0,0,1,0,7053,1471,10,78,45,0,1,0,0,0,25157598,11663,1490,19,36,14,0,0,0,0,1,0,13893,2389,11,41,12,0,74,1,0,75,457949,7976,1536,54,173,19,0,118,0,0,131,730243,10194,2103,66,241,23
9,1231-e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,giuhdacroic.exe,133346779130000000,1,0,26,0,0,139,160901,8332,1686,65,257,26,0,0,0,0,176,0,7279,1560,46,218,16,0,0,0,0,138,0,10379,2103,65,231,31,0,0,0,0,162,0,7649,1625,60,238,22,0,0,0,0,251,0,9051,1896,53,220,29,0,0,0,0,246,0,10312,2167,62,199,31,0,0,0,0,228,0,8188,1952,44,167,16,0,0,0,0,202,0,10010,2342,52,194,18,0,0,0,0,132,0,10452,2213,46,181,13,0,0,0,0,255,0,12528,2817,63,206,23
