,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867240000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,19,0.0,2197,265,7,32,6
1,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867280000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,3,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867310000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,3,1,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
3,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867340000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
4,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867370000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,2,23,1.0,0.0,31,20206.0,628,117,3,15,3,34,194,34.0,0.0,298,13682456.0,4129,834,18,78,8,73,329,73.0,0.0,552,113756.0,5064,1013,19,93,7,17,126,16.0,0.0,190,117011829.0,3280,612,13,62,14,4,26,4.0,0.0,42,129695085.0,1131,197,2,28,12,2,13,2.0,0.0,21,345879952.0,2164,386,3,47,27,3,21,3.0,0.0,33,289271051.0,2686,480,6,55,32,23,148,23.0,0.0,240,92147217.0,3312,618,13,72,12,20,130,20.0,0.0,210,109032239.0,2910,546,12,65,12
5,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867380000000,1,16,107,16.0,0.0,171,77127896.0,3252,604,10,69,17,8,56,8.0,0.0,88,388797912.0,2823,521,7,58,26,13,86,13.0,0.0,138,283155467.0,3219,605,9,58,23,0,0,0.0,0.0,0,0.0,2745,482,2,53,36,2,13,2.0,0.0,21,453942939.0,2498,445,5,48,26,19,130,20.0,0.0,209,409590430.0,3139,593,12,68,16,22,135,21.0,0.0,220,102232721.0,3492,670,14,70,13,3,21,3.0,0.0,33,301900773.0,2205,392,6,40,25,0,0,0.0,0.0,0,0.0,737,134,2,17,9,0,0,0.0,0.0,0,0.0,826,147,1,22,10
6,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867390000000,1,2,13,2.0,0.0,21,308506474.0,835,150,2,26,7,0,0,0.0,0.0,0,0.0,774,144,2,21,9,2,13,2.0,0.0,21,322796112.0,933,170,3,17,9,0,0,0.0,0.0,0,0.0,673,121,2,14,8,0,0,0.0,0.0,0,0.0,824,139,1,17,11,0,0,0.0,0.0,0,0.0,696,121,0,18,9,2,13,2.0,0.0,21,352354549.0,848,153,2,16,8,0,0,0.0,0.0,0,0.0,856,156,1,18,10,4,26,4.0,0.0,42,516330100.0,2661,469,6,52,31,2,13,2.0,0.0,21,247391345.0,2917,520,5,55,35
7,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867400000000,1,2,13,2.0,0.0,21,288801688.0,2108,377,6,48,25,6,39,6.0,0.0,63,304760660.0,1692,314,5,40,16,1,12,2.0,0.0,19,17901892.0,365,62,1,19,2,1,1,0.0,0.0,2,5165311.0,273,51,1,23,3,7,51,8.0,0.0,82,72591723.0,1242,231,3,34,9,17,105,16.0,0.0,170,111076671.0,2843,535,11,56,15,2,13,2.0,0.0,21,287655679.0,2566,459,5,46,32,2,13,2.0,0.0,21,330092663.0,2776,489,4,49,32,2,13,2.0,0.0,21,313704176.0,2783,493,4,52,32,4,26,4.0,0.0,42,482906595.0,2528,452,6,58,29
8,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867410000000,1,2,13,2.0,0.0,21,408973593.0,2685,478,7,55,32,2,13,2.0,0.0,21,303130490.0,2880,515,6,60,38,2,13,2.0,0.0,21,287586565.0,4719,1438,3,19,9,2,13,2.0,0.0,21,264235349.0,2727,491,5,52,33,2,13,2.0,0.0,21,199603869.0,2517,440,3,53,28,2,13,2.0,0.0,21,456460471.0,842,151,1,22,10,0,0,0.0,0.0,0,0.0,194,38,1,14,2,0,0,0.0,0.0,0,0.0,520,92,1,12,4,0,0,0.0,0.0,0,0.0,706,123,1,16,8,0,0,0.0,0.0,0,0.0,690,122,3,22,10
9,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133496867420000000,1,1,12,2.0,0.0,19,362531259.0,959,170,3,28,11,3,14,2.0,0.0,23,88225377.0,712,131,2,23,6,0,0,0.0,0.0,0,0.0,1026,187,2,25,13,2,13,2.0,0.0,21,431806049.0,2364,425,4,46,30,2,13,2.0,0.0,21,367980899.0,2647,475,6,50,32,4,26,4.0,0.0,42,343098321.0,2544,457,6,49,29,5,38,6.0,0.0,61,402313546.0,2779,502,4,58,31,7,40,6.0,0.0,65,114390614.0,2593,468,6,45,22,4,26,4.0,0.0,42,404274519.0,2125,377,4,42,24,0,0,0.0,0.0,0,0.0,63,9,0,4,0
