,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809880000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,500,117,5,20,4,0,0,0,0,14,0,5928,1221,47,124,16,0,0,0,0,0,0,14,5,0,4,2,0,0,0,0,0,0,12,2,1,11,1,0,0,0,0,0,0,16,3,1,2,3,0,0,0,0,0,0,16,3,0,5,2,0,0,0,0,0,0,13,2,1,5,1
1,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809890000000,1,0,0,0,0,0,0,13,3,0,7,2,0,0,0,0,0,0,12,3,1,9,1,0,0,0,0,0,0,20,2,0,7,3,0,0,0,0,0,0,14,2,1,4,1,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,20,2,0,6,2,0,0,0,0,0,0,13,2,0,4,3,0,0,0,0,0,0,19,3,1,9,2,0,0,0,0,0,0,20,3,2,7,1,0,0,0,0,0,0,13,1,0,8,1
2,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809900000000,1,0,0,0,0,0,0,13,3,0,6,1,0,0,0,0,0,0,13,4,1,4,0,0,0,0,0,0,0,14,1,1,4,1,0,0,0,0,0,0,8,1,1,4,1,0,0,0,0,0,0,16,3,2,3,2,0,0,0,0,0,0,10,4,1,5,0,0,0,0,0,0,0,18,3,2,4,0,0,0,0,0,0,0,12,3,1,4,0,0,0,0,0,0,0,12,1,0,5,0,0,0,0,0,0,0,8,1,0,6,1
3,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809910000000,1,0,0,0,0,0,0,22,5,1,3,3,0,0,0,0,0,0,21,3,0,3,2,0,0,0,0,0,0,17,4,0,2,0,0,0,0,0,0,0,21,5,0,7,2,0,0,0,0,6,0,2586,377,13,60,12,17,0,0,0,43,1896,8156,1838,47,172,19,0,0,0,2,6,0,4509,1072,32,153,21,7,0,0,8,37,2573,5066,1166,35,191,34,0,0,0,0,2,0,1345,297,16,41,9,0,1,0,1,1,6950,103,21,1,4,1
4,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809920000000,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0
5,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809930000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,1
6,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809940000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,72,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,66,9,45,120,3472640,12498,1762,52,203,14
7,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809950000000,1,33,61,31,2,185,21916487,31582,2552,63,180,25,25,48,24,0,144,19515196,29769,3288,56,122,25,28,58,30,0,176,24739870,35585,2997,61,164,33,30,54,26,2,163,49794010,43448,4096,71,180,35,31,61,29,1,178,59065673,49367,4814,72,205,34,34,66,33,2,200,36570897,35748,2954,66,178,23,31,74,32,10,198,10444663,28133,3215,56,198,17,31,68,25,17,176,20225312,32281,3092,68,225,29,27,53,26,2,160,19600972,27305,3235,55,158,19,27,59,28,1,170,59053303,33824,3430,63,163,28
8,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809960000000,1,25,43,23,0,135,55953043,28331,2636,50,101,20,17,31,16,0,96,14342220,20547,2219,40,97,25,16,24,12,0,79,12673741,26116,4603,48,85,17,17,35,17,0,100,21570914,22012,2251,42,111,31,21,42,22,0,128,27813142,20204,1963,37,95,25,18,31,15,1,95,40881379,26158,2136,41,94,26,20,59,20,19,138,24309380,20548,2224,49,136,23,25,52,24,4,150,14128956,24494,2324,50,117,22,22,46,22,1,133,61381401,50470,4650,70,140,38,24,51,22,6,140,33348207,38555,3935,60,157,32
9,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809970000000,1,27,55,28,0,166,13828455,26397,2637,52,128,24,30,52,26,1,162,32539770,36853,3760,62,153,28,24,53,22,6,144,32430291,37260,3809,65,148,34,23,45,24,0,136,39056774,31901,3538,53,115,33,18,38,18,3,111,40370743,31603,3237,58,122,26,4,12,5,2,37,3687620,12511,1834,30,105,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346809990000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8,2,1,1,0,0,0,0,0,0,168,36,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346810000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0
12,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346810030000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,2006-cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd.exe,133346810040000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
