,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902420000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1084,245,7,29,7,6,0,0,0,18,180086,3543,748,12,38,5,0,0,0,0,0,0,11218,1632,12,9,4
1,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902430000000,1,0,0,0,0,2,0,7701,1199,11,30,13,8,0,0,0,25,181734,3626,800,20,35,5,0,0,0,0,3,0,4224,920,24,38,3,0,0,0,0,1,0,23,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902490000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,144,3,4,0,4,0,0,0,36,3412,4261,961,26,65,9,19,0,0,0,41,683658,1186,260,8,39,6
3,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902500000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,281,62,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9324,409,6,9,2,0,0,0,0,1,0,4112,965,19,110,11,4,0,0,0,8,249703,16599,1569,15,133,4,4,4,0,0,12,876171,28452,1460,15,26,9,2,2,0,0,6,308842,32015,1410,12,8,4
4,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902510000000,1,2,2,0,0,6,599748,32276,1334,12,4,3,4,4,0,0,12,823514,31407,1409,14,12,5,2,2,0,0,6,1072250,35553,1531,13,12,4,5,5,0,0,15,3537104,39673,1790,16,22,6,4,4,0,0,12,5542996,39048,1834,18,35,12,4,4,0,0,12,3348079,36891,1711,16,30,12,1,2,0,0,4,110588,36480,1506,12,6,1,4,3,0,0,11,2643142,29535,1309,11,13,5,4,4,0,0,12,3283067,27309,1331,13,26,15,2,2,0,0,6,1343659,23066,1166,10,13,7
5,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902520000000,1,2,2,0,0,6,5936103,25311,1290,12,16,8,3,4,0,0,9,6242912,31070,1588,10,44,24,2,1,0,0,6,47461,31581,1353,12,7,4,5,5,0,0,15,2724115,32718,1472,15,15,6,4,4,0,0,12,2671985,33422,1533,13,23,12,2,2,0,0,6,114878,34692,1403,13,4,0,3,3,0,0,9,3017590,34149,1576,14,17,5,3,3,0,0,9,2582109,33706,1530,14,20,9,3,3,0,0,9,5067199,33366,1543,13,26,13,4,4,0,0,12,326836,33728,1469,15,10,3
6,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902530000000,1,3,3,0,0,9,567536,26496,1354,13,10,2,3,3,0,0,9,545459,26954,1204,11,7,3,2,3,0,0,8,762076,31066,1344,13,12,4,4,3,0,0,10,3054475,33542,1501,15,18,5,3,3,0,0,9,911358,32378,1449,13,12,6,2,2,0,0,6,2240871,26671,1163,10,11,5,2,4,0,0,8,949629,28763,1273,13,14,5,4,2,0,0,10,2557296,30012,1351,10,19,11,3,3,0,0,9,1354705,33064,1404,12,9,3,4,4,0,0,12,1410099,33264,1487,14,17,8
7,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902540000000,1,3,4,0,0,11,1711569,33758,1521,13,12,3,2,2,0,0,5,471184,32744,1575,14,10,5,4,3,0,0,11,2372300,33229,1488,13,20,6,3,3,0,0,9,536856,26578,1165,11,10,3,4,4,0,0,12,2251151,30381,1394,12,13,4,2,3,0,0,8,2792597,29887,1362,10,15,5,3,2,0,0,7,3743654,30727,1434,13,26,14,3,3,0,0,9,727407,27598,1189,13,9,4,4,4,0,0,12,651466,36070,1581,15,14,5,4,4,0,0,13,5064821,39055,1778,17,20,7
8,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902550000000,1,3,3,0,0,9,4978632,37554,1788,15,34,17,3,3,0,0,9,1173577,37746,1848,16,15,6,2,2,0,0,6,999566,29582,1297,12,17,7,4,4,0,0,12,9660257,26152,1414,10,24,9,1,2,0,0,3,1383466,28527,1212,16,11,4,2,2,0,0,8,8172073,25488,1672,14,48,32,4,3,0,0,9,106181580,27564,1632,13,65,42,2,2,0,0,6,40182,34030,2001,10,20,5,1,1,0,0,3,1314152,28909,1725,9,21,8,3,3,0,0,9,249412,25643,1592,10,15,5
9,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133496902560000000,1,3,3,0,0,8,4303763,27363,1706,10,23,6,2,2,0,0,8,2799226,28594,1580,15,15,10,0,1,0,0,1,3472872,24313,1329,7,76,45,3,2,0,0,8,2502179,23319,1644,10,44,15,1,2,0,0,4,287214,17378,1191,6,114,82,1,1,0,0,3,417195,12118,996,6,111,81,2,2,0,0,6,1120218,22969,1446,11,95,62,3,2,0,0,8,2467843,30083,1460,12,65,30,3,4,0,0,9,107021831,41557,2537,15,36,12,3,3,0,0,9,1394540,40224,3092,13,36,11
