,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917160000000,1,0,1,0,0,6,1677,417,92,5,13,3,4,26,2,0,36,17155958,5928,627,10,34,4,12,59,11,0,104,14883550,7427,784,6,15,4,9,40,8,0,73,6893886,8074,873,4,10,4,8,37,7,0,66,19986329,9159,992,6,9,3,6,17,3,0,32,21543793,9426,1022,4,7,1,11,44,8,0,79,29676198,8984,958,5,7,2,11,54,10,0,95,15308684,8051,852,5,14,4,8,46,9,0,81,8469220,8951,956,5,11,2,9,34,6,0,61,24229832,8952,963,5,8,1
1,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917170000000,1,5,17,3,0,30,15772804,9400,1011,5,5,2,6,29,6,0,54,8883288,8406,965,6,10,4,5,25,5,0,45,9614378,8507,927,4,11,3,11,48,9,0,86,26460551,8650,924,6,14,1,9,30,5,0,54,38028538,9135,982,4,7,1,10,41,8,0,75,18353540,8702,927,6,12,2,3,12,2,0,21,17227296,9559,1045,4,6,2,7,19,3,0,35,51452014,8894,967,4,4,1,6,6,0,0,12,56069568,9737,1060,5,2,1,8,32,6,0,58,28634704,8910,958,4,8,3
2,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917180000000,1,4,16,3,0,29,16193013,9507,1049,5,7,2,8,26,4,0,46,25121136,9071,984,4,6,2,10,59,11,0,102,9557752,8429,907,5,13,3,11,44,8,0,79,19663883,8703,931,4,8,3,5,13,2,0,24,27343988,9450,1025,4,4,1,3,15,3,0,27,10234380,9595,1046,4,7,2,6,11,1,0,20,82095416,10149,1118,5,4,1,6,11,2,0,22,58900536,9393,1018,4,5,1,7,10,0,0,18,77613432,9572,1046,4,4,3,7,29,6,0,54,27270518,9130,978,4,7,1
3,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917190000000,1,8,31,5,0,53,22419777,9176,990,5,9,3,8,39,8,0,72,8325193,8710,976,5,9,3,7,38,7,0,66,9695400,8948,974,5,12,3,4,18,3,0,31,16297676,9614,1049,5,5,1,3,15,3,0,27,20743904,9271,1015,4,6,2,7,19,3,0,35,27399700,9545,1036,4,4,2,2,12,2,0,19,8156228,9575,1041,3,5,1,7,26,5,0,49,49702091,9048,985,5,6,2,6,6,0,0,12,60070572,8646,944,4,3,1,6,14,2,0,26,44217587,9143,990,5,5,1
4,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917200000000,1,3,10,2,0,19,17266490,9510,1038,4,5,4,5,28,6,0,51,7781423,8642,971,6,11,3,6,29,5,0,50,10768993,9276,1008,5,7,2,6,11,1,0,20,49683020,9797,1067,4,3,1,8,40,8,0,71,13292092,8414,906,3,13,5,5,16,2,0,27,66816630,9885,1089,5,4,1,6,5,0,0,12,55509080,9214,1002,3,2,1,8,40,8,0,72,12903395,8373,891,3,11,2,8,40,7,0,69,33100275,9036,998,6,19,4,6,9,1,0,18,56577373,9205,1002,4,3,1
5,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917210000000,1,6,7,0,0,13,48335976,8999,985,4,1,0,10,56,11,0,99,10544226,8393,889,6,12,6,8,19,2,0,33,93212268,9468,1028,4,3,1,6,6,0,0,12,74158176,9528,1038,4,2,0,12,51,9,0,90,31407244,8689,926,4,10,3,13,71,14,0,126,9922734,7991,851,8,22,3,6,26,5,0,47,8050797,9185,995,5,10,4,18,93,18,0,165,6433215,7319,745,7,22,2,17,94,17,0,162,8180297,7401,786,5,20,2,6,30,6,0,54,7399436,8762,943,5,8,2
6,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917220000000,1,8,35,6,0,61,33182327,8456,913,5,9,3,6,10,1,0,19,56004581,9408,1025,4,3,2,6,14,2,0,26,44659320,9161,1045,3,4,1,8,25,4,0,45,66452642,9313,1008,5,4,1,6,6,0,0,12,83374176,9621,1049,4,2,1,6,7,1,0,16,90322024,9540,1038,5,2,1,8,28,4,0,48,55190958,9221,1002,5,7,2,8,30,5,0,52,38858125,8755,948,6,8,2,15,66,12,0,118,24408712,8131,867,4,15,2,8,29,5,0,52,107243732,8959,962,5,8,2
7,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917230000000,1,6,6,0,0,12,139984992,9060,989,4,2,2,6,6,0,0,12,139984992,9420,1026,4,1,0,6,6,0,0,12,139984992,9193,1003,3,1,1,4,8,1,0,14,84888400,8938,971,6,3,2,6,10,1,0,20,49867120,9198,1020,5,7,2,16,80,16,0,144,10545070,8346,865,6,14,2,5,14,2,0,25,33173609,8655,940,4,4,2,8,36,7,0,65,8904311,8076,868,5,7,2,8,41,8,0,73,7309448,8016,853,4,9,3,8,40,8,0,72,26233678,8087,882,6,12,2
8,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917240000000,1,5,6,0,0,11,50840152,8668,943,4,2,3,7,19,3,0,35,46750854,8734,944,4,6,1,5,18,3,0,32,15915020,8775,956,5,6,1,11,54,11,0,98,9642640,8054,863,5,13,5,4,23,4,0,39,8220152,8662,937,5,5,2,7,25,4,0,44,85187508,8390,911,4,8,2,6,6,0,0,12,82821216,9248,1009,4,4,2,11,41,7,0,73,64107591,8981,959,4,10,1,11,52,10,0,93,24549528,9017,958,6,13,1,6,10,1,0,19,44261492,9738,1061,6,3,1
9,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133496917250000000,1,5,12,2,0,23,25552628,7016,772,4,5,2,5,10,1,0,18,30267340,7823,856,4,4,2,10,41,8,0,75,16618940,8318,882,4,7,2,5,22,4,0,39,15808961,8388,907,4,6,3,6,30,6,0,54,9080618,8499,933,5,9,3,6,31,6,0,55,12387410,8524,924,5,10,3,7,36,6,0,60,13281806,9117,988,5,9,1,9,44,9,0,81,11961555,8968,962,6,12,3,3,9,1,0,15,36972670,8997,980,5,4,2,6,15,2,0,27,68156677,9123,1007,1,7,3
