,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007230000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,78,2573,3208,700,17,65,11,0,8,0,0,8,10816,3405,720,12,85,5,4,53,4,0,73,287377,4118,850,11,60,4
1,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007240000000,1,0,0,0,0,0,0,4151,1013,5,39,1,0,0,0,0,0,0,4718,1112,12,49,2,0,0,0,0,0,0,4660,1106,10,52,3,132,164,8,0,329,17576030135,20714,4712,24,106,9,134,202,20,0,415,23699717590,24788,5565,23,106,6,273,335,20,0,691,241292681698,23782,3502,25,170,9,81,85,2,0,174,94543988876,33787,10189,14,39,2,0,0,0,0,0,0,29895,10020,7,0,0,0,0,0,0,0,0,29959,10039,7,1,1,0,0,0,0,0,0,20929,7016,7,0,1
2,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007250000000,1,0,0,0,0,0,0,20126,6746,5,1,0,0,0,0,0,0,0,16910,5666,3,1,0,0,0,0,0,0,0,17811,5970,4,0,0,0,0,0,0,0,0,12708,4257,4,0,0,0,0,0,0,0,0,15903,5328,4,1,1,0,0,0,0,0,0,16693,5592,5,1,0,0,0,0,0,0,0,20502,6869,5,0,0,0,0,0,0,0,0,14614,4899,3,0,1,0,0,0,0,0,0,16645,5581,3,1,1,0,0,0,0,0,0,23829,7986,5,0,1
3,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007260000000,1,0,0,0,0,0,0,8325,2790,3,0,0,0,0,0,0,0,0,19176,6429,4,1,0,0,0,0,0,0,0,4735,1586,1,0,0,0,0,0,0,0,0,20495,6871,6,0,0,0,0,0,0,0,0,6217,2083,1,1,0,0,0,0,0,0,0,21129,7080,5,0,0,0,0,0,0,0,0,6327,2121,2,0,0,0,0,0,0,0,0,15893,5326,4,0,0,0,0,0,0,0,0,10275,3444,3,2,0,0,0,0,0,0,0,13040,4364,2,2,0
4,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007270000000,1,0,0,0,0,0,0,10861,3641,2,0,0,0,0,0,0,0,0,13024,4363,4,0,0,0,0,0,0,0,0,12766,4280,3,0,0,0,0,0,0,0,0,16360,5485,5,0,1,0,0,0,0,0,0,9323,3125,2,0,0,0,0,0,0,0,0,16505,5531,5,0,0,0,0,0,0,0,0,8278,2775,2,1,0,0,0,0,0,0,0,11120,3727,3,0,0,0,0,0,0,0,0,13119,4397,3,1,0,0,0,0,0,0,0,4886,1636,1,0,1
5,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007280000000,1,0,0,0,0,0,0,17603,5899,4,1,0,0,0,0,0,0,0,1348,452,1,0,0,0,0,0,0,0,0,19120,6409,4,0,1,0,0,0,0,0,0,9986,3348,3,1,0,0,0,0,0,0,0,16865,5653,3,1,0,0,0,0,0,0,0,9025,3026,4,0,0,0,0,0,0,0,0,11300,3786,4,0,0,0,0,0,0,0,0,10493,3518,2,0,0,0,0,0,0,0,0,1777,596,0,0,0,0,0,0,0,0,0,9839,3297,3,0,0
6,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007290000000,1,0,0,0,0,0,0,12040,4035,2,1,0,0,0,0,0,0,0,1785,598,1,0,0,0,0,0,0,0,0,6830,2287,2,0,0,0,0,0,0,0,0,11846,3970,4,1,0,0,0,0,0,0,0,5520,1851,1,0,0,0,0,0,0,0,0,5818,1950,2,0,0,0,0,0,0,0,0,12597,4223,3,1,1,0,0,0,0,0,0,8061,2703,2,0,0,0,0,0,0,0,0,2561,859,1,0,0,0,0,0,0,0,0,13115,4395,2,1,1
7,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007300000000,1,0,0,0,0,0,0,7400,2481,3,0,0,0,0,0,0,0,0,4064,1362,0,0,0,0,0,0,0,0,0,8254,2766,2,0,0,0,0,0,0,0,0,8517,2854,2,0,1,0,0,0,0,0,0,2581,865,1,0,0,0,0,0,0,0,0,5845,1955,2,0,0,0,0,0,0,0,0,10104,3390,3,1,0,0,0,0,0,0,0,6476,2170,2,0,0,0,0,0,0,0,0,4553,1525,0,0,0,0,0,0,0,0,0,10999,3685,3,2,1
8,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007310000000,1,0,0,0,0,0,0,4795,1607,1,0,0,0,0,0,0,0,0,5907,1980,3,0,0,0,0,0,0,0,0,8608,2886,3,0,0,0,0,0,0,0,0,4426,1485,1,0,0,0,0,0,0,0,0,6604,2213,1,0,0,0,0,0,0,0,0,8998,3016,2,0,0,0,0,0,0,0,0,6815,2107,2,2,1,41,48,2,0,98,40945777257,12418,2492,19,61,6,137,179,15,0,371,180437054338,13839,2122,19,68,11,138,171,11,0,353,167910270589,14634,2325,13,52,9
9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9.exe,133497007320000000,1,142,176,11,0,364,182530418882,14532,2316,18,75,11,135,171,9,0,341,165922441737,13026,2032,13,54,8,138,184,14,0,379,136556710858,13318,1993,14,42,6,107,119,4,0,240,82140456784,11511,1959,10,31,4,78,78,0,0,157,81109435576,8927,1659,12,55,5,141,168,9,0,345,163796852158,12233,1823,15,57,5,123,161,13,0,336,162597040795,12215,1833,10,50,5,151,170,6,0,346,149124839461,15035,2493,13,49,7,194,197,1,0,395,235762455360,15065,2301,12,49,3,159,171,4,0,346,184164483014,13413,2062,14,46,5
