,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347614990000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7009,1321,45,65,16,0,0,0,0,1,0,11756,2133,68,26,7,0,0,0,0,12,0,8323,1641,49,89,29,0,0,0,15,35,0,6763,1333,45,125,26,0,0,0,0,36,0,7247,1633,54,280,37
1,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615000000000,1,0,0,0,0,14,0,1400,305,13,85,23,0,1741,0,0,1743,840723,10172,2028,23,50,16,11,401,6,0,666,549053,8039,1086,42,139,9,11,20,10,0,176,8775173,13639,1423,40,121,11,12,22,12,0,120,3315734,11984,848,46,118,21,14,26,12,0,135,17492277,22233,2464,65,195,45,11,26,8,0,106,6573708,15984,2376,42,99,21,10,18,10,0,98,5759165,11928,975,33,74,21,11,20,10,0,101,5926788,10984,960,33,81,15,10,22,10,0,109,12113408,18242,1724,44,106,20
2,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615010000000,1,13,30,10,0,112,9033821,17123,1695,44,100,24,12,20,11,0,111,11544206,14513,1730,36,111,23,12,21,11,0,109,15594343,17001,1189,40,102,19,11,21,10,0,108,26062078,21587,1926,47,119,20,11,22,11,0,105,5143043,11366,1242,31,88,15,7,14,7,0,70,14482869,14132,1014,32,64,16,6,12,5,0,57,25386228,12818,1170,25,52,19,9,14,8,0,82,14313795,10975,790,31,67,15,7,18,8,0,74,7846791,13484,1369,33,81,24,9,17,9,0,88,4504209,11774,1099,33,74,18
3,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615020000000,1,12,23,11,0,120,20881101,12007,913,36,88,20,9,17,9,0,88,4144490,12612,1607,29,73,15,10,21,10,0,95,3957797,10938,1047,31,72,13,9,18,9,0,90,1181921,9441,960,33,69,15,7,14,7,0,190,2972632,8617,1158,28,71,13,9,16,8,0,141,3705868,10693,972,34,91,20,6,12,6,0,90,3665110,10097,1189,25,59,20,9,20,9,0,110,1403056,8282,728,31,66,20,8,14,8,0,109,917048,7706,859,25,65,17,8,16,8,0,81,8093816,9713,883,33,54,18
4,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615030000000,1,5,8,5,0,43,31836166,29526,7070,39,54,16,0,0,0,0,0,0,45897,15624,49,7,5,0,0,0,0,0,0,47260,16099,48,5,1,0,0,0,0,0,0,48098,16381,46,6,7,0,0,0,0,0,0,47990,16348,48,0,1,0,0,0,0,0,0,48554,16530,49,14,5,0,0,0,0,0,0,47423,16155,49,5,5,0,0,0,0,0,0,47453,16163,46,5,2,0,0,0,0,0,0,48058,16370,46,5,6,0,0,0,0,0,0,48095,16381,49,3,2
5,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615040000000,1,0,0,0,0,0,0,44983,15323,43,4,4,0,0,0,0,0,0,41915,14279,43,10,5,0,0,0,0,0,0,47673,16239,48,2,2,0,0,0,0,0,0,48273,16444,46,5,3,0,0,0,0,0,0,48435,16496,49,3,3,0,0,0,0,0,0,48077,16375,46,7,5,0,0,0,0,0,0,48428,16496,49,5,4,0,0,0,0,0,0,48316,16460,48,2,4,0,0,0,0,0,0,48984,16684,47,6,2,0,0,0,0,0,0,48578,16548,47,4,5
6,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615050000000,1,0,0,0,0,0,0,49389,16823,47,4,3,0,0,0,0,0,0,43973,14978,43,5,4,0,0,0,0,0,0,43767,14909,44,6,3,0,0,0,0,0,0,48150,16401,48,3,2,0,0,0,0,0,0,49219,16767,47,4,6,0,0,0,0,0,0,48490,16517,48,1,0,0,0,0,0,0,0,47343,16124,46,7,4,0,0,0,0,0,0,48158,16404,49,4,2,0,0,0,0,0,0,47990,16346,47,5,4,0,0,0,0,0,0,48245,16435,48,5,4
7,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615060000000,1,0,0,0,0,0,0,49341,16808,46,2,1,0,0,0,0,0,0,48685,16583,49,7,5,0,0,0,0,0,0,42869,14601,42,4,1,0,0,0,0,0,0,46511,15845,45,8,5,0,0,0,0,0,0,48338,16465,49,3,4,0,0,0,0,0,0,48789,16620,46,4,1,0,0,0,0,0,0,44830,15270,46,7,6,0,0,0,0,0,0,44394,15125,43,6,4,0,0,0,0,0,0,48098,16381,47,2,2,0,0,0,0,0,0,47791,16282,47,8,4
8,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615070000000,1,0,0,0,0,0,0,48963,16679,48,2,3,0,0,0,0,0,0,49725,16936,50,6,4,0,0,0,0,0,0,47084,16039,46,5,4,0,0,0,0,0,0,41475,14129,41,6,1,0,0,0,0,0,0,46405,15807,47,6,5,0,0,0,0,0,0,48133,16393,45,4,3,0,0,0,0,0,0,47321,16121,49,6,4,0,0,0,0,0,0,47898,16314,46,4,3,0,0,0,0,0,0,48820,16629,49,2,2,0,0,0,0,0,0,49694,16926,48,6,5
9,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,6982-7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984.exe,133347615080000000,1,0,0,0,0,0,0,48380,16480,48,4,2,0,0,0,0,0,0,49380,16823,49,5,2,0,0,0,0,0,0,48849,16643,46,4,4,0,0,0,0,0,0,47748,16261,48,3,1,0,0,0,0,0,0,43526,14827,43,7,4,0,0,0,0,0,0,47829,16292,48,7,6,6,13,6,0,60,17284969,16452,4023,27,38,9,8,13,6,0,64,1216061,6856,926,21,33,11,6,11,5,0,58,6142965,7802,766,25,41,11,6,13,7,0,62,5925624,8318,654,26,46,11
