,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655740000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,366,82,3,9,2,13,0,0,0,50,362336,2281,539,11,57,7,5,0,0,0,34,3868,1878,447,12,30,5,20,0,0,0,41,684406,2288,512,15,42,6,0,0,0,0,6,0,2137,417,16,51,13,3,2,3,0,16,3630786,6491,894,9,21,6,1,1,1,0,7,2330112,9473,960,5,16,5,4,4,4,0,24,583187,7933,1253,11,11,4
1,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655750000000,1,4,4,4,0,24,333160,8140,1317,10,12,4,5,5,5,0,30,416450,8236,1338,12,10,6,4,4,4,0,24,1230390,8766,1296,9,11,3,4,4,4,0,24,1373928,8798,1289,10,13,4,3,3,3,0,18,1855206,7260,963,5,10,5,1,2,1,0,6,3636715,9349,1045,7,13,5,3,2,3,0,18,3499609,9273,1076,7,13,6,3,3,3,0,18,2524044,8177,1265,11,11,6,2,2,2,0,12,2377366,9803,1045,6,12,5,4,4,4,0,24,775267,8711,1325,11,7,1
2,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655760000000,1,5,5,5,0,30,776492,8873,1425,11,8,1,3,3,3,0,18,2656287,8511,1050,7,18,8,3,3,3,0,18,909547,8135,1214,10,4,2,4,4,4,0,24,1247101,8507,1289,10,10,5,4,4,4,0,24,1255086,8816,1299,9,10,4,2,2,2,0,12,1952288,9253,1030,6,7,4,4,4,4,0,24,3597627,8769,1332,10,15,5,2,2,2,0,12,2387488,9684,1070,6,8,4,5,5,5,0,30,1670160,8383,1317,10,12,3,2,2,2,0,12,3145760,9665,1174,7,9,4
3,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655770000000,1,4,4,4,0,24,1867879,8742,1206,9,7,3,4,4,4,0,24,883951,8848,1304,9,6,2,4,4,4,0,24,506671,8706,1399,10,8,3,1,2,1,0,6,5101315,10308,1007,5,16,7,5,4,5,0,30,3003965,8436,1373,9,10,4,0,0,0,0,0,0,8687,729,4,1,0,3,3,3,0,18,3525229,7408,1097,8,15,7,5,5,5,0,30,631107,8153,1322,11,9,2,2,2,2,0,12,3856327,8481,1040,7,10,5,1,1,1,0,6,2895312,10278,1027,7,10,4
4,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655780000000,1,2,2,2,0,12,6145932,8297,1045,5,17,8,0,0,0,0,0,0,8553,647,1,1,2,3,3,3,0,18,4823842,8226,1067,6,18,9,3,3,3,0,18,2732274,7990,1153,7,10,3,1,1,1,0,6,2370064,8521,951,5,13,7,3,3,3,0,18,1842224,7778,1037,8,10,2,3,3,3,0,18,515719,6685,1070,6,5,5,4,4,4,0,24,656343,7186,1116,9,8,4,4,4,4,0,24,634051,7833,1230,10,9,2,2,2,2,0,12,3148192,9128,1103,9,13,4
5,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655790000000,1,1,1,1,0,6,2138171,8754,874,4,10,6,3,3,3,0,18,4970434,9116,1094,6,13,5,2,2,2,0,12,7499728,8503,1079,5,13,5,0,0,0,0,0,0,9615,833,4,4,0,0,1,0,0,0,5328976,8842,769,3,18,10,2,1,2,0,12,4656144,7388,997,5,12,4,0,0,0,0,0,0,9145,690,3,3,2,2,2,2,0,12,4702638,5934,780,3,16,8,3,3,3,0,18,1071538,6578,968,8,6,2,3,3,3,0,18,1744195,6384,955,8,8,3
6,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655800000000,1,1,1,1,0,6,1292128,5634,604,4,5,2,1,1,1,0,6,1362448,5758,654,4,5,2,2,2,2,0,12,1997146,5606,802,4,11,4,3,3,3,0,18,717838,5571,871,7,10,2,2,3,2,0,12,723921,5650,826,7,7,3,3,2,3,0,18,1541140,6214,849,6,7,4,3,3,3,0,18,331966,6031,948,8,4,2,2,2,2,0,12,570782,5381,780,5,4,2,3,3,3,0,18,6882198,6364,971,6,13,7,0,0,0,0,0,0,7909,701,3,2,1
7,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655810000000,1,0,0,0,0,0,0,8504,641,2,2,0,2,2,2,0,12,6271692,7404,914,6,20,12,4,4,4,0,24,442568,6762,1078,8,8,3,3,3,3,0,18,638996,7426,1140,8,5,1,4,4,4,0,24,998297,7529,1150,9,10,4,4,4,4,0,24,814401,7200,1162,9,5,2,2,2,2,0,12,1749536,6753,918,7,7,4,3,3,3,0,18,916057,6925,938,6,8,4,4,4,4,0,24,607865,6810,1072,8,7,3,3,4,4,0,23,387490,6961,1100,9,5,2
8,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655820000000,1,5,4,4,0,25,344739,7227,1169,8,5,1,4,4,4,0,24,426377,7919,1306,10,8,4,4,4,4,0,23,2223654,7717,1161,7,11,4,1,1,1,0,7,1545171,8476,998,6,11,5,3,3,3,0,18,1804953,8234,1111,8,8,3,4,4,4,0,24,1951294,8238,1176,7,11,5,2,2,2,0,12,2476479,8494,1054,7,11,5,5,5,5,0,30,720601,8351,1290,7,7,2,4,4,4,0,24,355360,7412,1212,9,7,3,2,2,2,0,12,3506208,8152,1023,7,13,7
9,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133497655830000000,1,2,2,2,0,12,3171342,8752,998,6,10,4,1,1,1,0,6,3428213,9254,1007,6,9,6,2,3,3,0,17,2340427,8467,992,7,15,7,3,2,2,0,13,3148814,8827,1158,8,7,3,3,3,3,0,18,2297151,8956,1064,6,9,4,2,2,2,0,12,5190737,8762,1166,6,10,3,0,0,0,0,0,0,10513,793,3,2,1,2,2,2,0,12,7697904,8744,1133,5,21,11,1,1,1,0,6,3521571,9991,974,5,11,5,2,2,2,0,12,3483192,9377,1066,6,10,5
