,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661160000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,135,1051602,2098,457,18,57,15,1,0,0,0,3,19267584,2737,557,17,96,34,0,0,0,0,0,0,4562,946,7,167,41,9,6,0,0,68,139766,3944,805,10,81,25
1,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661170000000,1,4,0,0,0,8,115645,4415,717,5,10,3,4,0,0,0,8,213764,5109,837,2,10,4,5,0,0,0,10,233861,5011,802,2,13,4,4,0,0,0,8,174708,4562,753,5,16,3,6,0,0,0,11,357089,5823,928,5,11,4,5,1,0,0,12,104968,5837,964,5,12,4,7,1,0,0,15,40780,7660,1375,8,21,5,8,0,0,0,16,262406,8068,1323,6,9,3,8,0,0,0,16,230013,7844,1275,6,11,5,8,0,0,0,16,17134,8111,1373,6,8,4
2,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661180000000,1,6,1,0,0,13,17275,5904,1018,6,20,4,0,0,0,0,0,0,901,192,8,47,4,1,0,0,0,1,33131472,6052,744,4,43,17,0,0,0,0,1,0,4836,809,2,13,5,0,0,0,0,0,0,4348,332,0,3,0,0,0,0,0,0,0,5775,441,2,2,2,0,0,0,0,0,0,5585,427,5,3,0,0,0,0,0,0,0,4840,380,2,7,0,0,0,0,0,0,0,4771,369,1,0,0,0,0,0,0,0,0,5294,405,3,3,2
3,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661190000000,1,0,0,0,0,0,0,3089,243,1,4,0,0,0,0,0,0,0,7699,585,1,5,1,0,0,0,0,0,0,9875,763,3,0,0,0,0,0,0,0,0,8305,639,4,1,1,0,0,0,0,0,0,9208,716,2,2,1,0,0,0,0,0,0,8996,717,2,14,11,0,0,0,0,0,0,3039,605,13,100,38,0,0,0,0,0,0,3222,676,20,102,5,0,0,0,0,0,0,3583,745,12,83,5,0,0,0,0,0,0,3884,820,9,92,4
4,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661200000000,1,3,0,0,0,6,5745816,8764,992,4,17,9,1,0,0,0,1,20247552,10054,919,4,20,12,0,0,0,0,1,0,12960,1357,4,10,3,0,0,0,0,0,0,13471,1042,4,4,2,0,0,0,0,0,0,12322,952,4,5,1,0,0,0,0,0,0,12840,991,5,1,1,1,0,0,0,2,20907902,7669,1056,2,85,62,0,0,0,0,0,0,12533,962,3,4,2,0,0,0,0,0,0,12300,946,5,5,2,0,0,0,0,0,0,12117,930,4,3,1
5,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661210000000,1,0,0,0,0,0,0,11871,925,4,18,16,1,0,0,0,2,5234572,10304,1006,3,39,29,1,0,0,0,2,3077309,11004,1001,7,19,9,1,0,0,0,2,3122411,10371,944,3,15,7,2,0,0,0,5,2017576,9170,983,4,24,16,1,0,0,0,1,15009145,12319,1243,3,10,4,0,0,0,0,0,0,12774,987,4,3,0,0,0,0,0,0,0,11959,923,3,3,1,1,0,0,0,2,142847,5445,726,11,75,20,2,3,0,0,7,1244578,6780,929,9,41,6
6,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661220000000,1,0,0,0,0,0,0,3705,756,9,67,4,3,10,0,0,16,189086,5833,1071,12,56,7,9,0,0,0,18,396324,9211,1467,7,9,4,8,0,0,0,16,405976,8153,1312,5,8,2,7,0,0,0,14,321924,7629,1217,6,8,3,7,1,0,0,15,62266,8891,1591,7,10,3,9,0,0,0,18,199769,8943,1483,6,8,2,9,0,0,0,18,298380,9066,1470,6,6,2,10,0,0,0,20,25579,8734,1487,5,9,3,5,0,0,0,9,33139108,8677,1396,7,35,16
7,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661230000000,1,0,0,0,0,1,0,11770,1395,4,15,4,0,0,0,0,0,0,12734,983,4,3,1,0,0,0,0,0,0,12960,1001,3,3,0,0,0,0,0,0,0,12959,1002,4,3,1,0,0,0,0,0,0,13094,1011,4,4,1,0,0,0,0,0,0,13903,1073,5,4,0,0,0,0,0,0,0,9481,1054,4,52,35,0,0,0,0,0,0,6739,1389,13,79,13,1,0,0,0,2,2113073,7686,1490,12,66,6,2,0,0,0,4,3632743,11532,1126,5,11,6
8,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661240000000,1,1,0,0,0,2,20247552,11042,1279,3,26,16,0,0,0,0,0,0,12865,996,3,3,2,0,0,0,0,0,0,13022,1004,4,3,0,0,0,0,0,0,0,12542,969,3,2,1,1,0,0,0,1,20907902,10081,909,4,45,33,0,0,0,0,1,0,13406,1402,4,14,7,0,0,0,0,0,0,12820,990,4,3,1,0,0,0,0,0,0,12686,980,3,2,0,0,0,0,0,0,0,13002,1004,4,3,1,1,0,0,0,2,5234572,9687,990,3,38,27
9,7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133497661250000000,1,1,0,0,0,2,3077309,10284,975,5,15,9,1,0,0,0,2,3122411,12238,1093,3,11,5,2,0,0,0,5,2017576,11247,1117,5,16,8,1,0,0,0,1,15009145,12195,1247,3,15,7,0,0,0,0,0,0,12323,952,4,3,1,0,0,0,0,0,0,12519,966,3,3,1,2,0,0,0,4,1381537,8787,1129,6,48,20,1,3,0,0,5,5888,7786,1441,11,42,6,3,29,0,0,35,35316,6605,1291,13,49,6,4,85,5,0,108,272396,5914,1054,11,48,8
