,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098670000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,65,2573,2935,633,14,66,16,1,0,0,0,22,129,7220,1161,17,23,5,0,0,0,0,0,0,10351,1468,17,0,0,0,0,0,0,0,0,10213,1450,18,0,0
1,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098680000000,1,0,0,0,0,0,0,9910,1407,16,1,0,0,0,0,0,0,0,10163,1443,16,1,0,0,0,0,0,0,0,8657,1229,16,0,0,0,0,0,0,0,0,9938,1412,17,0,1,0,0,0,0,0,0,8879,1264,15,0,1,0,0,0,0,0,0,9633,1368,16,1,0,0,0,0,0,0,0,9409,1335,15,3,0,0,1,0,0,3,144,9513,1355,17,12,2,0,2,1,0,13,2736,6754,665,8,32,12,0,0,0,0,0,0,9223,789,6,2,0
2,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098690000000,1,0,0,0,0,0,0,8697,744,7,1,1,0,0,0,0,0,0,9315,797,5,1,0,0,0,0,0,0,0,9206,787,6,1,0,0,0,0,0,0,0,8951,766,7,1,1,0,0,0,0,0,0,9084,773,6,1,0,0,0,0,0,0,0,9466,804,6,1,0,0,0,0,0,0,0,9261,786,6,1,1,0,0,0,0,0,0,9395,799,7,1,1,0,0,0,0,0,0,9842,836,6,1,0,0,0,0,0,0,0,9624,817,7,1,0
3,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098700000000,1,0,1,1,0,6,1368,4689,520,6,34,18,0,3,5,0,25,4104,1783,343,7,62,30,0,2,2,0,8,2736,8083,701,6,6,1,0,0,0,0,0,0,8682,743,7,2,1,0,0,0,0,0,0,9251,789,5,1,0,0,0,0,0,0,0,9772,830,6,0,1,0,0,0,0,0,0,9423,800,6,1,0,0,0,2,0,6,0,7870,685,6,4,0,0,0,0,0,0,0,9036,770,6,1,0,0,0,0,0,0,0,8956,764,6,1,0
4,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098710000000,1,0,0,1,0,3,0,9152,786,6,3,0,0,0,0,0,0,0,9598,816,6,1,1,0,0,0,0,0,0,4866,416,3,0,0,0,0,1,0,3,0,8141,700,6,4,2,0,0,0,0,0,0,9690,824,5,1,0,0,0,1,0,3,0,7784,669,7,4,2,0,0,0,0,0,0,9323,797,6,1,1,0,0,0,0,0,0,9581,814,7,1,0,0,3,3,0,39,4104,4115,495,5,49,24,0,10,21,0,74,13680,1854,239,9,57,3
5,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098720000000,1,0,6,24,0,77,8208,3691,412,9,37,3,0,4,6,0,29,5472,4554,449,6,25,8,0,0,0,0,0,0,8940,763,7,3,1,0,0,0,0,0,0,9532,813,7,1,0,0,0,0,0,0,0,9691,823,6,1,0,0,0,1,0,3,0,8860,764,8,2,2,0,0,0,0,0,0,9386,802,6,2,1,0,0,0,0,0,0,9839,836,6,0,0,0,6,8,0,32,8208,7329,659,7,18,3,0,0,2,0,4,0,7362,632,7,6,2
6,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098730000000,1,0,7,17,0,58,9576,5434,585,7,24,3,0,0,1,0,3,0,8698,747,7,3,2,0,0,0,0,0,0,8726,749,7,2,1,0,0,0,0,0,0,8683,746,4,1,0,0,0,0,0,0,0,8984,767,7,1,1,0,0,8,0,24,0,5567,539,6,12,2,0,0,14,0,42,0,6026,614,8,20,5,0,0,18,0,54,0,5007,497,8,24,2,0,0,15,0,45,0,4579,523,4,29,4,0,0,13,0,39,0,6442,582,5,18,3
7,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098740000000,1,0,0,18,0,54,0,5781,544,6,18,2,0,0,11,0,33,0,6828,642,5,14,3,0,2,10,0,32,2736,6673,602,7,13,1,0,0,19,0,57,0,4833,489,5,21,2,0,0,4,0,12,0,7047,611,8,11,1,0,0,15,0,45,0,4491,465,7,28,4,0,0,21,0,65,0,4155,419,6,28,1,0,0,29,0,85,0,2781,340,8,40,7,0,0,21,0,63,0,3707,448,8,35,5,0,0,24,0,74,0,3118,406,7,43,6
8,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098750000000,1,0,0,27,0,79,0,3533,401,7,40,4,0,0,24,0,71,0,2884,314,3,37,2,0,0,22,0,67,0,3282,350,7,38,1,0,0,20,0,59,0,4117,432,5,25,3,0,0,24,0,73,0,3086,335,7,41,3,0,0,20,0,60,0,3739,397,8,41,2,0,0,13,0,39,0,4828,451,8,28,3,0,0,31,0,95,0,2763,364,5,44,5,0,0,26,0,76,0,3383,365,8,36,5,0,0,14,0,42,0,4950,523,7,20,2
9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098760000000,1,0,0,15,0,45,0,4523,440,8,26,2,0,0,17,0,51,0,5312,502,7,21,2,0,0,12,0,36,0,5762,526,6,16,1,0,0,22,0,66,0,3415,378,9,43,2,0,0,19,0,56,0,3777,376,9,36,1,0,0,15,0,46,0,4481,425,8,33,1,0,9,25,0,84,12312,3969,413,6,31,5,0,9,22,0,75,12312,3794,389,5,24,3,0,3,8,0,27,4104,4067,374,4,12,4,0,4,22,0,69,5472,4612,478,7,31,2
10,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098770000000,1,0,8,23,0,78,10944,4985,494,7,29,3,0,1,14,0,43,1368,5215,509,5,18,3,0,2,4,0,14,2736,7691,671,6,7,1,0,0,0,0,0,0,8427,725,7,2,0,0,0,0,0,0,0,7468,645,6,2,1,0,0,0,0,0,0,5918,516,5,2,1,0,3,28,0,86,4104,3313,359,7,41,4,0,10,27,0,92,13680,3567,407,10,52,4,0,3,9,0,30,4104,5247,479,5,15,2,0,1,20,0,61,1368,5044,494,6,22,4
11,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098780000000,1,0,0,8,0,24,0,6838,610,5,12,2,0,0,11,0,33,0,6857,648,6,14,3,0,0,12,0,38,0,7020,636,5,17,2,0,0,11,0,33,0,6747,613,7,16,2,0,0,22,0,64,0,5291,521,4,26,3,0,0,13,0,39,0,5920,588,7,21,1,0,0,9,0,27,0,6360,572,8,13,3,0,0,12,0,36,0,5494,509,8,27,1,0,0,6,0,18,0,6322,562,7,18,1,0,0,7,0,21,0,5071,459,6,13,3
12,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098790000000,1,0,0,12,0,36,0,5222,484,8,23,3,0,0,15,0,45,0,4932,466,7,26,2,0,0,8,0,24,0,6344,569,6,18,1,0,0,3,0,9,0,7704,696,7,10,2,0,0,7,0,21,0,7807,687,8,9,2,0,0,0,0,0,0,9146,782,6,1,1,0,0,1,0,3,0,7903,679,6,3,0,0,2,11,0,35,2736,6100,560,7,20,3,0,8,17,0,59,10944,4911,476,8,27,1,0,5,17,0,56,6840,4358,420,5,24,4
13,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098800000000,1,0,2,17,0,53,2736,3979,405,4,20,3,0,3,12,0,39,4104,6709,604,6,15,2,0,5,9,0,32,6840,6480,587,6,13,2,0,4,5,0,19,5472,6409,565,4,8,0,0,0,1,0,3,0,7549,648,6,3,1,0,0,2,0,6,0,7610,657,7,5,1,0,0,0,0,0,0,7780,666,6,2,0,0,0,4,0,12,0,6826,593,6,8,3,0,0,2,0,6,0,8462,731,6,4,1,0,0,0,0,0,0,9019,774,8,3,2
14,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.exe,133497098810000000,1,0,0,0,0,0,0,7764,663,7,1,0,0,0,0,0,0,0,7807,666,9,1,0,0,0,1,0,3,0,6947,599,6,3,1,0,6,14,0,48,8208,5637,530,7,19,3,0,1,7,0,22,1368,6522,600,5,11,1,0,0,0,0,0,0,9336,798,6,1,1,0,9,11,0,42,12312,4268,415,6,24,3,0,14,13,0,52,19152,3737,380,8,43,2,0,7,8,0,31,9576,4763,442,7,26,2,0,8,7,0,30,10944,4979,484,6,15,2
