,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183090000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,0.0,670,148,5,16,4
1,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183100000000,1,8,1,0.0,0.0,97,3621.0,3283,715,18,65,15,0,0,0.0,0.0,0,0.0,1997,426,14,72,7,0,0,0.0,0.0,0,0.0,1806,386,12,70,6,0,0,0.0,0.0,0,0.0,1827,388,6,61,6,0,0,0.0,0.0,0,0.0,2079,421,5,69,4,0,0,0.0,0.0,0,0.0,2712,592,4,46,5,0,0,0.0,0.0,0,0.0,5391,1068,12,39,9,1,3,0.0,0.0,102,1646.0,4436,666,8,45,7,2751,2767,1.0,0.0,5565,2141185534.0,8260,1511,14,33,3,3274,3302,0.0,0.0,6600,2952594374.0,8047,1489,13,33,8
2,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183110000000,1,3474,3480,0.0,0.0,6956,3414535216.0,8581,1625,15,28,10,49,53,0.0,0.0,298,452421.0,7735,1104,13,48,9,0,0,0.0,0.0,200,0.0,7923,1123,12,46,6,0,0,0.0,0.0,222,0.0,8470,1186,10,41,3,0,0,0.0,0.0,212,0.0,8405,1193,10,42,3,0,0,0.0,0.0,220,0.0,8707,1235,9,39,3,0,0,0.0,0.0,222,0.0,8557,1206,10,43,3,1934,1977,4.0,0.0,4000,269931206.0,7789,1325,15,39,9,2975,3022,4.0,0.0,6024,442620768.0,7972,1449,17,35,8,3109,3164,5.0,0.0,6309,428479630.0,8171,1479,17,37,6
3,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183120000000,1,2206,2248,4.0,0.0,4521,255496262.0,7931,1380,14,34,7,0,0,0.0,0.0,221,0.0,8743,1333,9,26,2,0,0,0.0,0.0,202,0.0,9199,1386,11,27,2,0,0,0.0,0.0,204,0.0,9185,1405,9,25,3,0,0,0.0,0.0,202,0.0,8985,1351,9,26,2,0,0,0.0,0.0,194,0.0,8821,1330,11,27,3,0,0,0.0,0.0,198,0.0,9068,1372,8,28,3,0,0,0.0,0.0,204,0.0,8999,1349,9,24,2,2980,2996,5.0,0.0,6034,430038446.0,8571,1555,16,30,9,3281,3298,5.0,0.0,6619,443800524.0,8494,1561,17,29,5
4,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183130000000,1,3414,3434,5.0,0.0,6888,476811950.0,8771,1613,16,30,3,2914,2950,8.0,0.0,5908,2105097706.0,7775,1408,17,38,7,3173,3179,0.0,0.0,6352,8079825368.0,8069,1498,19,26,9,3164,3170,0.0,0.0,6335,9342488608.0,8253,1500,22,27,6,3283,3291,0.0,0.0,6574,11052841192.0,8463,1563,19,25,5,3310,3319,0.0,0.0,6629,12545190288.0,8356,1508,19,25,4,3403,3414,0.0,0.0,6817,14367661096.0,8557,1551,18,27,2,3065,3101,10.0,0.0,6215,3273187645.0,7668,1405,17,37,6,2262,2321,12.0,0.0,4643,141524170.0,6234,1144,14,39,12,2974,3020,10.0,0.0,6044,842111846.0,7650,1405,16,37,8
5,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183140000000,1,3122,3152,6.0,0.0,6303,1319836640.0,7699,1405,17,31,6,3452,3461,0.0,0.0,6914,2919205504.0,8516,1558,15,26,4,2547,2582,10.0,0.0,5179,1944091688.0,6614,1211,17,34,12,3111,3119,0.0,0.0,6230,3840437836.0,7976,1442,20,29,13,2924,2935,2.0,0.0,5869,4715795757.0,7710,1392,16,28,10,3160,3180,2.0,0.0,6349,5659748488.0,7876,1430,18,27,7,2824,2831,0.0,0.0,5656,6619817048.0,7109,1289,16,27,6,3440,3450,0.0,0.0,6889,9448159696.0,8879,1608,20,26,3,3407,3415,0.0,0.0,6823,10852222661.0,8614,1559,19,25,3,2759,2777,2.0,0.0,5545,5820913586.0,6950,1264,16,27,11
6,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183150000000,1,3388,3404,2.0,0.0,6803,4014068464.0,8347,1516,19,26,3,3307,3316,0.0,0.0,6622,6201144658.0,8371,1513,19,25,4,3489,3500,0.0,0.0,6990,8065024566.0,8959,1619,20,28,4,3165,3201,8.0,0.0,6406,4840341604.0,8100,1475,19,33,5,3469,3482,0.0,0.0,6950,8739921152.0,8693,1575,19,26,3,3443,3454,0.0,0.0,6898,10202242304.0,8694,1571,20,28,6,3254,3265,0.0,0.0,6519,11042051200.0,8269,1498,21,25,9,2535,2546,0.0,0.0,5080,9566829568.0,7400,1380,16,28,9,2804,2812,0.0,0.0,5617,11588663808.0,8139,1602,18,26,6,2684,2712,6.0,0.0,5426,9888271122.0,7400,1473,17,30,8
7,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183160000000,1,2901,2933,6.0,0.0,5864,721095978.0,7609,1389,18,34,10,2843,2891,10.0,0.0,5784,799956193.0,7435,1355,18,36,9,3097,3111,2.0,0.0,6217,3488854820.0,7971,1446,18,30,7,3093,3104,0.0,0.0,6198,5373391865.0,7925,1434,18,28,5,1893,1898,0.0,0.0,3791,3893593097.0,4760,860,12,17,3,2825,2851,6.0,0.0,5706,5151274755.0,7433,1351,17,30,5,2978,3007,4.0,0.0,6004,1039342607.0,7528,1370,17,31,6,3260,3277,4.0,0.0,6563,1348875917.0,7945,1456,18,34,5,2911,2935,4.0,0.0,5860,1433509920.0,7499,1363,17,31,6,2733,2766,6.0,0.0,5529,964687912.0,7438,1403,15,31,9
8,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183170000000,1,2682,2712,6.0,0.0,5425,2612785340.0,6955,1271,17,34,11,3101,3112,0.0,0.0,6213,6780595456.0,7695,1412,14,27,5,2971,2983,0.0,0.0,5953,7655935872.0,7477,1369,14,34,11,3336,3348,0.0,0.0,6685,9946716672.0,7988,1507,17,25,9,2957,2969,0.0,0.0,5926,10064539520.0,8337,1573,13,28,7,2718,2756,8.0,0.0,5514,1728930876.0,7116,1299,18,37,10,3166,3179,0.0,0.0,6344,4852548992.0,8058,1457,20,27,4,652,653,0.0,0.0,1305,1158434560.0,1816,329,5,7,2,3245,3257,0.0,0.0,6503,6580842880.0,8311,1544,19,25,8,3126,3154,4.0,0.0,6300,5945904064.0,7843,1435,16,32,7
9,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133497183180000000,1,3188,3201,0.0,0.0,6388,4025211776.0,8183,1484,19,26,7,2973,2984,0.0,0.0,5957,4930089728.0,7351,1386,14,23,7,2768,2814,10.0,0.0,5633,2835906291.0,7314,1335,16,36,8,3197,3220,2.0,0.0,6427,2229740832.0,8098,1476,18,29,4,3131,3143,0.0,0.0,6273,4536576640.0,8244,1491,19,29,5,3253,3264,0.0,0.0,6518,6046142208.0,8347,1506,19,30,11,3184,3202,2.0,0.0,6396,5551335328.0,8010,1453,19,29,10,2270,2282,2.0,0.0,4562,1485678752.0,5596,1018,11,19,7,2918,2929,0.0,0.0,5847,1871479808.0,8494,1671,18,26,5,2820,2855,6.0,0.0,5705,1386888615.0,7068,1294,15,30,6
