,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673570000000,1,1,0,0,0,11,0,866,194,5,19,3,432,432,0,0,877,12844876568,8485,983,9,21,4,661,660,0,0,1321,19684548608,9946,867,4,8,4,639,639,0,0,1278,19043794944,9900,890,4,9,5,186,189,1,0,378,3154127120,5925,845,13,44,5,593,599,2,0,1200,4648634840,9514,920,4,13,3,584,585,0,0,1169,8365429464,9105,861,3,7,4,560,565,2,0,1133,4934103520,8803,792,4,9,4,179,193,4,0,386,461482977,4495,572,12,60,5,0,0,0,0,0,0,3150,693,7,50,5
1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673580000000,1,0,0,0,0,0,0,1504,319,6,32,3,0,0,0,0,0,0,1804,369,10,64,4,6,8,1,0,18,459024,3127,637,10,69,4,86,91,2,0,186,250507746,4030,648,10,56,5,429,444,5,0,892,34897825102,7736,862,5,14,5,504,504,0,0,1009,105696460800,8059,793,2,9,5,480,481,0,0,960,100768153600,7545,745,3,7,2,489,488,0,0,978,102445875200,7519,669,3,7,4,465,527,1,0,996,180879367016,7182,640,4,11,4,490,489,0,0,979,1026555904000,7495,665,2,8,4
2,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673590000000,1,464,464,0,0,928,973078528000,7175,643,2,8,4,486,487,0,0,972,1020264448000,7479,668,4,8,3,464,463,0,0,928,972029952000,6931,598,3,8,3,363,985,1,0,1351,430335661476,6669,699,5,15,5,483,483,0,0,967,202584883200,7202,620,4,6,3,512,512,0,0,1024,214748364800,7843,695,3,7,3,538,538,0,0,1076,225653555200,8204,725,3,6,2,502,624,1,0,1130,246939661760,7715,685,4,11,4,565,565,0,0,1130,355467264000,8577,754,3,6,3,584,585,0,0,1168,367735603200,8855,776,4,8,2
3,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673600000000,1,590,589,0,0,1180,370881331200,8917,780,4,7,4,507,689,1,0,1200,392901447704,8068,738,6,15,7,538,538,0,0,1076,451307110400,8191,720,3,6,4,497,497,0,0,994,416913817600,7632,678,5,9,3,460,460,0,0,920,385875968000,7120,639,4,11,4,387,629,1,0,1020,358508161648,6472,623,4,19,5,476,476,0,0,952,499122176000,7313,648,5,8,3,497,497,0,0,994,521142272000,7625,677,4,5,3,529,529,0,0,1058,554696704000,7843,671,3,6,3,428,740,1,0,1172,451202287916,7085,676,4,13,4
4,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673610000000,1,533,534,0,0,1066,671298355200,8143,720,4,7,3,546,545,0,0,1092,686397849600,8309,771,3,7,3,545,545,0,0,1090,685768704000,8299,731,3,7,4,479,851,1,0,1333,608698409860,7841,743,4,12,3,542,542,0,0,1085,795659468800,8269,730,4,8,3,544,544,0,0,1088,798595481600,8128,705,3,6,2,171,172,0,0,343,251763097600,2778,255,3,3,1,471,471,0,0,941,691431014400,7031,607,4,6,3,371,802,1,0,1178,551341309404,6401,635,7,17,5,518,518,0,0,1036,869059788800,7927,701,4,9,3
5,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673620000000,1,536,536,0,0,1072,899258777600,8196,765,3,7,3,461,462,0,0,923,774268518400,7149,640,4,14,4,453,452,0,0,905,759169024000,6792,589,3,7,3,412,904,1,0,1320,757805930548,7250,733,3,12,4,464,464,0,0,927,875770675200,6926,599,4,9,4,450,450,0,0,901,849346560000,6739,582,4,7,2,498,498,0,0,996,939943526400,7630,676,3,7,3,387,951,2,0,1346,727606971249,6910,701,6,14,3,101,178,24,0,369,8396332,4961,653,9,28,2,339,367,10,0,747,536450016,6723,686,8,16,4
6,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673630000000,1,450,470,6,0,944,1328283785,7608,714,3,13,4,337,367,10,0,744,1111955842,6788,706,6,15,5,293,322,10,0,655,436392689,5870,621,3,16,2,341,361,7,0,730,859629332,6398,678,7,17,3,339,362,8,0,733,686635641,6222,613,4,20,3,313,335,7,0,676,478523411,5794,613,6,15,6,288,321,11,0,652,754386228,6180,656,6,18,3,415,428,5,0,863,2101986241,6966,651,5,11,5,353,381,10,0,775,944690574,6695,672,5,12,3,451,461,3,0,923,1880193234,7444,698,3,11,3
7,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673640000000,1,490,495,2,0,994,4518538717,7643,732,4,10,3,395,416,7,0,838,812223919,6948,667,6,18,5,284,325,13,0,660,411225304,6299,676,6,19,3,464,477,4,0,957,1412448116,7487,680,3,10,3,409,417,3,0,839,2677970816,7187,752,4,11,3,434,434,0,0,868,4625537280,6893,759,3,7,4,387,393,2,0,788,3488447904,6515,717,3,8,4,316,341,8,0,689,1758357898,6192,672,6,15,2,367,383,5,0,770,771017768,6249,591,5,12,3,268,304,12,0,621,200860800,5932,668,6,17,3
8,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673650000000,1,472,479,3,0,962,5668942054,7701,710,4,11,3,354,380,9,0,770,3707089464,6897,709,5,21,3,309,343,11,0,696,295317954,6206,640,6,21,4,164,220,20,0,464,33239809,5570,675,8,29,4,365,400,11,0,807,2067915505,7118,753,7,15,2,400,414,6,0,839,3854919489,7113,700,5,13,4,448,447,0,0,895,5203053860,6617,572,3,7,4,451,461,4,0,928,3077362470,7481,707,4,12,4,547,550,1,0,1101,5350519476,8061,696,4,7,3,158,212,21,0,453,44277605,5797,730,10,30,4
9,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1.exe,133497673660000000,1,169,224,20,0,473,44152318,5735,718,7,27,6,113,184,29,0,414,24214681,6163,886,8,25,4,112,163,22,0,363,21996851,5134,675,5,19,2,163,229,26,0,496,88109661,6307,805,9,28,3,193,243,20,0,515,202116744,6109,753,8,23,2,313,354,16,0,732,746426706,7075,811,6,14,3,206,260,19,0,541,123111841,5918,703,4,24,5,328,358,11,0,731,427169531,6539,684,7,16,3,404,431,10,0,874,1031333679,7612,768,6,13,3,177,228,21,0,490,95451014,6045,762,9,27,5
