,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394790000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21,179910,3752,852,30,171,13,1,0,0,0,15,176,4019,966,26,148,20,0,0,0,0,0,0,16810,2658,25,81,45,0,0,0,0,0,0,21768,3131,27,12,3,0,0,0,0,0,0,21876,3147,27,12,4,0,0,0,0,0,0,18049,2812,41,54,19
1,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394800000000,1,0,0,0,0,0,0,13516,1987,53,3,1,0,0,0,0,0,0,16212,2379,62,1,0,0,0,0,0,0,0,14739,2164,58,6,4,0,0,0,0,0,0,16972,2494,64,2,1,0,0,0,0,0,0,16739,2460,65,3,2,0,0,0,0,0,0,17405,2557,66,1,0,0,0,0,0,0,0,16604,2442,63,3,2,0,0,0,0,0,0,16585,2440,63,2,0,0,0,0,0,0,0,16678,2450,64,2,1,0,0,0,0,0,0,16517,2426,63,2,0
2,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394810000000,1,0,0,0,0,0,0,16961,2494,65,2,2,0,0,0,0,0,0,16910,2487,64,3,1,0,0,0,0,0,0,17183,2526,66,2,0,0,0,0,0,0,0,16665,2451,63,1,2,0,0,0,0,0,0,16402,2411,64,2,1,0,0,0,0,0,0,16869,2455,58,4,2,0,0,0,0,0,0,16928,2422,52,2,1,0,0,0,0,0,0,17065,2441,53,2,0,0,0,0,0,0,0,17541,2515,57,1,1,0,0,0,0,0,0,17586,2521,55,3,0
3,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394820000000,1,0,0,0,0,0,0,16242,2331,53,7,2,0,0,0,0,0,0,17717,2538,56,3,3,0,0,0,0,0,0,16736,2406,54,3,2,0,0,0,0,0,0,16810,2417,54,3,2,0,0,0,0,0,0,17400,2499,55,3,3,0,0,0,0,0,0,17707,2546,56,5,2,0,0,0,0,0,0,17854,2567,57,5,1,0,0,0,0,0,0,16802,2420,54,2,1,0,0,0,0,0,0,16655,2403,53,3,3,0,0,0,0,0,0,17006,2459,56,3,2
4,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394830000000,1,0,0,0,0,0,0,17894,2595,59,3,3,0,0,0,0,0,0,17033,2471,56,4,2,0,0,0,0,0,0,17615,2542,57,3,1,0,0,0,0,0,0,16573,2416,56,4,2,0,0,0,0,0,0,16808,2435,54,5,3,0,0,0,0,0,0,16907,2465,55,3,1,0,0,0,0,0,0,17425,2544,58,2,1,0,0,0,0,0,0,17578,2573,58,3,2,0,0,0,0,0,0,17020,2475,57,3,1,0,0,0,0,0,0,17266,2527,57,4,2
5,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394840000000,1,0,0,0,0,0,0,17470,2539,58,3,3,0,0,0,0,0,0,16699,2448,55,3,1,0,0,0,0,0,0,17368,2545,57,3,3,0,0,0,0,0,0,17327,2545,60,3,0,0,0,0,0,0,0,16657,2446,57,2,1,0,0,0,0,0,0,17111,2511,58,2,0,0,0,0,0,0,0,17361,2550,60,3,3,0,0,0,0,0,0,16947,2487,56,3,1,0,0,0,0,0,0,17052,2485,55,2,0,0,0,0,0,0,0,17709,2567,57,4,2
6,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394850000000,1,0,0,0,0,0,0,17360,2544,57,2,2,0,0,0,0,0,0,16849,2461,55,2,2,0,0,0,0,0,0,16092,2356,54,2,1,0,0,0,0,0,0,15987,2347,54,2,1,0,0,0,0,0,0,15936,2335,53,3,2,0,0,0,0,0,0,17564,2576,59,2,1,0,0,0,0,0,0,17617,2581,59,3,1,0,0,0,0,0,0,17525,2566,57,3,2,0,0,0,0,0,0,17533,2564,58,2,2,0,0,0,0,0,0,17672,2574,56,3,2
7,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394860000000,1,0,0,0,0,0,0,17215,2526,55,21,15,0,0,0,0,0,0,17112,2504,57,3,2,0,0,0,0,0,0,16994,2483,55,2,1,0,0,0,0,0,0,16841,2458,56,3,2,0,0,0,0,0,0,16906,2456,55,3,2,0,0,0,0,0,0,16430,2397,55,3,2,0,0,0,0,0,0,16734,2425,54,4,3,0,0,0,0,0,0,16925,2468,55,2,1,0,0,0,0,0,0,16944,2471,56,4,2,0,0,0,0,0,0,16811,2465,57,1,1
8,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394870000000,1,0,0,0,0,0,0,16775,2458,57,3,1,0,0,0,0,0,0,17179,2513,57,4,3,0,0,0,0,0,0,16646,2441,56,2,0,0,0,0,0,0,0,16325,2390,55,2,2,0,0,0,0,0,0,16345,2384,53,3,2,0,0,0,0,0,0,16260,2356,53,4,2,0,0,0,0,0,0,15639,2250,49,5,3,0,0,0,0,0,0,13617,1978,46,9,5,0,0,0,0,0,0,14398,2075,49,6,3,0,0,0,0,0,0,12647,1833,41,5,3
9,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac,Annabelle-716335ba5cd1e7186c40295b199190e2b6655e48f1c1cbe12139ba67faa5e1ac.exe,133347394880000000,1,0,0,0,0,0,0,13448,1951,46,5,2,0,0,0,0,0,0,13638,1986,46,5,4,0,0,0,0,0,0,14922,2173,50,3,2,0,0,0,0,0,0,15806,2292,52,4,3,0,0,0,0,0,0,15114,2207,51,3,2,0,0,0,0,0,0,13918,2019,47,3,2,0,0,0,0,0,0,14320,2088,50,4,2,0,0,0,0,0,0,14618,2131,48,4,3,0,0,0,0,0,0,12404,1814,43,3,1,0,0,0,0,0,0,11773,1722,41,2,2
