,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026410000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2376,537,20,62,9,7,0,0,0,22,180262,12389,2586,54,98,29,0,0,0,0,0,0,20520,3223,42,2,1,0,0,0,0,0,0,20367,3162,39,3,0,0,0,0,0,0,0,19808,3077,37,4,1,0,0,0,0,2,0,13012,2300,35,79,48,6,0,0,0,16,180530,10150,2271,64,93,27,1,0,0,0,6,584,11151,2538,76,93,13,0,0,0,0,4,0,10216,2355,75,119,20
1,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026420000000,1,0,0,0,0,0,0,58,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026490000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7958,1842,53,79,15,3,0,0,0,21,2512,10490,2492,77,198,34,19,0,0,0,36,683658,5107,1199,49,199,26,0,0,0,0,7,0,2151,480,21,114,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0
3,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026500000000,1,0,0,0,0,0,0,99,24,0,6,2,0,0,0,0,4,0,1048,238,10,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,295,9,12,4,0,0,0,0,0,0,23769,2269,43,40,18,0,0,0,0,3,0,13615,1400,50,103,15,0,0,0,0,0,0,12507,2881,81,402,34,8,0,0,0,15,1375981,27978,6734,109,631,29,0,0,0,0,1,0,91878,4890,105,21,11,0,0,0,0,0,0,79728,4204,89,21,8
4,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026510000000,1,0,0,0,0,0,0,93220,4868,101,11,8,6,6,0,0,18,2579680,80184,5797,113,120,45,1,2,0,0,3,146287,74205,4009,85,22,11,1,0,0,0,3,18290,87202,4622,99,18,8,2,3,0,0,7,1290305,85579,5012,103,37,16,3,4,0,0,10,1417310,77127,4973,100,78,30,2,0,0,0,4,627347,72073,4820,95,38,18,1,1,0,0,3,173073,76355,4297,87,22,10,2,3,0,0,8,255641,81811,4814,100,38,16,3,2,0,0,7,2254461,78309,4662,94,61,25
5,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026520000000,1,2,2,0,0,6,1606013,71904,4294,87,50,23,1,1,0,0,3,553991,80219,4342,93,31,18,4,4,0,0,12,1275417,80120,4902,98,66,31,1,1,0,0,3,177692,91156,4916,105,25,6,1,2,0,0,4,1321153,89663,5125,103,52,31,4,3,0,0,10,7079407,90642,5714,109,74,29,3,3,0,0,10,327083,85452,5273,107,43,15,0,0,0,0,0,0,75884,4805,94,32,17,2,2,0,0,5,1463543,77300,4561,88,43,14,4,4,0,0,13,2091194,91421,5905,118,74,29
6,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026530000000,1,1,1,0,0,3,50450,84390,5076,101,114,70,1,1,0,0,3,5336330,85222,5077,99,44,19,3,3,0,0,9,532460,84443,4980,103,41,20,2,2,0,0,6,1926743,83177,4996,103,62,28,1,1,0,0,3,942679,81651,4633,96,34,10,1,1,0,0,3,50465,81681,4509,93,24,13,1,2,0,0,4,468519,81691,4599,95,30,16,4,3,0,0,11,738494,88433,5159,107,52,21,3,3,0,0,8,9461537,88929,5894,106,101,46,0,1,0,0,1,299543,86010,5344,100,41,20
7,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026540000000,1,4,3,0,0,12,1699050,79089,5285,110,85,31,0,0,0,0,0,0,85467,4681,95,21,6,2,2,0,0,6,237054,83261,5054,99,62,30,0,1,0,0,0,8080232,89919,5691,101,131,80,5,4,0,0,15,3143593,80730,5682,107,97,38,3,3,0,0,9,245917,89990,5213,106,38,10,0,0,0,0,0,0,80281,4324,93,14,7,0,1,0,0,1,256743,85641,4620,99,19,11,3,2,0,0,7,5431344,76078,4888,94,86,48,4,4,0,0,13,6743365,75628,5501,101,87,37
8,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026550000000,1,0,0,0,0,0,0,86762,4549,93,12,6,2,2,0,0,6,785016,84454,5316,105,46,25,0,0,0,0,0,0,81360,4661,97,20,7,2,3,0,0,6,4910297,76578,5250,98,133,69,4,3,0,0,12,4419087,86002,6132,109,127,66,2,2,0,0,6,2662806,74278,4611,89,96,50,0,0,0,0,0,0,79596,4076,89,12,6,3,3,0,0,9,545446,75049,4627,92,47,18,2,2,0,0,6,559479,78865,4450,93,35,15,2,2,0,0,6,279559,79457,4522,95,31,14
9,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c,Argus-2b5c0eed6f0e364b39dba4263611b01e7c2399232fbf23a66ad17760d616314c.exe,133344026560000000,1,0,0,0,0,0,0,79542,4182,90,10,4,2,2,0,0,6,371748,66502,3914,82,45,15,2,3,0,0,8,2731729,78473,4807,96,59,24,2,1,0,0,4,1061932,65137,4180,85,54,25,2,2,0,0,6,259788,76906,4898,102,39,17,2,2,0,0,5,1063469,80942,4659,98,44,23,2,2,0,0,7,1859670,89420,5447,108,74,35,3,3,0,0,9,3774928,87881,5481,104,70,31,1,1,0,0,3,1350422,90931,5031,104,23,12,2,2,0,0,6,433934,91057,5214,108,38,17
