,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033050000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5554,1243,39,142,22,0,1,0,0,32,45,4358,954,27,164,26,0,0,0,0,14,0,1811,417,14,71,11
1,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033090000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1
2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033250000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033260000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,412,88,7,23,7
4,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033270000000,1,0,0,0,0,5,0,6878,1358,23,180,88,0,0,0,0,2,0,8083,1579,19,205,94,0,0,0,0,0,0,193,44,2,6,2,0,0,0,0,2,0,1696,380,5,7,2,0,0,0,0,2,0,1698,381,5,8,3,0,0,0,0,4,0,3086,690,16,55,11,19,4,0,0,53,2478,7614,1710,45,148,24,7,0,0,10,35,2573,7067,1505,43,229,69,0,0,0,0,0,0,20244,3819,72,671,312,5,267,2,0,296,378800543,24702,4730,67,582,268
5,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033280000000,1,8,96,3,0,144,10961335,23931,4874,74,590,288,10,95,4,0,166,8796664,20318,3799,68,607,295,3,33,1,0,58,2289111,22255,4352,64,572,295,0,0,0,0,0,0,19293,3599,64,565,301,0,0,0,0,0,0,23507,4481,69,588,275,4,25,1,0,47,3663167,23786,4483,74,660,305,8,371,3,0,440,365105600,26706,5145,72,641,295,10,223,4,0,289,192947006,22626,4393,66,619,287,4,95,1,0,128,143537837,21845,4032,72,590,285,5,140,2,0,175,115304913,24488,4580,68,650,301
6,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033290000000,1,9,127,3,0,190,27114982,24327,4688,77,662,296,0,0,0,0,0,0,21597,3994,66,614,285,0,0,0,0,0,0,24060,4619,73,703,318,0,0,0,0,0,0,23729,4680,75,658,306,0,0,0,0,0,0,22558,4163,79,677,319,6,180,2,0,223,247817464,24616,4655,71,650,299,8,89,3,0,145,9594706,24666,4649,74,662,309,5,353,2,0,386,668877461,24219,4621,64,476,232,10,273,3,0,336,290620172,22713,4411,66,534,249,8,290,3,0,350,198136101,21211,3985,63,492,257
7,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033300000000,1,9,185,4,0,254,56752553,21111,4052,67,547,250,9,176,3,0,216,211059831,13516,2561,39,253,145,11,48,4,0,96,5489393,14442,2646,45,405,211,11,180,4,0,228,1016700954,16884,3076,44,401,204,10,157,4,0,202,373677586,15008,2707,48,377,208,12,79,4,0,129,19566430,15895,2871,49,414,204,11,229,4,0,278,196733091,16917,3082,45,403,201,7,250,3,0,282,350072536,14376,2887,41,283,148,10,154,3,0,195,622396087,14000,2567,46,308,167,11,228,4,0,276,235535583,16735,3197,49,356,189
8,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033310000000,1,10,279,4,0,325,300250007,17089,3096,46,365,189,10,166,4,0,210,207032751,16205,2934,46,371,189,12,103,4,0,153,24628599,16088,2897,48,425,209,12,97,5,0,152,21127907,15392,2807,45,407,198,11,53,4,0,101,4349439,13364,2435,45,400,199,9,162,3,0,199,178182730,13777,2449,47,343,183,9,249,3,0,289,359479726,15612,2981,42,305,162,8,220,3,0,254,186482884,14257,2566,37,300,164,9,190,3,0,229,771332471,13372,2537,33,270,145,9,173,4,0,216,606890776,14311,2668,39,313,175
9,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,Avaddon-05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2.exe,133344033320000000,1,13,111,4,0,163,28415220,15777,2830,43,433,213,8,282,3,0,318,335153293,15013,2711,43,303,173,11,113,4,0,162,22144867,15866,2959,44,369,182,12,159,5,0,213,61989860,15715,2863,50,422,218,10,181,3,0,222,140797880,15672,2819,46,372,193,11,63,5,0,114,7446081,13562,2470,46,401,201,9,324,3,0,363,331736315,16982,3123,48,352,189,10,273,3,0,314,459646186,16159,2874,42,314,169,8,271,3,0,307,249556260,15450,2776,48,326,176,12,123,5,0,177,60372878,15133,2759,49,410,213
