,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034770000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,354,80,5,13,3,0,0,0,0,7,0,2088,481,17,53,11,0,0,0,0,10,0,2149,446,13,55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034800000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034830000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034840000000,1,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034870000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034890000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,24,17347,10933,2152,68,106,21,0,24,0,0,26,21912,17432,3531,91,117,31,0,5,0,0,5,4565,13162,2771,58,63,13,32,38,0,0,72,608422,14626,2985,64,101,48
6,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034900000000,1,206,218,3,0,437,40258684,12858,2352,52,207,123,755,756,0,0,1514,330340864,16775,3439,48,152,88,839,838,0,0,1680,366632448,16939,3172,51,170,100,919,919,0,0,1840,401830912,18463,3708,55,151,90,817,819,1,0,1644,357669208,17018,3551,46,168,106,550,551,0,0,1102,2487652248,14435,3052,43,99,54,626,625,0,0,1251,2826569448,17081,3417,58,69,22,736,737,0,0,1472,3328166904,19199,3802,74,58,16,641,641,0,0,1283,2896612336,19025,4029,64,58,17,667,666,0,0,1332,3011844184,19785,4355,64,46,14
7,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034910000000,1,726,727,0,0,1453,3282977944,20532,4476,61,69,24,680,680,0,0,1360,3072849280,17712,4002,50,69,28,775,774,0,0,1549,3499884952,20823,4834,62,76,28,679,679,0,0,1360,3068330384,16661,3499,53,108,51,783,784,0,0,1568,3540555016,18958,4035,53,93,44,373,372,0,0,746,1683288760,13390,2747,43,97,38,516,517,0,0,1033,2334009784,12422,2499,49,57,24,641,641,0,0,1284,2896612336,13837,2622,48,133,81,573,572,0,0,1148,2587067960,14339,3046,43,117,69,363,363,0,0,728,1640359248,6715,1238,22,66,31
8,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034920000000,1,461,461,0,0,921,2083211056,11775,2689,42,81,27,590,590,0,0,1181,2666148640,18020,3757,66,50,21,946,946,0,0,1892,4274875616,22102,4633,72,59,27,636,637,0,0,1272,2876277304,17267,3896,50,64,30,729,728,0,0,1458,3292015736,18233,3975,56,79,24,725,725,0,0,1450,3276199600,18717,4064,59,67,29,835,835,0,0,1669,3773278160,11753,2175,32,39,21,940,941,0,0,1882,4250021688,12694,2530,32,28,14,1153,1152,0,0,2305,5208027640,15477,2861,38,41,20,1177,1177,0,0,2354,5318740592,14987,2765,37,36,16
9,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034930000000,1,1203,1203,0,0,2406,5436231888,15967,2952,39,37,13,1203,1203,0,0,2406,5436231888,15573,2877,38,36,15,1202,1202,0,0,2404,5431712992,16001,3090,37,32,11,1185,1186,0,0,2371,5357151208,15901,2939,38,37,13,1203,1203,0,0,2406,5436231888,15305,2826,38,37,13,1151,1150,0,0,2301,5198989848,15081,2783,37,34,11,1112,1113,0,0,2225,5027271800,15040,2782,39,41,10,1246,1245,0,0,2491,5628284968,16151,2981,41,41,20,1303,1303,0,0,2605,5888121488,17599,3255,43,43,9,1367,1368,0,0,2736,6179590280,17383,3206,42,39,9
10,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034940000000,1,1392,1392,0,0,2784,6290303232,18117,3345,43,40,4,1307,1307,0,0,2613,5906197072,17498,3242,41,42,6,1311,1310,0,0,2622,5922013208,17305,3209,38,39,4,1389,1389,0,0,2778,6276746544,17128,3166,38,39,6,1147,1152,2,0,2304,352863752,16279,3010,42,69,33,1169,1170,0,0,2339,175801579,16241,2988,42,60,32,1012,1015,1,0,2031,181417476,14102,2595,35,62,34,807,809,1,0,1619,129165144,12402,2294,32,64,37,693,694,1,0,1389,98000216,11448,2164,37,59,16,0,3,0,0,3,2739,5969,1170,34,50,8
11,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034950000000,1,0,18,0,0,18,16434,7962,1514,52,84,15,242,249,0,0,492,20161119,14770,2960,47,55,26,999,1002,1,0,2004,83326030,14429,2671,37,62,36,1070,1076,2,0,2151,89364508,16102,2969,42,92,48,944,950,2,0,1901,78870724,14538,2683,38,87,45,841,844,1,0,1687,70167158,12958,2390,33,66,35,779,783,1,0,1566,65045192,12234,2266,29,59,33,984,989,2,0,1979,82160442,13532,2503,36,77,43,896,899,1,0,1798,74747778,13809,2541,37,73,40,988,992,1,0,1983,449685178,13969,2582,34,64,36
12,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034960000000,1,1225,1224,0,0,2448,873959936,16766,3114,38,44,15,1382,1382,0,0,2765,986372096,18133,3360,41,41,6,1365,1366,0,0,2731,974595584,17764,3291,42,42,6,1196,1198,1,0,2397,792954012,15588,2871,40,60,23,1249,1248,0,0,2497,449410060,17244,3194,42,42,16,1359,1359,0,0,2718,489185640,17786,3286,43,41,6,943,949,2,0,1897,527143548,13792,2536,38,89,48,1272,1272,0,0,2545,1484881920,17287,3208,41,42,15,1356,1357,0,0,2713,1583523840,17233,3190,42,39,8,910,910,0,0,1819,1062297600,11979,2220,29,33,17
13,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034970000000,1,1240,1239,0,0,2479,1446942720,15872,2942,35,37,11,1258,1259,0,0,2518,1469122560,16528,3066,38,39,7,1296,1295,0,0,2591,1512314880,16768,3108,38,40,6,1306,1307,0,0,2613,1525155840,16598,3071,36,37,4,1118,1121,2,0,2244,221983408,15821,2928,40,69,32,670,678,3,0,1358,523570255,13049,2381,41,130,70,1086,1086,0,0,2171,1960195248,13967,2576,36,36,21,1286,1287,0,0,2574,2322091332,16584,3062,43,41,13,1238,1237,0,0,2474,2233647900,17169,3180,42,40,5,1192,1193,0,0,2386,2152424340,15786,2918,40,38,8
14,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034980000000,1,1127,1127,0,0,2254,2034198936,14291,2634,36,41,21,1035,1034,0,0,2069,1867239396,14334,2919,34,32,15,1099,1099,0,0,2198,1983659832,14447,2670,36,34,10,1073,1074,0,0,2147,1937633148,14469,2679,36,39,10,912,911,0,0,1823,1645228332,13448,2636,34,36,16,848,849,0,0,1697,1531515348,10969,2023,31,37,20,847,847,0,0,1694,1528807896,12025,2229,31,30,11,735,734,0,0,1469,1325748996,9569,1764,23,22,7,745,745,0,0,1490,1344701160,9699,1786,24,22,11,633,637,1,0,1273,1079867583,9535,1751,24,45,23
15,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344034990000000,1,613,615,1,0,1231,51093854,9499,1753,25,45,30,915,915,0,0,1830,3289511010,12169,2249,31,33,18,876,876,0,0,1752,3149302344,12111,2631,29,27,9,717,717,0,0,1434,2577682398,11452,2671,25,25,7,578,578,0,0,1155,2077964332,9500,1894,23,25,9,808,808,0,0,1617,2904835952,11826,2195,31,38,10,760,760,0,0,1520,2732271440,11903,2218,30,39,10,827,827,0,0,1654,2973142738,11651,2291,28,32,10,972,973,0,0,1944,3496228915,11940,2201,29,28,8,695,695,0,0,1391,2498590330,10245,2073,23,25,10
16,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035000000000,1,681,681,0,0,1362,2448259014,9907,1836,24,26,6,691,690,0,0,1381,2482412407,9817,2252,22,20,9,731,731,0,0,1462,2628013714,9305,1715,23,23,11,623,623,0,0,1246,2239743562,8905,1647,22,24,10,729,730,0,0,1458,2622621073,11121,2068,27,34,13,934,934,0,0,1869,3357817796,12242,2262,29,29,8,981,981,0,0,1962,3526787214,12752,2355,31,31,6,824,823,0,0,1647,2960559909,11510,2133,30,35,15,956,956,0,0,1912,3436909864,12858,2378,32,33,11,1001,1002,0,0,2002,3600486641,13205,2442,32,36,8
17,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035010000000,1,874,873,0,0,1748,3140314609,13311,2624,31,36,9,1038,1038,0,0,2076,3731707572,13562,2506,34,32,11,1003,1003,0,0,2006,3605879282,13233,2447,33,34,18,1032,1032,0,0,2064,3710137008,13522,2498,33,34,11,998,998,0,0,1996,3587903812,13632,2522,32,34,10,996,996,0,0,1992,3580713624,13743,2541,33,34,6,917,918,0,0,1835,3298498745,13498,2645,33,43,8,909,908,0,0,1816,3266142899,13442,2498,34,41,12,1001,1001,0,0,2003,3598689094,13242,2447,33,34,10,938,938,0,0,1875,3372198172,12709,2351,33,34,13
18,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035020000000,1,858,858,0,0,1716,3084590652,11059,2042,30,32,13,780,781,0,0,1562,2805970867,10438,1929,27,29,15,694,693,0,0,1387,2493197689,8674,1594,21,22,15,712,713,0,0,1424,2561504475,9819,1816,24,32,16,554,557,1,0,1114,455959964,8439,1551,23,51,29,569,569,0,0,1139,347845632,6587,1213,16,17,10,569,568,0,0,1137,347539968,7590,1405,18,23,13,663,663,0,0,1326,405310464,8354,1545,21,26,12,608,608,0,0,1216,371687424,8909,1656,21,24,12,796,796,0,0,1592,486617088,10079,1866,24,26,12
19,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035030000000,1,805,805,0,0,1610,492119040,10742,1993,24,30,8,640,643,1,0,1285,1226350058,9147,1681,25,44,23,950,950,0,0,1901,2615353800,11832,2180,31,30,15,849,849,0,0,1697,2337300396,12002,2224,29,31,18,816,815,0,0,1632,2245074762,10707,1979,27,25,11,1001,1002,0,0,2003,2757133506,13251,2449,35,33,16,919,919,0,0,1837,2530010676,11567,2133,29,26,13,884,884,0,0,1769,2433655536,12286,2275,30,30,9,946,946,0,0,1892,2604341784,12787,2365,31,30,10,1004,1003,0,0,2007,2762639514,13258,2449,32,31,6
20,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035040000000,1,1089,1090,0,0,2178,2999397858,13968,2577,34,31,6,1100,1100,0,0,2201,3028304400,14753,2728,36,34,6,1203,1203,0,0,2406,3311863812,15343,2831,37,36,5,1161,1160,0,0,2321,3194861142,15420,2850,38,37,6,1057,1058,0,0,2115,2911301730,14722,2724,37,43,23,1279,1279,0,0,2557,3521092116,16528,3051,41,40,10,1303,1302,0,0,2606,3585787710,16986,3137,42,37,5,1203,1203,0,0,2406,3311863812,16287,3013,40,41,11,1202,1202,0,0,2404,3309110808,15492,2859,40,38,12,1325,1325,0,0,2650,3647730300,17751,3282,45,42,8
21,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035050000000,1,1306,1306,0,0,2612,3595423224,17732,3280,44,41,6,1181,1184,1,0,2368,1619458776,16555,3054,42,65,28,1340,1341,0,0,2680,362607931,16775,3100,38,38,12,847,854,3,0,1711,97935278,13432,2475,37,101,54,992,992,0,0,1984,4553867264,14168,2746,34,40,20,1193,1193,0,0,2386,5476576256,15079,2794,38,37,16,1203,1203,0,0,2406,5522482176,16090,2974,39,35,4,1203,1203,0,0,2406,5522482176,16310,3019,39,39,9,1316,1316,0,0,2632,6041219072,17047,3147,43,39,3,1296,1296,0,0,2591,5949407232,17666,3269,44,43,4
22,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035060000000,1,1281,1281,0,0,2563,5880548352,16562,3057,43,37,7,1099,1100,0,0,2199,5047355904,14856,2748,37,36,13,1320,1320,0,0,2640,6059581440,17055,3150,44,40,6,1280,1280,0,0,2560,5875957760,16969,3136,42,37,3,1345,1344,0,0,2689,6172050944,17638,3259,45,41,5,1178,1179,0,0,2356,5410012672,15710,2902,38,37,20,1133,1132,0,0,2265,5198845440,15278,2826,36,35,8,1197,1197,0,0,2395,5494938624,15884,2935,40,38,8,1251,1252,0,0,2502,5745125888,16308,3013,42,36,8,1308,1308,0,0,2616,6004494336,16766,3095,42,37,5
23,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f,Avoslocker-fb544e1f74ce02937c3a3657be8d125d5953996115f65697b7d39e237020706f.exe,133344035070000000,1,1246,1246,0,0,2493,5719877632,17273,3198,44,42,4,1367,1366,0,0,2733,6273043968,17324,3195,42,38,4,1273,1273,0,0,2545,5843823616,17425,3224,42,40,4,1333,1334,0,0,2668,6121554432,17986,3326,43,40,3,1404,1403,0,0,2807,6442895872,17934,3308,45,41,6,1125,1125,0,0,2250,5164416000,14925,2758,39,38,13,1302,1303,0,0,2605,5979246080,17727,3279,45,41,14,1382,1381,0,0,2763,6341902848,17666,3260,45,39,5,1336,1337,0,0,2672,6135326208,17720,3275,44,40,4,1305,1304,0,0,2610,5988427264,17742,3283,44,41,5
