,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043860000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11230,2057,73,65,12,0,0,0,0,11,0,14732,2823,82,86,25,0,0,0,15,38,0,8051,1580,55,172,32,0,0,0,0,49,0,7101,1633,60,294,41
1,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043870000000,1,0,1729,0,0,1731,826905,10706,2143,29,71,21,14,417,8,0,759,3483453,12261,1809,53,185,21,15,30,15,0,165,6729997,14843,1109,51,161,6,16,28,15,0,149,14789141,23732,1971,56,148,16,17,31,15,0,173,13677952,20018,1740,75,264,25,18,39,15,0,168,9725173,20005,2041,63,197,32,15,32,15,0,152,19140975,26399,2089,57,159,20,17,30,16,0,159,13545385,18092,1249,47,131,12,16,32,15,0,156,29548259,29053,2950,59,145,24,14,32,10,0,123,15857116,17177,1569,44,98,18
2,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043880000000,1,11,17,11,0,102,5722969,12875,1301,39,80,20,10,20,9,0,93,40247372,24561,2290,44,90,27,10,20,10,0,100,14419991,17143,1637,40,89,20,11,23,11,0,112,6377537,13346,1126,38,76,18,11,22,11,0,110,21260250,14486,1635,36,81,13,11,22,11,0,110,3414496,10422,731,29,80,20,15,26,13,0,139,5132610,16908,1752,43,98,21,13,26,14,0,250,3725460,14771,1668,52,149,21,14,25,13,0,189,6920406,17509,1415,52,132,21,14,29,14,0,217,2270444,12139,1013,45,122,13
3,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043890000000,1,15,28,15,0,148,21535742,14858,1126,49,128,25,16,28,13,0,141,37272954,20990,1864,56,134,25,14,28,15,0,141,13096867,19282,1805,47,124,17,18,32,16,0,162,11481760,18814,1349,50,123,16,14,30,14,0,146,21022946,20639,1989,55,146,16,17,30,15,0,148,28191203,21417,2070,57,140,23,15,25,14,0,137,12685401,18398,1619,52,163,23,15,29,14,0,143,34752435,23821,2078,56,142,23,12,24,11,0,113,19857552,14720,1340,44,93,23,8,16,8,0,365,1061526,10598,1459,42,116,28
4,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043900000000,1,12,24,12,0,120,4284231,12333,980,35,86,24,12,23,11,0,118,16702733,16674,1335,42,100,29,14,27,14,0,133,10188836,19680,1735,49,122,26,16,26,13,0,148,19647314,24099,2266,52,131,26,17,28,16,0,157,16469387,21146,1571,52,129,24,12,26,12,0,257,36072080,23160,2016,58,153,37,14,28,13,0,138,12051967,19757,1614,54,131,28,12,23,12,0,218,15912653,21910,2144,55,155,33,14,29,14,0,142,5394568,12490,1108,45,117,23,13,26,13,0,130,9957118,15740,1394,46,106,23
5,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043910000000,1,11,20,10,0,108,47386026,21105,1763,44,104,25,9,18,9,0,263,16076588,12238,1184,45,114,29,10,18,9,0,121,8241739,15480,1809,42,88,21,10,16,9,0,121,8867635,14670,1228,38,73,22,11,22,10,0,101,19208113,21165,1962,41,100,26,10,20,10,0,100,35718020,21810,2081,45,100,26,8,14,8,0,123,21762566,18127,2192,39,88,20,10,20,10,0,100,15000472,16021,1787,44,77,17,11,22,10,0,122,19709972,15341,1489,34,76,15,11,20,10,0,157,10546804,15766,1333,38,89,22
6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043920000000,1,8,13,6,0,153,5819173,11144,1359,36,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,34,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,38,2,10,1,0,0,0,0,0,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043930000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,46,4,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,32,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043940000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043950000000,1,0,0,0,0,0,0,226,42,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,26,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,9,21365950,5548,887,17,62,16,0,0,0,0,0,0,19,2,1,3,0,0,0,0,0,0,0,216,47,3,12,3
