,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999660000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,904,203,8,25,5,6,0,0,0,26,180086,5039,1207,30,122,18
1,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999670000000,1,6,0,0,0,21,180530,4052,917,33,130,16,0,0,0,0,0,0,8697,1844,22,71,23,0,0,0,0,0,0,10839,2324,21,41,23,0,0,0,0,0,0,10418,2216,18,26,16,0,0,0,0,0,0,10363,2205,18,26,16,0,0,0,0,0,0,8118,1728,14,22,3,0,0,0,0,0,0,649,146,6,58,1,0,0,0,0,0,0,780,169,7,63,2,0,0,0,0,0,0,787,161,10,55,6,0,0,0,0,0,0,761,164,12,56,4
2,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999680000000,1,0,0,0,0,0,0,1215,285,5,57,5,0,0,0,0,0,0,8445,1788,15,60,34,0,0,0,0,0,0,3718,792,10,46,6,0,0,0,0,0,0,669,150,2,59,5,0,0,0,0,0,0,643,147,6,67,6,0,0,0,0,0,0,643,136,8,61,4,0,0,0,0,0,0,645,143,6,55,1,0,0,0,0,0,0,682,147,11,54,2,0,0,0,0,0,0,671,141,9,66,2,0,0,0,0,0,0,687,137,6,56,1
3,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999690000000,1,0,0,0,0,0,0,632,146,10,57,2,0,0,0,0,0,0,653,154,5,53,4,0,0,0,0,0,0,620,147,8,59,2,0,0,0,0,0,0,629,159,5,57,5,0,0,0,0,0,0,2213,479,8,63,7,0,0,0,0,0,0,4633,979,12,64,22,0,0,0,0,0,0,653,151,8,60,4,0,0,0,0,0,0,626,131,6,60,3,0,0,0,0,0,0,860,205,6,59,3,0,0,0,0,0,0,669,138,4,51,1
4,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999700000000,1,0,0,0,0,0,0,637,159,7,55,4,0,0,0,0,0,0,723,159,10,56,1,0,0,0,0,0,0,676,163,7,58,4,0,0,0,0,0,0,667,150,5,58,1,0,0,0,0,0,0,661,157,4,71,4,0,0,0,0,0,0,659,133,7,67,1,0,0,0,0,0,0,2591,547,12,48,5,0,0,0,0,0,0,668,134,10,61,2,0,0,0,0,0,0,654,134,6,48,2,0,0,0,0,0,0,694,148,7,52,1
5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999710000000,1,0,0,0,0,0,0,639,150,6,46,2,0,0,0,0,0,0,617,128,7,60,1,0,0,0,0,0,0,658,150,4,53,2,0,0,0,0,0,0,620,141,9,63,3,0,0,0,0,0,0,641,136,8,56,3,0,0,0,0,0,0,654,142,6,52,3,0,0,0,0,0,0,4025,846,8,56,17,0,0,0,0,0,0,726,172,8,72,3,0,0,0,0,0,0,795,172,10,59,3,0,0,0,0,0,0,640,157,4,58,2
6,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999720000000,1,0,0,0,0,0,0,688,157,6,50,2,0,0,0,0,0,0,636,136,5,48,1,0,0,0,0,0,0,663,145,4,58,4,0,0,0,0,0,0,642,136,3,49,4,0,0,0,0,0,0,680,149,5,51,0,0,0,0,0,0,0,674,144,8,56,1,0,0,0,0,0,0,650,160,8,62,5,0,0,0,0,0,0,712,156,8,50,2,0,0,0,0,0,0,626,146,9,51,2,0,0,0,0,0,0,631,150,8,63,2
7,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999730000000,1,0,0,0,0,0,0,636,151,4,51,0,0,0,0,0,0,0,694,159,3,59,2,0,0,0,0,0,0,672,148,3,47,7,0,0,0,0,0,0,613,131,3,47,1,0,0,0,0,0,0,638,133,3,52,4,0,0,0,0,0,0,647,140,10,49,2,0,0,0,0,0,0,651,141,3,61,3,0,0,0,0,0,0,626,130,4,47,4,0,0,0,0,0,0,646,142,5,47,1,0,0,0,0,0,0,623,134,6,57,2
8,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999740000000,1,0,0,0,0,0,0,661,146,4,47,1,0,0,0,0,0,0,653,158,4,61,3,0,0,0,0,0,0,656,137,5,54,1,0,0,0,0,0,0,635,146,8,61,3,0,0,0,0,0,0,645,137,8,49,2,0,0,0,0,0,0,686,141,5,54,0,0,0,0,0,0,0,680,144,10,56,3,0,0,0,0,0,0,695,150,7,47,6,0,0,0,0,0,0,6769,1445,16,50,17,0,0,0,0,0,0,5246,1106,28,139,25
9,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,Chaos-aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133343999750000000,1,0,0,0,0,0,0,7448,1585,23,100,9,0,0,0,0,0,0,7950,1725,25,79,12,0,0,0,0,8,0,5666,1149,26,157,11,11,2,1,0,28,328574,11345,2145,38,81,18,1,81,2,0,91,11693206,16634,2990,83,57,24,1,356,1,0,362,241419601,16210,3092,97,59,28,3,94,3,0,112,5256265,17717,2887,33,24,10,2,47,2,0,59,1979862,16753,2901,33,23,8,3,51,3,0,69,1557786,17328,2993,35,34,15,2,36,2,0,48,1071292,15259,2656,30,19,7
