,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154710000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,39,180262,4851,1106,40,141,33,15,0,0,0,35,504368,10242,1767,39,118,20,2,0,0,0,23,2304,5328,1279,46,153,16,2,0,0,0,11,1764,4210,1023,47,154,16
1,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154720000000,1,11,0,0,0,21,360568,5566,1262,50,162,35,0,0,0,0,38,0,4728,1031,47,185,21,0,0,0,0,36,0,5660,1181,44,153,13,0,0,0,0,33,0,4281,889,40,154,14,1,0,0,0,3,19267584,7641,934,40,132,30,0,0,0,0,0,0,14883,717,15,4,0,0,0,0,0,0,0,17387,839,20,3,1,0,0,0,0,0,0,15469,748,16,2,2,0,0,0,0,0,0,17663,853,19,3,1,0,0,0,0,0,0,20700,1001,24,2,0
2,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154730000000,1,0,0,0,0,0,0,19146,966,21,5,3,0,0,0,0,0,0,19897,997,22,2,1,0,0,0,0,0,0,21651,1055,23,1,1,0,0,0,0,0,0,21551,1042,23,3,1,0,0,0,0,0,0,21845,1054,24,1,1,0,0,0,0,0,0,20753,1002,21,3,1,0,0,0,0,0,0,22731,1253,25,2,2,0,4,0,0,5,9886,10630,1973,62,110,31,2,21,0,1,24,49862,10849,2248,46,169,61,3,22,0,0,25,482027,16602,1885,32,94,35
3,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154740000000,1,5,12,0,0,17,1132053,19477,1011,22,6,2,4,9,0,0,13,1223492,16264,1034,21,11,3,5,9,0,0,14,1680917,16281,845,20,5,3,5,12,0,0,17,2491925,20377,1058,25,6,1,6,12,0,0,18,3182822,19270,1001,22,3,1,6,12,0,0,18,3217973,19304,1198,24,18,9,6,12,0,0,18,1007846,19572,1057,24,9,3,5,12,0,0,17,1390101,18796,978,24,10,1,4,9,0,0,13,1440580,16985,879,22,9,5,5,15,0,0,20,2749973,17483,911,21,12,3
4,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154750000000,1,4,15,0,0,19,3099460,16953,891,22,11,6,5,10,0,0,15,2799125,17680,930,22,7,2,8,12,0,0,20,2411861,16860,1453,25,44,19,5,18,0,0,23,186239,16841,1583,29,65,28,4,28,0,2,34,64961,14104,2688,40,165,62,0,36,0,0,36,88974,12718,2920,38,198,80,7,14,0,1,22,238681,18161,1395,27,39,18,5,16,0,1,22,241682,16091,1508,26,53,25,0,28,0,0,28,69202,9764,2236,37,165,83,3,19,0,0,22,150061,15928,1701,29,80,44
5,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154760000000,1,5,14,0,0,19,246181,16100,1477,27,54,27,15,9,0,5,29,71300,17186,1389,24,27,7,4,24,0,1,29,107062,14866,2311,36,135,59,0,29,0,0,29,72646,11136,2552,41,207,69,0,32,0,0,32,79088,12429,2819,44,209,78,0,34,0,0,34,84031,12685,2914,45,220,81,0,32,0,0,32,79088,12025,2758,44,208,75,0,32,0,0,32,79088,12780,2901,37,189,77,0,28,0,0,28,69202,13420,3103,41,189,87,6,20,0,2,28,59625,14168,2115,33,111,64
6,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154770000000,1,12,8,0,4,24,40162,17850,1685,28,46,19,12,12,0,4,28,50048,17603,1855,31,68,33,9,11,0,3,23,42479,15549,1696,27,53,27,9,9,0,2,20,486293,18210,1214,24,18,4,5,11,0,0,16,1099285,18937,982,23,7,2,5,11,0,0,16,1553941,18858,975,22,6,3,5,11,0,0,16,2029077,19646,1160,25,8,4,6,11,0,0,17,2625766,19621,1016,23,5,1,4,10,0,0,14,2595652,16362,847,21,9,3,7,11,0,0,18,3122438,18736,1213,24,18,10
7,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154780000000,1,4,10,0,0,14,686916,15531,805,21,8,3,4,11,0,0,15,1096516,17198,891,21,4,1,5,12,0,0,17,1713685,17504,906,21,5,2,5,10,0,0,15,1979925,19021,981,21,3,1,6,11,0,0,17,2715878,19243,995,23,4,2,5,11,0,0,16,3036693,18567,960,22,5,2,8,11,0,1,20,2046633,17491,1385,25,30,16,7,17,0,0,24,186780,18394,1671,28,48,25,12,10,0,4,26,45105,15992,1633,30,55,26,12,7,0,3,22,37090,17792,1765,27,41,20
8,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154790000000,1,9,14,0,4,27,50494,17326,1973,31,72,40,12,12,0,4,28,50048,17024,1806,28,64,30,12,8,0,4,24,40162,16033,1521,27,46,20,9,12,0,3,24,43978,15984,2071,30,72,37,6,7,0,2,15,28468,11446,1172,18,34,19,8,6,0,2,16,28022,11063,1212,21,37,20,7,9,0,3,19,34538,10718,1310,22,55,33,7,8,0,2,17,31466,12187,1242,27,44,21,11,8,0,4,23,38663,14578,1478,25,51,28,7,10,0,2,19,36409,13244,1403,24,50,25
9,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae,Cossy-8b32c1db535d350955e519f6de8249e2f6f0788e4ae591c8c29572d0f10de0ae.exe,133344154800000000,1,8,9,0,3,20,36037,11446,1536,22,45,27,7,4,0,2,13,21580,12246,1203,20,34,16,9,7,0,3,19,32593,13153,1298,24,41,21,9,9,0,3,21,37536,14338,1610,24,46,21,9,13,0,3,25,47422,14185,1717,27,65,34,9,9,0,3,21,37536,14531,1774,24,50,22,8,9,0,3,20,36037,14368,1747,25,47,24,7,9,0,1,17,187221,15998,966,23,17,6,9,14,0,2,25,220593,15816,1700,29,65,34,9,9,0,3,21,37536,15276,1575,25,45,23
