,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170120000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,868,200,9,28,4,1,7,0,15,50,17919,4199,888,31,131,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170150000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170170000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,280,137,27,0,7,4,3,20,1,0,452,30422,8826,1821,36,119,25,0,0,0,0,515,0,5872,1199,33,97,11,0,0,0,0,105,0,3708,984,10,32,4,0,0,0,0,278,0,4789,1126,18,59,6,0,0,0,0,348,0,4537,932,26,70,11
3,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170180000000,1,0,0,0,0,268,0,4639,939,25,78,12,0,0,0,0,219,0,4382,1219,14,68,6,0,0,0,0,313,0,3956,804,19,88,10,0,0,0,0,220,0,4869,1384,18,55,6,0,0,0,0,189,0,3511,889,21,62,8,0,0,0,0,87,0,6469,2065,12,18,3,0,0,0,0,0,0,6149,2094,5,1,0,0,0,0,0,0,0,7825,2667,9,1,1,0,0,0,0,0,0,8214,2798,8,1,1,0,0,0,0,0,0,8600,2930,9,0,0
4,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170190000000,1,0,0,0,0,0,0,8675,2955,8,1,1,0,0,0,0,0,0,8477,2887,9,0,0,0,0,0,0,0,0,8811,3000,9,2,0,0,0,0,0,0,0,8599,2930,8,4,2,0,0,0,0,0,0,7070,2408,7,2,1,0,0,0,0,0,0,7908,2690,8,0,0,0,0,0,0,0,0,8968,3055,9,0,0,0,0,0,0,0,0,9265,3157,9,1,2,0,0,0,0,0,0,9269,3156,10,0,0,0,0,0,0,0,0,9280,3161,8,1,0
5,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170200000000,1,0,0,0,0,0,0,6341,2160,6,1,0,0,0,0,0,0,0,7768,2646,8,1,1,0,0,0,0,0,0,8521,2902,9,1,1,0,0,0,0,0,0,3713,1265,4,0,0,0,0,0,0,0,0,7754,2640,8,1,1,0,0,0,0,0,0,6416,2187,7,2,1,0,0,0,0,0,0,6371,2171,7,1,0,0,0,0,0,0,0,5939,2023,6,1,0,0,0,0,0,0,0,9055,3085,9,1,1,0,0,0,0,0,0,9238,3147,9,1,1
6,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170210000000,1,0,0,0,0,0,0,9285,3162,9,1,1,0,0,0,0,0,0,9152,3118,9,1,0,0,0,0,0,0,0,6360,2168,6,1,1,0,0,0,0,0,0,3404,1161,4,0,0,0,0,0,0,0,0,7561,2575,8,0,1,0,0,0,0,0,0,7575,2581,8,1,1,0,0,0,0,0,0,2182,743,2,0,1,0,0,0,0,0,0,8046,2740,9,1,1,0,0,0,0,0,0,6719,2289,5,1,1,0,0,0,0,0,0,5838,1989,6,1,1
7,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170220000000,1,0,0,0,0,0,0,4624,1575,5,0,0,0,0,0,0,0,0,7427,2531,7,1,1,0,0,0,0,0,0,4385,1494,5,1,0,0,0,0,0,0,0,6266,2135,6,1,0,0,0,0,0,0,0,8794,2996,9,1,0,0,0,0,0,0,0,7485,2549,8,0,0,0,0,0,0,0,0,3328,1134,3,0,0,0,0,0,0,0,0,7084,2414,7,2,2,0,0,0,0,0,0,7690,2619,8,2,1,0,0,0,0,0,0,2823,961,3,0,0
8,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170230000000,1,0,0,0,0,0,0,6373,2172,7,0,0,0,0,0,0,0,0,7680,2616,8,1,0,0,0,0,0,0,0,4610,1570,4,1,1,0,0,0,0,0,0,7591,2585,8,0,0,0,0,0,0,0,0,4463,1521,5,0,0,0,0,0,0,39,0,4607,1508,8,11,4,0,0,0,0,62,0,1370,276,5,12,3,0,0,0,0,184,0,2804,576,16,40,8,0,0,0,0,222,0,3437,707,19,57,8,0,0,0,0,0,0,7728,2632,7,2,2
9,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,DarkSide-9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297.exe,133344170240000000,1,0,0,0,0,0,0,614,209,1,0,0,0,0,0,0,0,0,8071,2749,8,1,0,0,0,0,0,0,0,1763,601,2,0,0,0,0,0,0,0,0,6817,2322,7,1,0,0,0,0,0,0,0,2471,841,3,1,0,0,0,0,0,0,0,4853,1654,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810,2658,8,1,2,0,0,0,0,0,0,1174,400,1,0,0,0,0,0,0,0,0,5575,1899,5,0,1
