,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173070000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,350,79,2,12,3,0,0,0,0,0,0,4,1,1,0,0
1,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173080000000,1,11,10,0,2,34,4226,10081,1665,28,98,35,11,20,0,2,35,170879010,18806,2917,18,75,22,7,9,0,0,16,262085970,20382,3208,20,85,29,9,8,0,0,18,364828838,20270,3179,19,77,19,5,15,0,0,19,496876020,18491,2841,17,63,19,0,17,0,1,19,427671958,17101,2619,16,55,18,12,11,0,2,27,5164,12223,2027,34,125,15,0,4,0,1,6,1244,6157,1329,41,204,10,0,0,0,0,0,0,5215,1181,48,232,6,0,0,0,0,0,0,8306,1867,48,218,10
2,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173090000000,1,0,0,0,0,0,0,8884,1976,44,174,15,0,0,0,0,0,0,7545,1733,35,138,19,0,0,0,0,0,0,7983,1750,34,171,14,0,0,0,0,0,0,7392,1681,39,179,8,0,0,0,0,0,0,6855,1561,40,161,5,0,0,0,0,0,0,7501,1728,45,173,8,0,0,0,0,0,0,7307,1632,54,236,8,0,0,0,0,0,0,10004,2261,48,151,5,0,0,0,0,0,0,12033,2787,33,88,8,0,0,0,0,0,0,9396,2163,29,138,9
3,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173100000000,1,0,0,0,0,0,0,11377,2607,36,120,7,0,0,0,0,0,0,8722,1994,41,205,14,0,0,0,0,0,0,8895,1978,39,195,17,0,0,0,0,0,0,9498,2148,36,196,9,10,13,0,2,27,117888,13473,2483,31,140,16,21,35,0,5,66,658240,17145,2620,18,58,8,19,39,0,5,68,6483776,16830,2561,20,65,11,14,32,0,4,54,4616448,14874,2367,25,89,17,16,25,0,3,47,7346212,15983,2507,24,85,17,12,27,0,3,45,22525680,16858,2608,20,59,18
4,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173110000000,1,12,26,0,3,44,24554544,15825,2426,19,67,18,7,15,0,1,24,65489920,16112,2472,17,49,19,5,12,0,1,19,37465032,12712,2148,13,46,18,6,9,0,0,15,70550672,12874,1969,12,50,13,4,13,0,1,19,59833032,13712,2125,16,45,20,7,13,0,1,22,68758064,15190,2385,16,45,15,16,33,0,4,57,48284432,18145,2784,21,75,17,7,12,0,0,20,120742024,19912,3114,18,75,21,6,14,0,0,19,233203904,18281,2799,17,52,17,5,20,0,0,26,142980272,18574,2850,20,42,19
5,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173120000000,1,7,16,0,1,25,68892512,17649,2719,19,66,14,13,27,0,3,46,33699248,18639,2858,22,68,12,8,19,0,2,32,68930000,19476,3044,21,63,19,8,19,0,1,28,63353296,19380,2968,20,61,19,10,19,0,1,31,67548776,20681,3180,20,69,16,7,20,0,1,29,83126824,20449,3138,20,56,12,10,21,0,2,35,47419304,20060,3085,20,61,11,10,25,0,2,39,113156920,19199,2945,19,64,14,7,10,0,0,18,193961776,20478,3209,19,77,18,7,10,0,0,16,258651152,15071,2306,14,49,16
6,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173130000000,1,2,16,0,1,20,255172096,16300,2508,16,33,18,11,25,0,2,40,21633344,16634,2573,21,60,19,9,20,0,2,33,51100880,18384,2828,18,70,21,7,17,0,1,26,104438128,18266,2825,19,55,22,11,20,0,2,35,40135992,17142,2605,18,52,12,12,27,0,3,45,18378244,16407,2569,22,67,13,18,32,0,3,57,10726968,18000,2746,21,62,10,20,40,0,5,70,1598972,16363,2497,21,69,15,18,38,0,5,66,30285798,17011,2613,22,77,17,7,10,0,0,17,120355104,17848,2749,16,71,19
7,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173140000000,1,6,11,0,0,17,195302184,15948,2568,16,55,16,4,20,0,1,26,168717016,18658,2864,18,38,18,14,25,0,3,45,31218262,19703,3004,22,64,13,15,28,0,4,51,24380864,18210,2775,19,60,17,16,32,0,4,56,22713040,17440,2652,19,54,19,5,16,0,0,21,62576976,17371,2675,16,50,14,7,15,0,2,26,42160944,13628,2144,16,56,19,6,7,0,0,13,51141160,13737,2121,13,50,11,5,18,0,1,25,88815160,17066,2614,16,45,13,12,24,0,2,41,66809240,18302,2803,19,46,12
8,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173150000000,1,12,28,0,3,45,65857960,18714,2862,19,63,17,8,8,0,0,16,145770304,19428,3039,18,70,17,4,17,0,0,21,252739072,18636,2846,17,40,14,8,20,0,2,32,85092624,18017,2765,19,56,17,8,17,0,1,27,68408528,18861,2898,18,50,21,12,27,0,3,45,31686936,18255,2804,19,53,11,7,16,0,1,26,63265248,16672,2562,16,48,13,7,17,0,1,25,58569872,16835,2551,16,45,10,6,15,0,1,23,43089488,16488,2589,17,51,14,6,15,0,1,23,65576784,15290,2350,15,47,17
9,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173160000000,1,8,16,0,1,26,60824760,16816,2578,17,44,14,7,15,0,1,24,33452480,12946,1966,12,44,7,8,20,0,2,32,83299456,14521,2218,14,50,11,7,9,0,0,16,166698520,19108,2997,18,70,16,8,12,0,0,20,291157848,18843,2902,17,60,16,2,17,0,1,21,271046592,16779,2556,16,28,20,11,25,0,2,40,21633344,16161,2479,16,43,10,7,12,0,1,21,60472280,16396,2539,16,58,13,6,17,0,1,25,84618144,16061,2446,15,40,16,13,25,0,3,44,33114152,16540,2528,17,38,8
10,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173170000000,1,13,27,0,3,46,18736252,16752,2597,19,52,15,21,40,0,5,71,8689977,18493,2791,20,54,6,23,44,0,6,79,1259301,18495,2820,19,54,4,10,24,0,2,38,77549860,17266,2666,18,75,22,7,9,0,0,16,158103840,18987,2971,18,78,21,3,17,0,0,20,246264176,17592,2676,17,33,17,16,29,0,4,53,36361848,17820,2759,23,63,16,18,38,0,5,66,10887928,17580,2697,19,70,9,9,22,0,1,33,51509160,19558,3005,19,52,11,19,34,0,5,63,5580992,15712,2402,21,70,12
11,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173180000000,1,21,44,0,5,75,1639912,17134,2604,20,65,10,20,40,0,5,70,1540592,17179,2658,23,69,8,22,44,0,6,78,1694288,17338,2664,23,78,6,20,40,0,5,70,1512088,16678,2552,22,68,6,21,40,0,5,71,1589840,16858,2560,22,69,10,21,44,0,5,75,1615464,16776,2553,22,70,14,18,36,0,5,64,1329064,15194,2386,22,75,23,19,40,0,5,70,1413296,16037,2449,21,74,11,22,40,0,5,71,1563072,17497,2650,19,64,6,21,44,0,5,75,1632376,17184,2617,22,71,6
12,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,DearCry-2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff.exe,133344173190000000,1,19,38,0,5,67,1449696,16828,2623,22,68,11,21,46,0,6,79,1742752,17294,2656,21,71,7,23,40,0,5,73,1606416,17561,2667,21,66,5,21,44,0,5,75,1622728,17187,2619,22,72,7,20,40,0,5,70,1475960,17462,2692,24,70,9,22,43,0,6,77,1872988,17233,2625,22,74,6,16,32,0,4,56,14416248,16824,2581,20,62,23,11,24,0,2,40,760138664,19806,3066,21,74,11,8,11,0,0,19,1282722056,22188,3453,21,81,17,9,10,0,0,18,1509908368,21706,3383,19,83,21
