,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200730000000,1,0,0,0.0,0.0,14,0.0,4875,1131,42,161,25,8,0,0.0,0.0,37,2747.0,6078,1331,51,207,25,544,629,0.0,3.0,1187,29189037.0,8746,1769,41,158,28,1560,1600,0.0,1.0,3162,6428447152.0,17036,3374,36,56,16,1593,1594,0.0,0.0,3187,10068557504.0,17146,3390,35,49,20,1682,1683,0.0,0.0,3364,10675181296.0,18668,3687,37,52,8,1737,1738,0.0,0.0,3475,11071790064.0,18038,3566,40,48,5,1723,1722,0.0,0.0,3446,11030053296.0,18912,3736,40,56,8,1717,1719,0.0,0.0,3436,11039273936.0,18792,3717,38,52,7,1563,1563,0.0,0.0,3126,10089927744.0,16684,3304,35,52,22
1,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200740000000,1,1790,1790,0.0,0.0,3580,11603329920.0,18383,3645,39,52,11,1504,1505,0.0,0.0,3008,9789235824.0,16546,3270,34,49,13,1102,1101,0.0,0.0,2204,7195275360.0,13236,2604,31,46,21,1085,1087,0.0,0.0,2172,7104012688.0,11692,2453,24,42,16,1135,1134,0.0,0.0,2269,7450729296.0,12133,2398,26,41,23,1144,1144,0.0,0.0,2287,7530933696.0,13312,2631,31,52,24,1477,1478,0.0,0.0,2956,9754361424.0,16324,3368,34,47,18,1592,1592,0.0,0.0,3184,10552581728.0,16923,3351,36,54,16,1772,1773,0.0,0.0,3544,11793775296.0,18351,3625,41,52,11,1636,1636,0.0,0.0,3273,10932879552.0,17569,3465,37,50,8
2,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200750000000,1,1657,1657,0.0,0.0,3313,11116852768.0,18454,3642,40,55,13,1741,1742,0.0,0.0,3484,11728196816.0,18948,3742,41,56,11,1804,1805,0.0,0.0,3609,12203768288.0,18471,3660,37,50,11,1493,1492,0.0,0.0,2985,10138391840.0,16262,3383,33,46,10,1135,1138,0.0,0.0,2273,7733165952.0,13462,2973,27,42,21,1307,1310,0.0,0.0,2616,8930400624.0,13681,2710,32,49,31,1380,1380,0.0,0.0,2761,9457140000.0,14853,2938,32,45,19,1598,1599,0.0,0.0,3197,10989762912.0,17069,3381,36,52,14,1648,1647,0.0,0.0,3295,11375203056.0,18479,3646,40,54,9,1803,1803,0.0,0.0,3606,12495511200.0,18534,3663,42,57,13
3,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200760000000,1,1401,1406,0.0,0.0,2807,9748718592.0,15785,3120,34,47,16,1557,1564,0.0,0.0,3120,10872203568.0,15990,3170,33,45,10,1647,1648,0.0,0.0,3296,11538479728.0,18016,3565,38,52,13,1804,1804,0.0,0.0,3608,12687416544.0,18838,3731,39,53,9,1669,1669,0.0,0.0,3338,11784341680.0,18178,3599,39,56,14,1715,1717,0.0,0.0,3432,12157159776.0,17713,3510,38,52,15,1611,1611,0.0,0.0,3222,11461324176.0,17143,3395,37,56,25,1612,1615,0.0,0.0,3227,11512570592.0,17592,3475,39,57,15,1604,1604,0.0,0.0,3208,11494125472.0,17780,3519,38,54,16,1635,1635,0.0,0.0,3269,11758632240.0,17285,3425,38,57,17
4,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200770000000,1,1431,1432,0.0,0.0,2863,10327536064.0,15115,2990,32,49,21,1348,1347,0.0,0.0,2696,9756674880.0,14772,2912,34,49,25,1325,1325,0.0,0.0,2649,9619457600.0,14693,2896,34,50,20,1476,1482,0.0,0.0,2958,10754745872.0,15507,3065,34,52,18,1284,1288,0.0,0.0,2572,9382977328.0,14457,2852,32,49,24,1698,1700,0.0,0.0,3399,12445525872.0,17859,3529,38,52,15,1552,1552,0.0,0.0,3104,11413892224.0,16799,3325,36,51,22,1457,1458,0.0,0.0,2915,10751404080.0,16215,3207,35,50,23,1420,1421,0.0,0.0,2841,10511124832.0,15197,3008,32,50,24,1518,1517,0.0,0.0,3035,11269882960.0,16451,3254,36,47,22
5,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200780000000,1,1587,1588,0.0,0.0,3175,11823914720.0,17029,3374,34,53,16,1568,1569,0.0,0.0,3137,11721979648.0,16372,3242,35,51,24,1574,1574,0.0,0.0,3148,11805214064.0,16780,3323,36,51,16,1597,1597,0.0,0.0,3194,12018228256.0,17775,3519,38,52,12,1359,1359,0.0,0.0,2718,10259275824.0,14728,2911,31,50,18,1707,1707,0.0,0.0,3414,12928244448.0,17794,3526,37,53,15,1738,1740,0.0,0.0,3478,13213561712.0,18839,3728,39,52,11,1593,1593,0.0,0.0,3185,12151225584.0,17017,3370,35,47,23,1194,1193,0.0,0.0,2387,9132951424.0,12758,2524,28,46,19,1217,1218,0.0,0.0,2436,9335104208.0,12953,2564,27,48,27
6,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200790000000,1,1378,1378,0.0,0.0,2756,10597117648.0,15510,3065,33,49,22,1550,1550,0.0,0.0,3099,11956142000.0,16105,3193,32,44,17,1225,1227,0.0,0.0,2453,9479299984.0,13235,2617,29,44,26,1597,1596,0.0,0.0,3193,12388736160.0,17579,3480,38,52,16,1790,1791,0.0,0.0,3581,13937573808.0,18674,3701,39,55,12,1542,1542,0.0,0.0,3084,12046363056.0,17362,3435,37,54,15,1773,1774,0.0,0.0,3546,13899555248.0,18393,3638,41,51,8,1458,1458,0.0,0.0,2917,11466504928.0,16397,3239,34,50,21,1573,1574,0.0,0.0,3147,12410667152.0,16784,3321,33,46,23,1511,1511,0.0,0.0,3021,11957256192.0,15740,3119,32,47,22
7,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200800000000,1,1468,1468,0.0,0.0,2937,11651943088.0,15865,3139,32,48,17,1457,1458,0.0,0.0,2915,11600403312.0,15831,3133,32,53,17,1434,1433,0.0,0.0,2867,11447111248.0,15767,3119,34,59,21,1424,1426,0.0,0.0,2849,11404942880.0,15502,3070,34,57,25,1233,1233,0.0,0.0,2467,9898464816.0,13047,2582,29,46,25,1199,1198,0.0,0.0,2397,9647076656.0,13866,2738,29,48,27,1577,1578,0.0,0.0,3155,12727528672.0,16112,3194,35,47,19,1585,1586,0.0,0.0,3171,12832226288.0,16934,3354,36,49,11,1351,1352,0.0,0.0,2702,10969793408.0,14717,2913,32,48,28,1225,1225,0.0,0.0,2451,9970284800.0,13715,2711,29,44,25
8,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200810000000,1,995,994,0.0,0.0,1989,8114110896.0,10212,2022,23,34,22,1187,1187,0.0,0.0,2374,9702784896.0,12830,2537,27,43,25,1037,1039,0.0,0.0,2076,8498913392.0,11719,2469,25,42,22,1513,1512,0.0,0.0,3025,12423452352.0,15802,3130,31,44,12,1523,1524,0.0,0.0,3047,12546433248.0,16548,3274,34,50,10,1224,1224,0.0,0.0,2448,10108613392.0,13917,2754,29,45,18,1602,1602,0.0,0.0,3204,13266597744.0,17116,3390,36,49,13,1601,1602,0.0,0.0,3203,13301368752.0,17124,3390,36,50,12,1423,1423,0.0,0.0,2846,11855141584.0,15531,3216,32,49,20,1173,1174,0.0,0.0,2346,9798796880.0,13133,2720,28,41,25
9,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,Delphimorix-48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a.exe,133344200820000000,1,1244,1243,0.0,0.0,2488,10411693056.0,13339,2633,31,46,25,1490,1491,0.0,0.0,2981,12507762512.0,16583,3277,37,55,21,1370,1371,0.0,0.0,2741,11531978736.0,15633,3089,33,53,23,1485,1485,0.0,0.0,2970,12531618000.0,15637,3099,34,51,18,1482,1483,0.0,0.0,2965,12543641040.0,16461,3257,36,52,19,1684,1684,0.0,0.0,3368,14293562976.0,17992,3561,35,51,9,1604,1604,0.0,0.0,3208,13656718160.0,17640,3491,35,49,8,1802,1803,0.0,0.0,3604,15393867168.0,18380,3645,38,51,7,1598,1598,0.0,0.0,3197,13692648368.0,17849,3530,37,50,13,1396,1396,0.0,0.0,2792,11995206416.0,14926,2955,31,48,24
