,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344193970000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,4,0.0,795,184,7,24,7,2,0,0.0,0.0,25,456.0,6388,1471,51,200,36,11,0,0.0,0.0,31,96026.0,6557,1635,37,135,25,491,573,0.0,3.0,1074,27945894.0,8960,2017,30,101,24,1153,1190,0.0,1.0,2345,3561219424.0,15154,3266,31,53,25,1382,1382,0.0,0.0,2764,8722516960.0,15769,3257,32,47,17,1623,1624,0.0,0.0,3247,10282633664.0,17778,3511,37,55,11,1445,1446,0.0,0.0,2890,9190404256.0,16514,3256,34,50,14,1369,1370,0.0,0.0,2739,8737892464.0,15181,2997,31,46,23
1,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344193980000000,1,1546,1545,0.0,0.0,3092,9903462576.0,16418,3243,34,49,14,1527,1528,0.0,0.0,3055,9819522896.0,16853,3332,34,50,12,1479,1479,0.0,0.0,2958,9546294240.0,16147,3194,32,45,7,1626,1627,0.0,0.0,3252,10535701008.0,18183,3598,39,55,10,1482,1482,0.0,0.0,2965,9639319248.0,15758,3119,32,46,17,1275,1276,0.0,0.0,2551,8321303072.0,14370,2833,31,44,23,1351,1351,0.0,0.0,2701,8845457200.0,14275,2825,31,50,27,1332,1333,0.0,0.0,2666,8749918944.0,15368,3181,31,44,23,1278,1278,0.0,0.0,2556,8421621264.0,14046,2779,33,52,24,1511,1512,0.0,0.0,3023,9991059680.0,16638,3292,34,49,17
2,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344193990000000,1,1273,1273,0.0,0.0,2545,8445428256.0,13803,2729,27,44,22,1520,1519,0.0,0.0,3040,10117679008.0,17177,3388,37,55,15,1532,1534,0.0,0.0,3066,10236111552.0,16907,3337,36,50,14,1475,1474,0.0,0.0,2948,9889579376.0,16249,3211,35,49,17,1490,1490,0.0,0.0,2981,10025900080.0,16735,3305,37,50,18,1389,1393,0.0,0.0,2782,9380143120.0,15465,3058,34,48,25,1236,1239,0.0,0.0,2474,8372648160.0,13342,2638,30,48,25,1328,1328,0.0,0.0,2656,9021550208.0,15081,3159,32,50,21,1365,1366,0.0,0.0,2732,9302845552.0,15119,2988,32,53,26,1097,1096,0.0,0.0,2193,7496995520.0,12774,2522,27,47,25
3,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194000000000,1,914,915,0.0,0.0,1829,6262073424.0,10449,2061,23,42,25,919,919,0.0,0.0,1838,6309251136.0,10198,2018,21,37,21,974,974,0.0,0.0,1948,6701588320.0,11507,2269,24,45,25,1119,1119,0.0,0.0,2238,7717984704.0,13010,2567,29,45,25,1383,1384,0.0,0.0,2767,9567168704.0,15321,3024,32,46,17,1118,1118,0.0,0.0,2235,7755852208.0,11717,2312,26,38,24,1204,1205,0.0,0.0,2410,8375477088.0,13172,2606,30,44,23,1243,1243,0.0,0.0,2486,8670432144.0,13569,2722,29,41,22,1378,1377,0.0,0.0,2755,9640290192.0,15622,3192,31,44,20,1456,1458,0.0,0.0,2914,10221170720.0,15904,3295,33,49,18
4,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194010000000,1,1130,1129,0.0,0.0,2259,7954144368.0,13072,2582,28,48,25,815,815,0.0,0.0,1630,5750053200.0,9495,1873,22,38,24,1057,1059,0.0,0.0,2116,7474834288.0,13221,2741,28,50,25,1448,1448,0.0,0.0,2896,10266771776.0,15711,3109,33,51,22,1204,1204,0.0,0.0,2407,8562279712.0,13956,2896,28,45,22,1428,1428,0.0,0.0,2857,10185329376.0,16271,3212,36,53,22,1555,1556,0.0,0.0,3111,11129129184.0,17085,3382,37,54,18,1572,1572,0.0,0.0,3144,11289261408.0,16869,3340,35,51,15,1413,1414,0.0,0.0,2827,10182068576.0,16255,3356,34,49,16,1550,1549,0.0,0.0,3099,11204074416.0,17324,3421,37,53,17
5,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194020000000,1,1528,1529,0.0,0.0,3057,11084560800.0,17153,3383,37,52,18,1434,1435,0.0,0.0,2869,10436728752.0,15777,3116,35,48,24,1554,1554,0.0,0.0,3108,11346176688.0,17350,3426,36,53,20,1530,1529,0.0,0.0,3059,11207647600.0,17103,3373,37,51,17,1571,1573,0.0,0.0,3144,11550126688.0,17229,3552,34,47,15,1585,1584,0.0,0.0,3169,11689862784.0,17285,3422,36,50,14,958,958,0.0,0.0,1916,7085682224.0,10337,2204,21,35,14,0,0,0.0,0.0,0,0.0,42,7,1,1,0,767,768,0.0,0.0,1535,5684682288.0,8215,1628,17,26,11,1235,1236,0.0,0.0,2471,9172432416.0,14296,2967,29,46,18
6,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194030000000,1,1615,1614,0.0,0.0,3228,12028899984.0,17569,3478,36,53,17,1464,1465,0.0,0.0,2930,10942494912.0,16471,3256,33,49,18,1549,1550,0.0,0.0,3099,11615124944.0,16414,3253,34,47,22,1534,1533,0.0,0.0,3067,11538057072.0,17125,3388,36,50,12,1542,1543,0.0,0.0,3085,11638645168.0,17190,3404,36,55,14,1605,1606,0.0,0.0,3210,12154558960.0,17516,3468,34,51,16,1450,1451,0.0,0.0,2902,11016357520.0,16249,3319,32,47,15,1602,1601,0.0,0.0,3203,12207499648.0,17833,3561,35,53,15,1514,1514,0.0,0.0,3028,11575910768.0,16575,3280,34,51,18,1589,1590,0.0,0.0,3179,12190175760.0,17312,3427,34,49,15
7,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194040000000,1,1572,1573,0.0,0.0,3145,12099566880.0,17257,3571,34,46,13,1542,1543,0.0,0.0,3084,11907149776.0,16832,3334,34,51,16,1285,1285,0.0,0.0,2571,9950484880.0,14673,2902,30,47,17,1534,1533,0.0,0.0,3067,11911741152.0,16233,3214,32,47,16,1381,1383,0.0,0.0,2764,10760210896.0,16030,3168,33,46,11,1419,1418,0.0,0.0,2836,11083469232.0,15588,3086,32,49,16,1340,1340,0.0,0.0,2680,10497420640.0,15102,2982,31,44,19,1532,1534,0.0,0.0,3066,12039878448.0,16219,3206,34,44,12,1483,1483,0.0,0.0,2966,11687534864.0,16893,3341,36,57,13,1526,1526,0.0,0.0,3053,12063152080.0,16832,3331,36,47,13
8,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194050000000,1,1437,1438,0.0,0.0,2874,11395301008.0,15797,3128,33,48,12,1533,1533,0.0,0.0,3067,12191249952.0,16203,3208,35,47,12,1383,1383,0.0,0.0,2766,11030630976.0,15879,3140,34,46,14,1442,1442,0.0,0.0,2883,11533782016.0,15930,3156,35,53,26,1493,1494,0.0,0.0,2988,11978492880.0,16359,3239,35,51,18,1335,1334,0.0,0.0,2669,10737745168.0,15136,2996,32,51,20,1169,1170,0.0,0.0,2339,9429277520.0,12800,2533,26,42,13,1566,1567,0.0,0.0,3133,12665222704.0,16964,3359,35,55,15,1592,1592,0.0,0.0,3184,12913909184.0,17533,3469,37,51,13,1583,1583,0.0,0.0,3166,12881088272.0,17677,3498,37,54,16
9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194060000000,1,1587,1587,0.0,0.0,3174,12953881152.0,16953,3357,35,50,12,1439,1441,0.0,0.0,2879,11784474368.0,16376,3239,34,48,15,1525,1524,0.0,0.0,3050,12518977632.0,16488,3264,34,49,12,1374,1375,0.0,0.0,2749,11314930544.0,15436,3054,33,45,17,1582,1582,0.0,0.0,3164,13062991920.0,16925,3496,35,48,19,1504,1504,0.0,0.0,3008,12456043776.0,16344,3236,33,50,19,1410,1410,0.0,0.0,2820,11710410960.0,15504,3069,31,50,22,1504,1506,0.0,0.0,3010,12530247040.0,16652,3436,33,55,17,1359,1358,0.0,0.0,2717,11347601296.0,15810,3122,34,49,15,1424,1425,0.0,0.0,2849,11926293744.0,15867,3134,35,56,23
10,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194070000000,1,1459,1460,0.0,0.0,2919,12253051696.0,15726,3116,34,52,17,1627,1627,0.0,0.0,3254,13701787008.0,17671,3525,36,51,14,1549,1550,0.0,0.0,3099,13086429376.0,17088,3497,35,48,16,1454,1454,0.0,0.0,2908,12316740944.0,16709,3315,35,50,16,1500,1499,0.0,0.0,2999,12739636896.0,16465,3274,34,45,21,1363,1364,0.0,0.0,2727,11611520752.0,14872,2958,30,44,13,1242,1243,0.0,0.0,2485,10606820416.0,14620,2904,30,41,12,1331,1331,0.0,0.0,2662,11391890576.0,15090,3194,29,40,14,1381,1381,0.0,0.0,2762,11849791136.0,15605,3101,32,46,13,581,582,0.0,0.0,1163,4996743504.0,5626,1122,12,18,9
11,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,Delphimorix-8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9.exe,133344194080000000,1,742,742,0.0,0.0,1484,6386299024.0,9415,1867,20,30,12,1356,1356,0.0,0.0,2712,11693677536.0,15160,3015,31,47,18,1373,1374,0.0,0.0,2747,11872614320.0,14980,2981,31,46,14,1396,1395,0.0,0.0,2791,12097638096.0,16208,3220,33,50,17,1416,1417,0.0,0.0,2832,12307619920.0,15591,3100,35,49,24,1406,1406,0.0,0.0,2813,12250065408.0,15542,3092,32,42,15,1565,1565,0.0,0.0,3129,13672566160.0,16470,3279,35,43,8,1432,1432,0.0,0.0,2864,12544950080.0,16753,3328,34,47,6,1579,1580,0.0,0.0,3160,13873260080.0,16596,3305,34,45,5,1403,1404,0.0,0.0,2807,12360690912.0,16504,3279,32,45,7
