,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089040000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,100,365704,8686,1911,63,160,40,0,0,0,0,0,0,19573,1619,18,12,7
1,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089050000000,1,37,0,0,0,125,1049266,12629,2400,76,245,65,1,0,0,0,20,300,6233,1403,51,211,60,8,0,0,0,13,19486298,8448,1642,34,92,28,1,1,1,0,6,2478088,15547,2499,32,41,16,0,0,0,0,0,0,19089,1739,21,9,2,1,1,1,0,6,2330112,17531,2326,26,33,14,2,3,2,0,15,400217,16079,2641,38,22,10,2,1,2,0,9,182970,12615,2358,32,26,8,2,2,2,0,12,166580,15010,2654,37,22,11,2,2,2,0,12,166580,14833,2577,38,19,8
2,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089060000000,1,2,2,2,0,12,166580,13796,2384,32,23,10,2,2,2,0,12,166580,15592,2707,36,18,6,2,2,2,0,12,166580,15690,2766,37,19,9,2,2,2,0,12,935372,17079,2629,34,24,12,2,2,2,0,12,827168,17290,2855,40,17,7,1,1,1,0,6,650768,17312,2404,32,14,7,3,3,3,0,18,114419,15718,2779,41,17,7,1,1,1,0,6,904404,16018,2468,33,12,4,2,2,2,0,11,2783266,16331,2276,28,34,15,0,0,0,0,1,0,19600,2485,29,14,6
3,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089070000000,1,1,1,1,0,6,2103216,18124,2285,28,41,24,1,1,1,0,6,1682182,18995,2536,30,22,10,1,1,1,0,6,1511763,19366,2421,29,25,12,3,3,3,0,17,2524044,17017,2811,38,25,9,0,0,0,0,1,0,18886,2324,29,7,3,1,1,1,0,6,2324998,19439,2023,22,33,14,2,2,2,0,12,111532,16743,2962,42,9,5,2,2,2,0,12,345744,16991,2867,39,12,3,2,2,2,0,12,743535,17457,2736,37,15,5,2,2,2,0,12,166302,17076,3001,42,24,8
4,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089080000000,1,2,3,3,0,17,363494,16532,2755,40,18,9,1,0,0,0,1,1227733,17236,2195,27,12,6,2,2,2,0,12,1302074,18313,2769,37,27,11,2,2,2,0,12,696564,17669,2850,38,24,9,2,2,2,0,12,346676,16821,2781,39,16,5,2,2,2,0,12,684336,17012,2703,36,14,6,2,2,2,0,12,870944,17362,2664,36,32,12,2,2,2,0,12,618580,16817,2714,37,25,9,2,2,2,0,12,304218,17494,2923,42,17,7,1,1,1,0,6,1842704,17072,2634,35,17,6
5,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089090000000,1,0,0,0,0,0,0,17586,1562,17,5,2,2,2,2,0,12,2084623,16053,2736,35,43,24,2,2,2,0,12,1513004,14699,2427,31,23,12,0,0,0,0,0,0,18662,1979,24,13,7,2,2,2,0,12,2387488,16759,2823,38,23,9,1,1,1,0,6,1061904,18644,2286,28,19,9,2,2,2,0,12,157397,14292,2492,34,20,11,2,2,2,0,12,450859,15290,2643,38,17,8,1,1,1,0,6,1565200,15090,2040,24,21,10,1,1,1,0,6,1580560,16465,1876,22,23,14
6,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089100000000,1,1,1,1,0,6,839696,16661,2425,32,15,9,2,2,2,0,12,576407,15662,2367,31,24,11,1,1,1,0,6,451776,13084,2032,25,18,8,2,2,2,0,12,757919,12986,1973,27,26,13,1,2,2,0,10,104528,13907,2468,31,27,12,2,1,1,0,8,106512,13585,2387,32,17,8,2,2,2,0,12,199375,14253,2462,34,23,9,2,2,2,0,12,2859219,15474,2469,33,28,13,0,0,0,0,0,0,16293,1897,22,17,8,0,0,0,0,0,0,14297,1264,14,4,1
7,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089110000000,1,2,2,2,0,12,2565086,14497,2198,28,50,34,1,1,1,0,6,26785,11335,2006,27,8,4,2,2,2,0,12,2876478,11359,1910,26,26,14,0,0,0,0,0,0,11871,1610,19,5,3,0,0,0,0,0,0,14361,1278,15,6,3,0,0,0,0,0,0,12558,1113,13,3,2,2,2,2,0,12,3145672,13917,2368,29,45,25,2,2,2,0,12,416876,16694,2578,35,18,8,2,2,2,0,12,107202,16015,2818,38,13,7,2,2,2,0,12,486586,15820,2714,38,17,6
8,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089120000000,1,1,1,1,0,6,1335117,18099,2428,30,15,7,1,1,1,0,6,2521210,17801,2353,28,27,12,0,1,0,0,0,1488336,17893,1661,19,22,12,1,0,1,0,6,1406976,14951,2057,23,16,6,1,1,1,0,6,1440484,16580,2011,25,25,12,1,1,1,0,6,4705448,15987,2775,30,42,21,0,0,0,0,0,0,17095,1518,17,10,6,0,0,0,0,0,0,14350,1267,15,8,3,0,0,0,0,0,0,14169,1251,14,4,1,0,1,0,0,0,4671952,14479,1498,15,55,35
9,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,table.exe,133345089130000000,1,3,2,3,0,18,151890,15792,2825,37,21,7,1,1,1,0,6,499681,15019,2511,31,11,4,1,1,1,0,6,610417,11718,1678,20,13,7,1,1,1,0,6,1622176,15711,2101,27,18,7,1,1,1,0,6,2370064,15238,1625,18,29,14,0,0,0,0,0,0,14339,1772,23,7,2,2,2,2,0,12,1266720,12877,2029,26,24,13,1,1,1,0,6,575504,9828,1533,20,15,7,1,1,1,0,6,405441,10072,1397,18,14,6,1,1,1,0,6,73664,10661,1885,27,9,3
