,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091520000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,22,179910,3168,716,26,94,15,10,0,0,0,55,183186,6059,1455,44,126,18,3,0,0,0,17,2512,4977,1219,44,150,18
1,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091530000000,1,19,0,0,0,36,683658,5252,1212,46,186,37,0,0,0,0,26,0,6424,1300,50,178,32,0,0,0,0,41,0,5781,1202,45,191,8,0,0,0,0,40,0,5279,1102,36,177,22,0,0,0,0,2,0,4704,966,34,193,46,2,1,2,0,11,223344,9802,1807,35,87,17,1,1,1,0,6,2478088,17423,2776,37,26,12,0,0,0,0,0,0,19791,1760,19,6,3,2,2,2,0,12,2475945,17548,2415,32,49,24,2,2,2,0,12,325040,17833,3015,44,17,8
2,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091540000000,1,2,2,2,0,12,195604,16219,2799,43,35,9,2,2,2,0,12,166580,16103,2799,38,16,8,3,3,3,0,18,249870,16946,2935,42,27,12,2,2,2,0,12,166580,17121,2980,45,14,5,2,2,2,0,12,166580,17023,2917,42,14,5,2,2,2,0,12,935372,17339,2699,37,17,7,2,2,2,0,12,827168,15915,2605,33,18,7,1,1,1,0,6,650768,14842,2024,25,20,8,3,3,3,0,18,114419,16212,2848,43,25,13,1,1,1,0,6,904404,16696,2687,36,13,7
3,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091550000000,1,2,2,2,0,11,2783266,17615,2341,28,31,17,0,0,0,0,1,0,18731,2261,29,7,3,1,1,1,0,6,2103216,16656,2083,25,32,15,1,1,1,0,6,1682182,15765,2249,30,21,10,1,1,1,0,6,1511763,17623,1837,21,29,12,2,2,2,0,12,228092,15806,2652,35,16,7,1,1,1,0,6,2295952,13680,2404,29,25,10,0,0,0,0,0,0,15820,1414,17,8,3,0,1,0,0,0,2295312,16922,1977,19,52,27,3,2,3,0,18,141218,14197,2496,39,23,9
4,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091560000000,1,2,2,2,0,12,345744,15270,2558,34,16,8,1,1,1,0,6,370359,16792,2668,35,10,4,2,2,2,0,12,476360,14922,2536,35,19,9,3,3,3,0,17,300132,14887,2548,36,17,8,1,1,1,0,7,1354213,15350,2592,33,14,6,0,1,0,0,0,1227744,16697,1633,17,21,10,3,2,3,0,18,399466,15694,2796,38,24,11,1,1,1,0,6,371428,15646,2485,33,13,6,2,2,2,0,12,346676,14401,2345,32,18,8,2,2,2,0,12,684336,14775,2287,33,19,9
5,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091570000000,1,1,1,1,0,6,429072,17174,2661,36,16,8,2,2,2,0,12,728096,12416,2105,28,20,8,1,1,1,0,6,332356,12818,1984,26,12,5,2,2,2,0,12,304218,12873,2151,29,16,7,1,1,1,0,6,1842704,17077,2536,31,23,8,0,0,0,0,0,0,17302,1640,19,20,11,2,2,2,0,12,2084623,14183,2391,30,29,12,2,2,2,0,12,1513004,14715,2425,34,21,9,0,0,0,0,0,0,14612,1727,22,18,8,1,1,1,0,6,1320976,13203,1876,23,24,13
6,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091580000000,1,1,1,1,0,6,1066512,12295,1755,23,18,9,1,1,1,0,6,1061904,12527,1496,18,26,10,2,2,2,0,12,157397,13521,2332,30,14,8,2,2,2,0,11,450859,11927,2071,27,13,7,1,1,1,0,7,1565200,14515,2146,24,19,10,0,0,0,0,0,0,13703,1706,21,9,5,1,1,1,0,6,1580560,13747,1917,23,22,9,1,1,1,0,6,839696,13174,1843,25,16,8,2,2,2,0,12,576407,15025,2235,30,32,14,1,1,1,0,6,451776,16440,2565,36,11,6
7,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091590000000,1,2,2,2,0,12,757919,16248,2648,37,26,11,3,3,3,0,18,211040,16433,2850,42,16,9,2,2,2,0,12,199375,15405,2646,36,12,6,1,2,2,0,11,394848,16017,2662,36,29,14,1,0,0,0,1,2464371,15551,2144,22,15,5,0,0,0,0,0,0,16107,1430,16,6,1,2,2,2,0,12,2565086,18712,2623,34,44,19,2,2,2,0,12,76559,16749,2977,43,14,5,1,1,1,0,6,2826704,18683,2555,31,21,7,0,0,0,0,0,0,21246,1889,21,5,2
8,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091600000000,1,2,2,2,0,12,3145672,18370,2827,35,53,26,2,2,2,0,12,416876,17887,2786,39,17,9,2,2,2,0,12,107202,16813,2979,43,14,4,2,2,2,0,12,486586,17885,2902,40,16,7,1,1,1,0,6,1335117,16498,2221,29,25,12,1,1,1,0,6,2521210,19530,2535,31,34,14,1,1,1,0,6,2895312,19872,2259,25,38,15,0,0,0,0,0,0,19694,2081,25,7,5,2,2,2,0,12,6145932,17486,2881,34,62,33,0,0,0,0,0,0,19720,2107,26,14,4
9,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091610000000,1,0,0,0,0,0,0,19930,1774,19,7,3,0,0,0,0,0,0,20533,1874,21,38,27,2,2,2,0,12,4779650,18038,3064,38,37,16,2,2,2,0,12,543873,17709,2816,40,16,7,2,2,2,0,12,2232593,16759,2618,33,37,16,0,0,0,0,0,0,18358,1924,21,9,4,1,1,1,0,6,2370064,17071,2304,28,40,20,2,2,2,0,12,1266720,16549,2356,33,27,15,1,1,1,0,6,575504,17304,2582,35,11,5,3,3,3,0,18,515719,17468,2946,43,26,10
10,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091620000000,1,2,2,2,0,12,442961,16990,2867,41,16,6,2,2,2,0,12,213382,16788,2840,41,14,6,2,2,2,0,12,326915,16535,2916,42,15,7,2,3,3,0,17,313680,16787,2718,40,18,8,1,0,0,0,1,1502720,19727,2486,27,20,7,2,2,2,0,11,3777099,17435,2324,29,46,25,0,0,0,0,1,0,20027,2465,29,8,3,1,1,1,0,6,2761776,20314,2515,29,42,20,1,1,1,0,6,1475088,18406,2454,30,26,13,2,2,2,0,11,1828098,18149,2412,32,23,10
11,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091630000000,1,0,0,0,0,1,0,18970,2284,27,7,5,1,1,1,0,6,6405200,17621,2597,28,41,19,0,0,0,0,0,0,19513,1735,20,5,2,0,0,0,0,0,0,18935,1682,18,8,2,0,0,0,0,0,0,21468,1908,22,5,0,2,2,2,0,11,9985120,16342,2751,30,97,58,0,0,0,0,1,0,17856,2431,25,17,6,0,0,0,0,0,0,22138,1967,21,5,1,0,0,0,0,0,0,21768,1935,21,5,2,2,2,2,0,12,4702638,18675,2964,36,62,35
12,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091640000000,1,2,2,2,0,12,509553,17422,2933,43,20,9,2,2,2,0,12,927632,18218,2641,36,18,9,2,2,2,0,12,1378548,17075,2889,41,20,8,1,1,1,0,6,1292128,18746,2013,24,22,9,1,1,1,0,6,1362448,18399,2883,39,15,6,1,1,1,0,6,1514227,18767,2276,26,39,19,1,1,1,0,6,482919,15119,2230,32,16,8,3,3,3,0,18,717838,17615,3030,42,29,11,2,2,2,0,12,453569,17099,2887,41,18,7,2,2,2,0,12,1068500,17890,2786,38,24,10
13,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091650000000,1,1,1,1,0,6,742992,17831,2555,35,23,10,2,2,2,0,12,270894,16956,2829,39,17,6,3,3,3,0,17,631854,15742,2737,38,20,9,1,1,1,0,7,563335,17243,2524,30,23,10,2,2,2,0,11,6318863,16432,2651,33,37,15,0,0,0,0,1,0,18376,2434,27,19,4,0,0,0,0,0,0,21119,1878,21,6,3,0,0,0,0,0,0,19640,1745,18,5,1,0,0,0,0,0,0,18678,1660,18,7,3,1,1,1,0,6,6214160,14709,2085,20,72,43
14,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091660000000,1,2,2,2,0,12,84511,13507,2362,35,15,5,2,2,2,0,12,363216,15729,2642,39,17,5,2,2,2,0,12,99632,16240,2858,41,15,3,2,2,2,0,12,591737,16176,2717,34,18,7,2,2,2,0,12,626968,16339,2441,36,21,9,2,2,2,0,12,371329,16425,2785,39,24,9,2,2,2,0,12,169370,12879,2218,31,13,7,2,2,2,0,12,645031,15505,2696,39,20,9,1,1,1,0,6,770064,16644,2389,34,16,7,1,1,1,0,6,979472,16858,2219,32,19,6
15,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091670000000,1,2,2,2,0,12,847402,16730,2671,34,21,7,3,3,3,0,18,345481,16661,2871,42,19,8,2,2,2,0,12,331039,16139,2724,37,18,7,1,1,1,0,6,125062,13243,2241,33,9,5,3,3,3,0,18,305733,16341,2789,40,20,8,2,2,2,0,12,170754,15941,2949,40,16,5,2,2,2,0,12,130680,15067,2577,39,18,6,2,2,2,0,12,131753,14543,2597,39,16,5,2,2,2,0,12,294624,12243,2058,26,13,7,2,2,2,0,12,288294,15914,2702,37,24,9
16,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091680000000,1,1,1,1,0,6,274928,12578,2154,31,10,5,1,1,1,0,6,1660432,12358,1854,22,24,9,0,0,0,0,0,0,15968,1419,16,7,3,1,2,2,0,11,1616803,11806,2083,22,54,29,2,2,2,0,12,214217,14513,2489,37,16,6,1,0,0,0,1,1519104,16078,2102,24,11,5,1,1,1,0,6,1521559,14737,1713,21,34,14,2,2,2,0,12,106445,13569,2390,37,19,6,1,1,1,0,6,323290,14910,2360,33,14,6,1,1,1,0,6,1312666,18020,2285,29,18,9
17,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091690000000,1,2,2,2,0,12,1328588,16813,2620,33,26,13,2,2,2,0,12,71182,15737,2779,38,14,7,2,2,2,0,12,484644,14332,2339,32,12,7,3,3,3,0,18,138096,17555,3058,40,16,6,2,2,2,0,12,1435328,18265,3043,42,29,12,1,1,1,0,5,2288144,19795,2367,29,35,17,0,0,0,0,1,0,19370,2336,29,7,3,2,2,2,0,12,3171342,17794,2479,31,43,19,0,0,0,0,0,0,17708,2109,26,5,2,1,1,1,0,6,3428213,16357,2320,27,44,24
18,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091700000000,1,0,0,0,0,0,0,19761,1750,20,4,2,2,2,2,0,12,2337755,16805,2645,35,47,24,1,1,1,0,6,1029232,17977,2497,35,13,6,2,2,2,0,12,2122254,17706,2624,34,26,13,1,1,1,0,6,969232,18134,2212,27,17,8,1,1,1,0,6,639903,17262,2509,33,11,4,2,2,2,0,12,821152,14892,2441,31,20,9,1,1,1,0,6,5057601,15802,2456,24,31,13,0,0,0,0,0,0,17747,1577,18,5,2,0,0,0,0,0,0,19684,1750,19,4,2
19,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091710000000,1,0,0,0,0,0,0,19805,1761,20,5,2,2,2,2,0,11,7697904,17590,2917,32,90,50,0,0,0,0,1,0,18596,2339,28,9,1,0,0,0,0,0,0,19512,1734,19,5,3,1,1,1,0,6,3521571,18095,2497,30,46,22,1,1,1,0,6,1894488,17400,2271,25,25,10,1,1,1,0,6,1588704,17954,2303,30,22,11,2,2,2,0,12,1256915,16832,2292,31,20,13,2,2,2,0,11,4040287,17654,2822,37,27,10,0,0,0,0,1,0,20304,2487,29,9,2
20,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091720000000,1,0,0,0,0,0,0,20897,1858,20,5,2,1,1,1,0,5,7508480,17247,1902,17,59,32,0,0,0,0,1,0,16716,2245,25,11,4,0,0,0,0,0,0,15474,1373,14,6,1,0,0,0,0,0,0,20282,1803,21,7,1,2,2,2,0,12,4153546,17901,2877,35,80,42,2,2,2,0,12,156170,17582,3064,45,13,5,2,2,2,0,12,1681065,17297,2580,33,22,11,1,1,1,0,6,815525,17090,2189,29,22,10,2,2,2,0,12,366002,16305,2879,40,12,4
21,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091730000000,1,1,2,1,0,10,762538,17851,2635,35,31,16,1,0,1,0,2,3281344,17762,2427,29,32,15,0,0,0,0,0,0,18851,1668,19,6,1,1,1,1,0,6,3316061,19085,2177,24,42,23,2,2,2,0,12,321225,17459,3032,44,17,6,2,2,2,0,12,1167168,17806,2920,37,17,7,1,1,1,0,6,952848,17854,2199,28,17,7,2,2,2,0,12,643137,18224,2941,41,18,8,2,2,2,0,12,5649144,17915,2710,32,39,20,0,0,0,0,0,0,19053,2260,28,12,4
22,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091740000000,1,0,0,0,0,0,0,18721,1664,18,6,2,0,0,0,0,0,0,19802,1760,21,5,1,1,1,1,0,6,5138448,17812,2272,24,67,37,2,2,2,0,12,217620,17214,2943,42,16,5,2,3,3,0,17,208228,16144,2760,36,16,5,2,1,1,0,7,442237,17922,2796,38,14,6,1,1,1,0,6,1316368,19082,2431,30,17,6,3,3,3,0,18,1595021,16791,2829,40,32,14,1,1,1,0,6,510579,17776,2631,35,12,8,2,3,3,0,17,171059,16208,2818,42,21,6
23,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091750000000,1,1,0,0,0,1,2093568,20155,2494,29,11,4,1,1,1,0,6,2129424,18570,2073,23,34,19,2,2,2,0,12,86760,16548,2932,40,13,8,2,2,2,0,12,154212,16499,2918,40,27,7,3,3,3,0,18,249870,16696,2888,40,23,9,2,2,2,0,12,166580,15766,2884,38,17,6,2,2,2,0,12,180746,17250,3005,40,16,4,2,2,2,0,12,212795,15891,2726,38,15,6,3,3,3,0,18,255367,15808,2742,38,21,6,2,2,2,0,12,688354,16741,2895,36,14,6
24,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf,FuckUnicorn-7980ef30b9bed26a9823d3dd5746cdefe5d01de2b2eb2c5e17dbfd1fd52f62bf.exe,133345091760000000,1,2,2,2,0,11,861808,18464,2583,32,20,9,1,2,2,0,11,385056,16486,2672,35,16,5,2,1,1,0,8,1047056,18318,2755,36,15,9,2,2,2,0,12,547801,17895,2874,36,16,6,2,2,2,0,12,798242,17360,2684,33,23,8,2,2,2,0,12,147648,16867,2946,42,15,5,1,1,1,0,6,3339955,19844,2581,31,23,8,0,0,0,0,0,0,20386,1813,20,5,2,1,1,1,0,5,6953136,18920,2393,24,76,39,0,0,0,0,1,0,16866,2117,28,11,4
