,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482880000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3335,698,27,102,26,0,0,0,0,10,0,7129,592,20,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482910000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482950000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482980000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,150,13,0,204,9524208,5594,1066,38,173,18,29,267,30,0,385,72533962,8652,1626,51,238,24,23,252,23,0,344,411487247,8949,1715,53,253,29
5,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483010000000,1,0,0,0,0,0,0,2203,458,18,33,10,9,49,9,0,85,731868260,5257,1030,31,68,23,35,249,34,0,385,36504985,9650,1942,46,226,27,44,249,44,0,427,1004074140,9762,1745,39,198,20,47,236,48,0,426,1237241832,10588,1894,43,193,20,33,192,32,0,324,3714135342,7637,1381,43,162,27,34,245,35,0,381,10661364878,10116,1858,44,216,28,41,233,40,0,395,7517931888,9022,1630,46,203,22,42,267,43,0,437,102083762,10046,1824,42,214,19,17,220,16,0,284,1432628,11051,2101,58,223,27
6,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483020000000,1,53,425,54,0,641,87962680,14771,2807,44,143,31,49,320,49,0,516,1148005108,13583,2727,39,137,34,67,370,66,0,638,1376454281,15545,2810,40,119,27,66,355,66,0,615,6166574184,15084,2732,40,123,24,56,343,57,0,571,16592027848,14222,2594,40,120,25,55,277,55,0,497,121585863,11207,2005,35,130,21,18,218,18,0,290,3642732,11016,2146,48,193,31,48,339,44,0,519,150780379,10247,1886,39,186,22,63,323,61,0,571,24326924,12625,2271,43,178,18,63,312,62,0,561,50042749,11694,2084,39,190,12
7,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483030000000,1,53,269,53,0,482,21774881,11275,2034,39,168,18,81,416,82,0,742,52302342,14755,2641,41,143,24,79,438,78,0,750,11979541,12196,2265,56,210,24,76,429,77,0,737,31432204,12306,2280,57,205,18,79,443,79,0,759,6814048,12202,2285,56,206,20,80,449,80,0,769,21831615,12562,2342,53,187,20,60,341,60,0,581,4226000,11240,2133,49,207,21,58,312,57,0,542,9996045,11569,2340,43,201,24,56,299,56,0,523,27008359,12093,2368,46,174,16,55,275,54,0,493,56002082,12784,2332,45,171,16
8,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483040000000,1,54,271,54,0,489,29713274,12379,2248,45,157,22,58,289,58,0,519,25274989,12644,2610,46,152,13,51,258,51,0,464,30841037,11092,2169,39,128,23,19,96,19,0,170,4365586,6078,1519,23,80,5,59,292,59,0,526,47229941,12620,2278,37,142,21,55,273,55,0,494,26588289,11878,2320,35,142,20,63,316,63,0,567,21758438,13400,2566,40,129,19,71,359,72,0,647,27171204,14543,2764,43,129,21,68,336,67,0,604,71127590,14308,2579,45,139,23,62,350,63,0,602,24905424,11794,2128,46,157,26
9,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483050000000,1,53,358,51,0,568,16426753,11247,2114,51,207,24,59,326,51,0,536,149607391,10781,1988,50,194,28,40,329,41,0,491,5816138,10210,1901,45,229,18,33,286,33,0,418,594414,9114,1765,57,223,35,40,308,39,0,464,7799718,9435,1777,57,244,22,49,286,49,0,482,68460487,9869,1832,52,203,18,60,385,60,0,626,30083976,10734,2013,56,208,22,24,365,25,0,464,54286881,8900,1718,51,255,22,8,256,7,0,288,12758768,7473,1470,36,194,20,39,276,39,0,430,17864197,8626,1596,44,205,16
