,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400580000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,3,3,0.0,0.0,29,1571316.0,5764,1252,43,171,22,13,0,0.0,0.0,51,4871.0,6709,1511,49,201,26,0,0,0.0,0.0,27,0.0,5587,1333,37,183,29,7,1,0.0,0.0,79,221734.0,15133,3444,96,319,58,0,0,0.0,0.0,2,0.0,17491,3071,117,353,65,8,0,0.0,0.0,57,183138.0,13621,3105,107,397,51,14,0,0.0,0.0,40,838656.0,13649,3329,96,313,37,0,0,0.0,0.0,3,0.0,7521,1823,61,204,27,0,0,0.0,0.0,8,0.0,8094,1780,47,193,21
1,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400590000000,1,0,0,0.0,0.0,10,0.0,8190,2045,47,154,11,0,0,0.0,0.0,1,0.0,6321,1442,40,145,11,0,0,0.0,0.0,4,0.0,7259,1603,47,205,12,0,0,0.0,0.0,8,0.0,6566,1441,60,234,17,32,33,0.0,0.0,148,129531368.0,6863,1374,46,196,23,41,39,0.0,0.0,157,76727624.0,8303,1676,49,188,18,32,28,0.0,0.0,116,74914208.0,7738,1559,50,193,16,35,48,0.0,0.0,154,29473368.0,6872,1304,38,181,17,42,56,0.0,0.0,183,33373032.0,7654,1435,36,175,19,30,36,0.0,0.0,124,28718672.0,5925,1124,29,155,19
2,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400600000000,1,31,44,0.0,0.0,144,27921472.0,7320,1424,40,184,23,57,44,0.0,0.0,177,27846542.0,19856,3813,88,286,32,30,39,0.0,0.0,129,91798128.0,20832,3854,79,193,25,19,25,0.0,0.0,85,37869104.0,20251,3824,73,172,20,36,48,0.0,0.0,156,31148504.0,19764,3585,67,149,40,25,32,0.0,0.0,108,15602160.0,19035,3496,55,153,14,19,24,0.0,0.0,80,8640448.0,19301,3549,61,163,17,18,28,0.0,0.0,86,12492016.0,17558,3227,63,161,16,13,16,0.0,0.0,59,8620912.0,16324,3229,58,166,24,36,48,0.0,0.0,161,18920232.0,19927,3667,70,175,21
3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400610000000,1,34,44,0.0,0.0,151,17929980.0,19454,3746,73,187,28,35,48,0.0,0.0,159,22263616.0,11035,2261,80,336,48,39,50,0.0,0.0,166,16764416.0,8218,1603,63,297,48,34,46,0.0,0.0,152,22548384.0,6386,1218,42,192,18,27,36,0.0,0.0,114,17913376.0,6112,1320,36,146,23,41,52,0.0,0.0,175,30169016.0,7331,1388,38,149,28,27,40,0.0,0.0,124,24404608.0,7475,1453,33,145,19,0,0,0.0,0.0,0,0.0,5500,1206,40,175,8,0,0,0.0,0.0,0,0.0,5248,1148,54,219,17,3,4,0.0,0.0,13,7046792.0,4831,1069,48,238,12
4,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400620000000,1,0,0,0.0,0.0,0,0.0,4804,1039,38,147,18,12,16,0.0,0.0,52,8542648.0,5328,1240,39,177,21,12,16,0.0,0.0,53,8472928.0,5203,1096,44,202,20,12,15,0.0,0.0,51,14720160.0,5796,1344,44,185,23,15,21,0.0,0.0,67,11663240.0,6169,1429,42,169,16,18,23,0.0,0.0,78,14961064.0,6416,1293,41,146,25,20,25,0.0,0.0,92,43225680.0,5983,1333,39,164,19,40,55,0.0,0.0,185,36397384.0,7024,1365,41,184,16,10,1,0.0,0.0,63,6263688.0,5957,1267,52,191,27,0,0,0.0,0.0,0,0.0,5462,1184,50,226,14
5,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400630000000,1,3,4,0.0,0.0,14,9554808.0,6593,1391,50,166,21,3,4,0.0,0.0,13,13581824.0,10296,2258,52,117,22,2,0,0.0,0.0,5,3376328.0,11004,2437,59,132,22,0,0,0.0,0.0,0,0.0,7032,1510,49,207,22,14,16,0.0,0.0,66,35774336.0,14265,3193,90,344,40,0,1,0.0,0.0,10,5800.0,10310,2268,53,199,27,0,0,0.0,0.0,0,0.0,7299,1643,54,218,22,0,0,0.0,0.0,0,0.0,17030,3238,66,189,26,0,0,0.0,0.0,3,0.0,8932,1829,60,215,42,0,0,0.0,0.0,0,0.0,7947,1803,52,131,35
6,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400640000000,1,0,0,0.0,0.0,0,0.0,8702,1794,44,202,22,7,8,0.0,0.0,29,23519093.0,7409,1554,57,203,19,0,0,0.0,0.0,0,0.0,6385,1388,52,238,10,0,0,0.0,0.0,2,0.0,6938,1838,36,114,15,0,0,0.0,0.0,0,0.0,5241,1114,39,192,19,0,0,0.0,0.0,7,0.0,8432,1780,57,179,26,0,0,0.0,0.0,2,0.0,7756,1789,55,170,21,0,0,0.0,0.0,4,0.0,8814,1856,50,213,23,0,0,0.0,0.0,1,0.0,6785,1408,38,141,23,0,0,0.0,0.0,36,0.0,8573,1814,53,167,20
7,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400650000000,1,0,0,0.0,0.0,30,0.0,8700,1836,65,219,26,0,0,0.0,0.0,0,0.0,4897,1096,31,167,9,0,0,0.0,0.0,0,0.0,4112,1003,28,116,5,0,0,0.0,0.0,22,0.0,6502,1508,53,109,12,0,0,0.0,0.0,51,0.0,7862,1706,65,208,16,0,0,0.0,0.0,0,0.0,6499,1352,44,193,16,0,0,0.0,0.0,8,0.0,7972,1805,59,183,11,0,0,0.0,0.0,172,0.0,6599,1399,48,246,20,0,0,0.0,0.0,83,0.0,6789,1454,48,212,13,0,0,0.0,0.0,17,0.0,6055,1283,58,238,14
8,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400660000000,1,0,0,0.0,0.0,9,0.0,5699,1225,49,206,10,1,0,0.0,0.0,64,340989.0,11845,2647,99,305,32,7,0,0.0,0.0,325,2573.0,15980,3488,93,159,33,0,0,0.0,0.0,38,0.0,7151,1691,50,259,22,0,0,0.0,0.0,0,0.0,3362,947,27,170,5,0,0,0.0,0.0,0,0.0,3226,957,19,114,7,0,0,0.0,0.0,0,0.0,3014,776,21,117,9,0,0,0.0,0.0,0,0.0,4222,1234,17,159,6,0,0,0.0,0.0,0,0.0,4022,1144,19,153,3,0,0,0.0,0.0,0,0.0,4312,1233,18,160,4
9,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,Hardbit-422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3.exe,133347400670000000,1,0,0,0.0,0.0,0,0.0,4180,1203,19,161,6,0,0,0.0,0.0,0,0.0,3721,1032,20,101,2,0,0,0.0,0.0,0,0.0,3719,1053,26,139,3,0,0,0.0,0.0,0,0.0,3265,970,15,99,3,0,0,0.0,0.0,0,0.0,2473,762,9,78,2,0,0,0.0,0.0,0,0.0,1728,489,11,92,2,0,0,0.0,0.0,0,0.0,4030,1179,19,109,5,0,0,0.0,0.0,0,0.0,3995,1160,19,121,5,0,0,0.0,0.0,0,0.0,3826,1105,19,146,6,0,0,0.0,0.0,0,0.0,4063,1178,19,129,3
