,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527290000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,535,126,4,17,4,0,1,0,0,21,8972,6525,1546,52,207,28,7,0,0,0,41,2573,5162,1192,42,199,23,0,0,0,0,13,0,4071,1012,33,185,11
1,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527300000000,1,0,0,0,0,44,0,4863,1186,34,124,32,0,0,0,0,27,0,2498,611,18,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527310000000,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,23,81499,3563,728,24,102,9,0,64,1,0,128,574208,13690,2998,77,379,28,2,37,2,0,78,297954,7760,1568,46,194,25,0,0,0,0,2,0,7784,1718,45,114,17,0,0,0,0,0,0,7437,1829,45,123,8,0,0,0,0,0,0,7621,1884,46,177,19,0,0,0,0,0,0,9434,2121,54,205,13,0,0,0,0,0,0,9727,2266,48,156,14,0,0,0,0,0,0,9246,2151,45,143,22
3,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527320000000,1,0,0,0,0,0,0,10728,2298,49,169,15,0,0,0,0,0,0,17805,3588,74,226,22,0,0,0,0,0,0,21026,4246,77,233,13,0,0,0,0,0,0,20730,4349,72,221,12,0,0,0,0,0,0,7934,1750,34,190,16,0,0,0,0,0,0,10857,2343,40,164,13,0,0,0,0,0,0,11281,2987,37,98,6,0,0,0,0,0,0,11902,4056,12,3,2,0,0,0,0,0,0,11926,4061,11,1,1,0,0,0,0,0,0,11885,4048,11,1,1
4,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527330000000,1,0,0,0,0,0,0,11977,4079,12,1,0,0,0,0,0,0,0,9150,3107,10,3,1,0,0,0,0,0,0,8978,3073,8,4,0,0,0,0,0,0,0,10330,3514,11,2,1,0,0,0,0,0,0,10997,3745,10,3,1,0,0,0,0,0,0,9796,3337,10,1,1,0,0,0,0,0,0,10504,3579,11,0,0,0,0,0,0,0,0,11135,3793,11,1,1,0,0,0,0,0,0,8533,2905,9,0,0,0,0,0,0,0,0,8233,2804,9,1,1
5,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527340000000,1,0,0,0,0,0,0,10189,3472,10,2,2,0,0,0,0,0,0,10128,3449,10,1,0,0,0,0,0,0,0,8161,2780,8,0,0,0,0,0,0,0,0,10888,3709,11,1,0,0,0,0,0,0,0,11044,3760,11,2,1,0,0,0,0,0,0,6589,2244,7,1,0,0,0,0,0,0,0,6356,2164,6,0,1,0,0,0,0,0,0,9337,3181,8,1,0,0,0,0,0,0,0,7982,2718,7,0,0,0,0,0,0,0,0,11112,3784,11,1,0
6,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527350000000,1,0,0,0,0,0,0,11103,3783,10,1,1,0,0,0,0,0,0,7022,2391,6,0,0,0,0,0,0,0,0,6396,2179,6,1,0,0,0,0,0,0,0,10500,3575,11,1,1,0,0,0,0,0,0,8064,2746,8,1,1,0,0,0,0,0,0,9761,3324,10,2,1,0,0,0,0,0,0,10568,3600,10,2,2,0,0,0,0,0,0,10105,3441,10,0,0,0,0,0,0,0,0,8920,3037,7,2,2,0,0,0,0,0,0,6753,2300,7,0,0
7,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527360000000,1,0,0,0,0,0,0,10081,3433,9,1,1,0,0,0,0,0,0,9920,3379,9,1,2,0,0,0,0,0,0,10059,3427,10,1,1,0,0,0,0,0,0,10797,3676,11,1,1,0,0,0,0,0,0,7449,2538,7,1,2,0,0,0,0,0,0,9989,3403,10,0,0,0,0,0,0,0,0,9448,3218,9,0,0,0,0,0,0,0,0,10614,3616,10,2,3,0,0,0,0,0,0,8096,2756,8,2,0,0,0,0,0,0,0,6372,2170,7,0,1
8,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527370000000,1,0,0,0,0,0,0,11111,3784,10,2,2,0,0,0,0,0,0,10755,3661,10,0,1,0,0,0,0,0,0,11707,3986,12,1,1,0,0,0,0,0,0,10487,3572,10,1,1,0,0,0,0,0,0,11093,3777,11,1,1,0,0,0,0,0,0,6264,1351,31,78,18,0,0,0,0,0,0,9437,2096,45,148,17,0,0,0,0,0,0,7930,1841,37,114,15,0,0,0,0,0,0,9731,2266,40,124,17,0,0,0,0,0,0,11339,2559,31,76,9
9,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Jsworm4-46761b8b727f3002d1c73fa6c8568ebcf2ec0066666251f66dcda9d4268e03e8.exe,133345527380000000,1,0,0,0,0,0,0,8871,1959,32,112,9,0,0,0,0,0,0,9805,2207,34,103,10,0,0,0,0,0,0,10426,2248,42,188,10,0,0,0,0,0,0,12434,2728,44,150,8,0,0,0,0,0,0,11225,2497,42,130,8,0,0,0,0,0,0,12081,2751,45,136,6,0,0,0,0,0,0,10958,2438,51,184,10,0,0,0,0,0,0,8790,1963,47,188,5,0,0,0,0,0,0,7899,1776,39,165,13,0,0,0,0,0,0,13151,2949,34,81,5
