,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551860000000,1,0,0,0,0,16,0,3994,942,32,128,18,0,0,0,0,4,0,15796,3098,43,36,9,54,52,0,0,136,23248,10965,2184,36,103,31,137,139,0,0,350,325064,14786,2631,29,52,11,27,6,0,5,51,18218510,11346,2221,39,167,46,54,11,0,9,93,89397496,15188,2653,30,184,73,54,17,0,17,122,12002839,12528,2279,40,173,53,55,9,0,7,84,69716463,13480,2318,27,202,85,53,8,0,6,80,76611646,14529,2508,29,181,71,49,15,0,12,99,58831014,14963,2598,39,183,52
1,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551870000000,1,53,12,0,9,92,36370547,13643,2372,34,177,66,47,9,0,8,80,59583937,13427,2334,32,181,74,52,9,0,7,83,49254708,13711,2516,30,185,75,57,10,0,8,91,41330772,13901,2398,29,174,69,52,11,0,9,89,83712678,14289,2485,32,191,66,47,9,0,5,71,115276015,13652,2292,24,167,74,56,10,0,10,97,61831327,13974,2441,32,181,63,64,7,0,3,80,148533262,15023,2531,23,187,82,48,5,0,0,52,234739072,14573,2418,17,206,98,44,8,0,6,70,81444089,12287,2160,26,149,65
2,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551880000000,1,48,10,0,9,85,34121634,12981,2267,30,146,62,42,10,0,8,77,41934379,10874,1888,28,154,63,57,5,0,3,71,85202352,14086,2374,22,183,78,56,6,0,3,71,197751940,13986,2402,22,189,83,48,5,0,0,53,269421568,14510,2408,17,196,86,53,6,0,2,65,250009376,13878,2325,21,170,78,43,8,0,5,66,124514896,13056,2221,23,168,71,52,10,0,6,79,59822022,13401,2288,24,169,67,45,11,0,11,90,13336330,12162,2158,36,155,48,50,9,0,6,76,208181496,13978,2395,28,189,80
3,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551890000000,1,48,4,0,0,52,312336384,13503,2254,16,177,81,51,13,0,13,103,112169063,12391,2201,38,174,50,44,11,0,11,89,18634736,11712,2088,35,168,56,47,18,0,17,117,5126764,11510,2224,46,162,35,59,13,0,12,107,38059119,13480,2352,34,174,56,44,19,0,18,118,5622862,11960,2187,41,157,34,48,11,0,9,84,81182752,13230,2293,31,184,74,53,8,0,5,77,442178206,13727,2328,26,174,66,44,3,0,0,47,523741184,12023,2165,14,160,75,32,3,0,0,34,392151040,9475,1575,12,147,76
4,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551900000000,1,48,3,0,0,52,585080832,12919,2326,15,176,85,43,4,0,2,52,305717280,11570,1973,18,130,62,35,4,0,0,39,122171392,11131,1845,16,187,90,40,15,0,14,97,25542780,10587,2018,35,126,36,45,7,0,3,63,94136752,13038,2224,23,158,67,52,11,0,12,98,18354141,12461,2182,35,156,46,44,10,0,10,83,16764576,11232,1982,31,142,53,50,5,0,2,62,226222418,11775,1972,16,141,62,44,6,0,3,59,158614674,12819,2173,21,197,86,36,6,0,4,53,48342943,10941,1836,19,135,60
5,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551910000000,1,37,10,0,10,77,10453380,8931,1750,28,93,33,39,8,0,8,71,19559932,10470,1862,25,147,62,36,3,0,0,39,252639232,10585,1783,14,124,57,42,3,0,0,45,300338176,10270,1701,12,121,58,34,4,0,2,44,219016744,10422,1776,17,162,71,59,15,0,15,120,49447904,12012,2137,37,148,33,41,4,0,1,48,118200412,12551,2120,19,166,76,48,5,0,2,59,114807020,12768,2137,18,164,73,38,6,0,1,46,95071444,13402,2256,19,186,88,50,10,0,9,87,48561946,13044,2411,30,166,64
6,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551920000000,1,61,7,0,3,77,427959668,14261,2396,21,156,66,48,5,0,0,54,432799744,14392,2401,17,206,94,45,6,0,2,57,355595578,13494,2268,19,172,75,45,19,0,19,121,4454382,11817,2331,49,159,31,53,15,0,15,112,21775963,12659,2267,40,145,35,50,8,0,3,67,143308745,14533,2453,23,206,87,51,10,0,8,86,86404767,12896,2215,29,157,55,50,8,0,8,82,27216699,12354,2141,30,170,73,53,5,0,4,70,106273124,12929,2241,23,188,84,52,10,0,8,85,62394010,13454,2297,28,163,57
7,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551930000000,1,41,6,0,5,62,65179046,11077,1898,22,191,83,37,7,0,5,60,84814366,10435,1795,21,137,60,43,7,0,7,71,25539599,11066,2060,25,152,56,42,5,0,5,61,34360410,10935,1910,23,172,74,49,6,0,3,64,269792349,12878,2168,21,174,73,48,3,0,0,52,398319616,11612,1950,15,155,76,45,3,0,0,48,382468608,12253,2087,17,172,78,50,10,0,8,83,55369460,13210,2285,30,203,74,37,8,0,6,63,30907068,9867,1697,23,128,55,36,9,0,8,69,18067423,9643,1811,25,110,41
8,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551940000000,1,61,8,0,8,94,82384412,13399,2324,28,190,73,32,4,0,0,35,120176640,10114,1664,13,138,67,37,16,0,15,98,33392991,10363,2033,37,128,35,38,8,0,8,70,13930043,10215,1964,26,121,47,46,6,0,5,68,109637987,10186,1767,21,157,67,36,5,0,1,44,137141100,10736,1807,16,127,59,41,4,0,0,45,157495808,11316,1875,14,139,64,38,6,0,2,49,80921136,11364,1885,16,150,70,52,6,0,4,71,310746126,12890,2187,22,156,61,36,3,0,0,39,259540992,10228,1716,12,166,79
9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9.exe,133345551950000000,1,35,5,0,1,43,225049140,12547,2289,17,131,57,42,5,0,4,59,138664766,9700,1673,19,141,60,34,5,0,0,39,156564480,11392,1867,14,139,62,46,10,0,7,76,78184940,12508,2155,28,176,70,41,10,0,11,84,20880500,10027,1785,30,137,46,43,5,0,5,64,39725776,9342,1627,20,145,63,37,7,0,3,53,50298990,10047,1774,18,115,49,33,5,0,2,43,78541993,10289,1806,16,138,62,51,5,0,5,72,41500823,12087,2098,23,163,67,37,6,0,3,51,165453264,10946,1836,18,153,72
