,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557640000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,14334,1968,64,204,40,7,0,0,0,35,2573,15431,1582,62,141,29,0,0,0,0,25,0,16522,1656,55,143,27,0,0,0,0,6,0,17141,1510,35,63,17
1,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557650000000,1,0,0,0,0,0,0,12965,645,17,3,1,0,0,0,0,0,0,15888,792,21,4,1,0,0,0,0,0,0,15240,759,20,2,1,0,0,0,0,0,0,16604,848,23,3,1,0,0,0,0,0,0,16777,848,23,3,1,0,0,0,0,0,0,16993,859,23,2,1,0,0,0,0,0,0,18127,910,23,1,1,0,0,0,0,0,0,18358,925,24,2,1,0,0,0,0,0,0,17875,898,25,2,1,0,0,0,0,0,0,21700,1641,30,4,1
2,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557660000000,1,0,0,0,0,0,0,33383,4143,57,25,5,0,0,0,0,0,0,35237,4369,60,9,2,0,0,0,0,0,0,34604,4296,57,10,3,0,0,0,0,0,0,33570,4179,56,8,2,0,0,0,0,0,0,32955,4082,55,9,4,0,0,0,0,0,0,32781,4059,54,15,2,0,0,0,0,0,0,31723,3924,52,31,6,0,0,0,0,0,0,31926,3924,52,27,4,0,0,0,0,0,0,29835,3771,48,26,4,0,0,0,0,0,0,28866,3702,47,26,6
3,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557670000000,1,0,0,0,0,0,0,27117,3738,44,13,3,0,0,0,0,0,0,26831,3703,44,15,1,0,0,0,0,0,0,31872,3963,50,20,3,0,0,0,0,0,0,28061,3790,52,36,5,26,4,0,9,81,3279,25123,5491,119,410,41,1,12,5,1,44,1696223,22176,4615,69,198,74,3,27,10,0,60,223669,23922,4760,66,236,104,3,19,9,0,49,261635,22968,4564,63,235,104,7,25,10,0,62,144599,22841,4527,65,238,93,9,17,9,0,53,81169,21764,4319,59,187,96
4,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557680000000,1,5,23,11,0,61,265555,23796,4698,63,234,96,9,21,10,0,60,91028,22735,4512,66,225,97,3,22,10,0,55,17915858,24759,4849,67,229,88,11,22,12,0,69,137568,23703,4679,67,227,79,12,24,11,0,69,147072,24089,4740,62,227,80,4,29,11,0,66,212295,24778,4889,71,250,84,0,31,11,0,64,268362,23295,4593,68,242,86,0,26,11,0,58,384039,23564,4670,64,230,79,2,26,11,0,61,1195954,24045,4708,66,233,87,0,23,10,0,53,376003,23184,4600,64,227,93
5,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557690000000,1,6,25,11,0,64,185940,22597,4453,66,232,96,4,21,11,0,58,609376,23494,4721,66,219,80,6,24,11,0,63,360196,22895,4505,64,239,82,6,23,10,0,59,189985,21959,4339,58,219,82,3,24,11,0,60,307298,23629,4648,63,231,84,2,12,5,0,35,152531,21310,4365,61,233,85,0,0,0,0,16,0,20933,4427,59,206,82,0,0,0,0,18,0,21477,4543,61,215,75,0,0,0,0,16,0,22317,4719,59,212,78,0,0,0,0,24,0,23443,4943,62,218,82
6,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557700000000,1,0,0,0,0,22,0,20501,4339,54,181,98,0,0,0,0,18,0,20511,4338,54,189,97,0,0,0,0,18,0,22358,4722,63,225,75,0,0,0,0,18,0,22091,4671,58,215,77,0,0,0,0,18,0,22192,4693,57,219,78,0,0,0,0,18,0,22494,4756,63,216,70,0,0,0,0,20,0,22520,4762,61,226,80,0,0,0,0,16,0,23170,4884,61,210,75,0,0,0,0,22,0,22593,4774,59,222,76,0,0,0,0,20,0,20986,4436,55,214,83
7,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557710000000,1,0,0,0,0,18,0,19109,4045,53,169,83,0,0,0,0,14,0,18590,3934,49,156,72,0,0,0,0,20,0,22105,4678,62,218,79,0,0,0,0,18,0,21966,4641,64,219,81,0,0,0,0,18,0,22135,4680,62,224,82,0,0,0,0,18,0,22102,4659,60,214,79,0,0,0,0,20,0,24247,5121,66,256,77,0,0,0,0,20,0,24491,5177,66,247,79,0,0,0,0,20,0,23972,5067,63,241,81,0,0,0,0,22,0,23955,5064,63,250,77
8,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557720000000,1,0,0,0,0,20,0,24057,5083,65,246,78,0,0,0,0,16,0,20372,4315,53,202,100,0,0,0,0,18,0,24405,5237,63,225,83,0,0,0,0,14,0,19267,4076,52,193,85,0,0,0,0,18,0,17831,3773,52,196,91,0,0,0,0,18,0,19363,4097,52,202,96,0,0,0,0,10,0,16907,3557,46,152,76,0,0,0,0,12,0,17166,3633,50,158,77,0,0,0,0,16,0,16920,3573,46,167,98,0,0,0,0,12,0,14684,3123,44,169,89
9,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,LockBit-0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f.exe,133345557730000000,1,0,0,0,0,16,0,20257,4282,54,209,83,0,0,0,0,14,0,17661,3732,49,161,62,0,0,0,0,14,0,18107,3836,48,145,78,0,0,0,0,16,0,18806,3972,53,202,77,0,0,0,0,18,0,22012,4654,58,221,77,0,0,0,0,18,0,21211,4484,58,218,76,0,0,0,0,16,0,19376,4094,52,194,78,0,0,0,0,12,0,20712,4368,52,165,71,0,0,0,0,20,0,21792,4611,58,212,83,0,0,0,0,18,0,22140,4681,57,222,77
