,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715750000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160,36,1,6,1,0,0,0,0,30,0,4435,1013,41,184,33,0,0,0,0,0,0,129,28,2,7,3,0,0,0,0,0,0,19,4,0,3,0,0,0,0,0,0,0,65,13,1,9,5,0,0,0,0,0,0,25,5,0,3,0,0,0,0,0,0,0,35,6,0,6,0
1,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715760000000,1,0,0,0,0,0,0,17118,3975,37,12,2,0,0,0,0,1,0,2606,604,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5073,1382,293,7,24,8
2,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715770000000,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715830000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,15,1,176,1155275,4566,814,26,110,9,0,80,28,0,342,5035749,11464,1961,54,175,10,0,70,22,0,203,440398,13082,2660,37,112,11,0,98,41,0,433,2014270,11898,2227,39,153,13,0,67,23,0,223,26029797,13578,1802,34,109,7,0,0,0,0,0,0,17878,1566,25,15,6
4,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715840000000,1,0,48,21,0,132,7757574,13770,1656,31,84,10,0,8,4,0,24,12208024,15179,1381,21,27,5,0,11,5,0,31,9874349,14362,1469,23,37,7,0,15,7,0,43,14018558,14225,1346,24,47,8,0,13,6,0,37,12221836,15658,1440,23,32,3,0,12,6,0,36,13360146,15913,1461,25,38,3,0,12,6,0,36,12295626,15424,1418,23,29,5,0,8,4,0,24,12888450,16133,1459,25,25,6,0,11,5,0,31,15474416,16148,1483,24,33,5,0,10,5,0,30,12675582,15368,1408,26,41,7
5,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715850000000,1,0,10,5,0,30,12524422,15836,1450,24,27,7,0,11,5,0,31,14681335,15948,1457,24,28,5,0,13,7,0,40,13323921,15595,1443,23,29,3,0,13,5,0,34,13925112,15258,1506,25,31,8,0,8,4,0,24,13593814,15475,1407,24,27,3,0,10,5,0,30,13017372,15664,1430,24,27,4,0,21,9,0,57,10308418,11692,1151,21,32,4,0,7,3,0,19,9239043,15126,1408,23,31,7,0,23,8,0,55,25088171,19173,1848,31,33,5,0,33,13,0,85,6067621,19173,1942,31,45,8
6,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715860000000,1,0,12,6,0,36,16447534,19661,1772,28,21,10,0,16,8,0,48,15378886,20369,1962,30,27,6,0,20,10,0,60,18284282,20450,1870,29,24,5,0,12,6,0,39,15021302,20318,1832,28,21,4,0,16,8,0,45,17712378,20036,1809,28,21,3,0,12,6,0,36,18502712,20313,1829,28,19,4,0,14,6,0,38,18090923,19863,1789,28,21,4,0,14,7,0,42,16203768,18374,1665,25,20,3,0,12,6,0,36,12651562,18351,1655,26,19,5,0,16,7,0,44,17979778,18680,1695,26,22,5
7,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715870000000,1,0,10,6,0,34,15226052,19922,1795,27,20,7,0,14,6,0,38,15852642,19903,1908,30,26,9,0,19,8,0,51,16136124,19917,1838,31,30,5,0,7,3,0,19,51228613,14718,1366,22,28,3,0,0,0,0,0,0,18962,1661,26,13,2,0,0,0,0,0,0,19279,1687,25,10,2,0,90,35,0,230,77848483,15353,1909,35,88,12,0,0,0,0,0,0,20380,1768,28,10,3,0,0,0,0,0,0,20606,1786,29,10,3,0,10,3,0,25,71635,20013,1992,30,21,8
8,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715880000000,1,0,110,43,0,279,27012485,16947,2158,37,84,10,0,0,0,0,0,0,17910,1553,25,10,3,0,49,21,0,133,11436560,17167,1940,34,52,9,0,14,7,0,42,15745792,19811,1791,29,25,7,0,18,9,0,54,16597578,19836,1809,28,26,6,0,16,8,0,48,15615478,20071,1818,28,23,4,0,14,7,0,42,16298994,19855,1798,29,24,5,0,15,7,0,43,22409770,20523,1852,29,21,3,0,13,6,0,37,15113330,20319,1827,27,20,4,0,12,6,0,36,16147200,20044,1914,29,25,7
9,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037.exe,133345715890000000,1,0,13,6,0,37,17164629,20391,1829,29,19,3,0,16,8,0,51,15529186,19659,1794,29,25,7,0,14,7,0,39,19128132,19875,1791,29,22,6,0,14,6,0,38,18544456,20405,1837,28,19,5,0,24,11,0,68,21012528,18962,1790,28,29,5,0,10,3,0,22,51239296,18702,1710,28,19,4,0,0,0,0,0,0,20319,1761,27,11,4,0,0,0,0,0,0,19216,1666,26,10,2,0,67,31,0,191,1869115,17960,2081,34,51,10,0,45,13,0,97,25172359,17287,2264,38,68,6
