,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726440000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,225,51,2,7,2
1,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726450000000,1,2,12,2,0,30,343545,9298,1580,48,183,28,11,59,11,0,103,92148,17886,1526,43,96,17,5,28,5,0,49,2595987,17800,1564,30,73,14,2,5,1,0,10,3673379,20371,2688,25,9,5,5,27,5,0,47,11473558,19300,2528,31,30,7,7,36,7,0,64,7131626,17873,2313,30,46,7,9,45,9,0,81,3535152,16881,2191,29,46,17,3,15,3,0,27,4327324,18349,2396,24,17,7,5,25,5,0,45,5341614,18789,2441,28,24,7,2,10,2,0,18,9250486,19167,2527,26,16,6
2,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726460000000,1,2,10,2,0,18,10940774,18872,2494,25,15,4,4,20,4,0,36,13037462,16699,2181,25,27,8,5,26,5,0,46,6160660,18298,2368,26,24,5,7,37,7,0,65,8864176,17571,2267,26,34,13,3,16,3,0,28,3987962,17886,2388,27,22,7,4,20,4,0,36,3160736,17705,2295,27,22,4,4,21,4,0,37,4538480,16968,2217,23,22,7,4,20,4,0,36,9044452,17530,2274,26,21,9,4,21,4,0,37,10321780,18522,2421,26,20,5,2,10,2,0,18,6913592,19862,2617,27,15,5
3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726470000000,1,5,25,5,0,45,4398380,18502,2414,28,30,8,1,5,1,0,9,5495580,17445,2307,25,12,7,0,0,0,0,0,0,13558,1764,17,4,3,2,10,2,0,18,6525496,14966,2008,19,24,9,3,15,3,0,27,3088862,13826,1801,20,16,6,5,25,5,0,45,2548166,15402,1985,25,24,6,4,20,4,0,36,11587894,16958,2199,25,24,7,5,25,5,0,45,16733888,14443,1876,23,23,6,2,10,2,0,18,7026504,15271,2002,20,14,5,6,31,6,0,55,3290789,14706,1889,23,31,9
4,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726480000000,1,1,4,1,0,8,4436067,15494,2037,20,13,4,1,5,1,0,9,8021918,13516,1806,16,17,5,1,5,1,0,9,8607408,14979,1976,20,14,5,2,10,2,0,18,21708368,14360,1889,20,18,7,4,20,4,0,35,11784976,14162,2008,20,31,13,1,7,2,0,14,1765938,13996,1845,19,15,6,2,8,1,0,14,12458538,16204,2142,21,17,6,0,0,0,0,0,0,16366,2134,20,2,0,2,10,2,0,18,8194616,14985,1987,18,21,8,4,21,4,0,37,11626776,14728,1923,22,25,9
5,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726490000000,1,4,21,4,0,37,4669565,14459,1874,24,24,6,2,11,2,0,19,3689356,12645,1665,17,21,8,6,35,7,0,62,3294205,15885,2038,23,31,8,6,29,5,0,50,9520368,15654,2016,25,32,7,1,5,1,0,9,3553052,10635,1462,12,11,3,1,5,1,0,9,8283080,7836,1102,10,14,10,1,5,1,0,9,7046002,14707,1946,19,10,5,1,5,1,0,9,4383516,14306,1897,18,15,5,0,2,0,0,1,1431566,13629,1791,16,5,4,2,8,2,0,17,4419286,13640,1793,20,16,2
6,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726500000000,1,0,2,0,0,1,2153486,11739,1543,14,8,3,1,3,1,0,8,21317646,11328,1507,17,12,3,2,10,2,0,18,29196984,12327,1621,16,16,6,4,21,4,0,37,11378394,12618,1643,18,25,10,2,10,2,0,18,2592184,14054,1839,17,13,7,2,10,2,0,18,5259942,14032,1826,18,13,6,2,10,2,0,18,8039648,13313,1896,17,17,6,2,10,2,0,18,4965734,13176,1736,17,18,7,3,15,3,0,27,2061150,12345,1600,17,19,7,3,16,3,0,27,2551018,11275,1698,17,15,7
7,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726510000000,1,1,4,1,0,9,2458638,12137,1586,17,9,3,2,11,2,0,19,6321838,14787,1964,20,23,9,1,5,1,0,9,2631108,15738,2085,21,14,5,6,31,6,0,55,6227596,13645,1939,22,35,10,0,0,0,0,0,0,14438,1885,17,2,1,1,5,1,0,9,7070492,15650,2081,22,14,6,1,5,1,0,9,4134676,15064,1985,19,14,4,1,6,1,0,10,6350616,15103,1999,20,14,6,1,5,1,0,9,11504816,16313,2172,21,16,6,3,15,3,0,26,8813216,12133,1771,17,19,5
8,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726520000000,1,0,0,0,0,1,0,13741,1816,19,4,2,2,10,2,0,18,6282284,14069,1876,17,23,8,0,0,0,0,0,0,13999,1826,18,4,2,2,10,2,0,18,4503668,15440,2212,22,17,6,3,15,3,0,27,22042934,13361,1753,19,23,8,2,10,2,0,17,20733210,12009,1567,16,16,5,1,5,1,0,9,8810536,15036,2080,19,14,6,0,0,0,0,1,0,14872,1942,19,3,1,1,5,1,0,9,5816162,15845,2111,21,16,4,1,5,1,0,8,4333260,12954,1717,16,15,6
9,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3,Nefilim-d4492a9eb36f87a9b3156b59052ebaf10e264d5d1ce4c015a6b0d205614e58e3.exe,133345726530000000,1,0,1,0,0,1,577031,12516,1654,15,6,2,5,25,5,0,46,4999220,13682,1951,21,32,8,1,5,1,0,9,4048814,14800,1952,19,11,5,3,15,3,0,27,3062494,15327,2002,22,21,6,2,10,2,0,18,15110388,14943,1967,19,18,7,2,10,2,0,18,6997766,12793,1673,21,16,6,3,15,3,0,27,5068874,14810,1935,22,20,7,0,2,1,0,5,1842190,12678,1674,16,10,4,3,15,2,0,23,3264320,14568,1890,21,18,6,2,11,2,0,20,30893435,14838,1964,19,17,7
