,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817830000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,52,3,7,2,0,2,0,0,6,1250,3462,575,14,21,4,0,0,0,0,0,0,17130,2622,53,2,2,0,0,0,0,0,0,16539,2532,50,1,1,0,0,0,0,0,0,15968,2445,49,2,0,0,0,0,0,0,0,15767,2413,47,1,1,0,2,0,0,2,1250,17376,2668,54,8,4,0,0,0,0,0,0,19296,2958,56,1,0,0,9,0,0,9,5625,18408,2851,60,16,4
1,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817840000000,1,0,0,0,0,0,0,19015,2914,57,1,1,0,8,0,0,8,5000,18316,2834,57,18,4,0,0,0,0,0,0,18642,2856,55,1,0,0,1,0,0,1,625,16842,2587,52,5,2,0,0,0,0,0,0,15980,2447,49,3,0,0,0,0,0,0,0,17418,2667,53,1,1,0,5,1,0,8,5096,18986,2868,56,15,5,0,0,0,0,0,0,17984,2755,53,1,0,0,0,0,0,0,0,16824,2577,52,5,1,0,0,0,0,0,0,13541,2072,40,5,2
2,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817850000000,1,0,0,0,0,0,0,11673,1790,38,6,2,0,0,0,0,0,0,12967,1985,39,2,1,0,0,0,0,0,0,13870,2125,41,3,1,0,0,0,0,0,0,17228,2640,52,4,2,0,0,0,0,0,0,18405,2821,55,1,0,0,0,0,0,0,0,16545,2534,50,1,1,0,0,0,0,0,0,16030,2453,49,2,1,0,1,0,0,1,625,15297,2346,47,6,2,0,0,0,0,0,0,18789,2881,56,3,1,0,0,0,0,0,0,18710,2869,55,2,1
3,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817860000000,1,0,0,0,0,0,0,14944,2289,44,4,3,0,0,0,0,0,0,13297,2037,41,4,1,0,0,0,0,0,0,13902,2129,42,2,1,0,0,0,0,0,0,14023,2147,42,2,1,0,0,0,0,0,0,14136,2162,43,1,0,0,3,0,0,3,1875,14038,2161,44,11,3,0,0,0,0,0,0,16530,2531,50,1,1,0,0,0,0,0,0,14287,2189,44,7,1,0,0,0,0,0,0,11442,1752,33,3,1,0,0,0,0,0,0,12536,1918,38,1,2
4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817870000000,1,0,0,0,0,0,0,13522,2071,41,3,1,0,0,0,0,0,0,15505,2373,47,2,1,0,0,0,0,0,0,16285,2494,49,1,1,0,0,0,0,0,0,16134,2472,50,1,0,0,0,0,0,0,0,16592,2539,50,2,2,0,0,0,0,0,0,16129,2470,48,2,0,0,0,0,0,0,0,16086,2461,49,1,2,0,0,0,0,0,0,15846,2427,49,1,0,0,0,0,0,0,0,19011,2915,57,2,1,0,0,0,0,0,0,17116,2622,51,1,0
5,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817880000000,1,0,0,0,0,0,0,13548,2075,41,4,2,0,0,0,0,0,0,15131,2316,46,2,1,0,0,0,0,0,0,15465,2369,46,2,0,0,0,0,0,0,0,15626,2391,47,1,1,0,0,0,0,0,0,16090,2465,49,2,2,0,0,0,0,0,0,16010,2454,48,4,1,0,0,0,0,0,0,15195,2325,47,2,2,0,0,0,0,0,0,17115,2622,51,3,1,0,0,0,0,0,0,16251,2487,50,1,0,0,2,0,0,2,1250,14467,2223,46,8,3
6,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817890000000,1,0,0,0,0,0,0,15119,2314,46,2,1,0,0,0,0,0,0,13202,2021,40,2,1,0,0,0,0,0,0,15422,2362,47,3,2,0,0,0,0,0,0,14810,2268,45,3,1,0,0,0,0,0,0,12896,1978,40,8,1,0,0,0,0,0,0,13743,2106,43,5,3,0,0,0,0,0,0,13461,2060,41,2,1,0,0,0,0,0,0,14733,2255,44,2,0,0,0,0,0,0,0,13990,2143,43,3,1,0,0,0,0,0,0,11481,1758,35,3,1
7,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817900000000,1,0,0,0,0,0,0,12583,1927,39,4,1,0,0,0,0,0,0,13109,2009,39,1,1,0,0,0,0,0,0,11750,1800,36,2,1,0,0,0,0,0,0,10819,1658,33,2,1,0,0,0,0,0,0,10938,1673,33,1,1,0,0,0,0,0,0,8951,1369,27,3,1,0,0,0,0,0,0,9016,1380,28,3,1,0,0,0,0,0,0,10360,1589,32,5,1,0,0,0,0,0,0,9960,1525,30,3,1,0,0,0,0,0,0,9786,1498,30,4,1
8,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817910000000,1,0,0,0,0,0,0,10289,1576,33,3,1,0,0,0,0,0,0,11811,1810,35,3,1,0,0,0,0,0,0,12211,1871,37,1,0,0,0,0,0,0,0,12256,1876,36,1,1,0,0,0,0,0,0,12671,1940,39,2,0,0,0,0,0,0,0,13309,2038,40,1,2,0,0,0,0,0,0,13947,2134,43,1,0,0,4,0,0,4,2500,13979,2155,44,12,3,0,0,0,0,0,0,14831,2269,44,1,0,0,3,1,0,6,886,16196,2435,49,13,3
9,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133343817920000000,1,0,0,0,0,0,0,17263,2646,51,1,1,0,0,0,0,0,0,16913,2593,50,2,1,0,2,1,0,5,301457,18762,2749,54,6,1,0,0,0,0,0,0,17422,2671,52,1,1,0,2,1,0,5,301457,19238,2823,56,9,3,0,0,0,0,0,0,16028,2454,47,1,0,0,2,1,0,5,197,17227,2589,50,9,2,0,0,0,0,0,0,17945,2750,54,1,1,0,2,1,0,5,333,19278,2904,57,7,2,0,0,0,0,0,0,17755,2722,53,2,0
