,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848610000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,254,55,1,2,4,0,0,0,0,0,0,1065,234,5,21,9,0,0,0,0,0,0,681,142,6,21,10,0,0,0,0,0,0,750,155,8,40,7,0,0,0,0,3,0,315,68,4,11,5,0,3,0,0,12,4486,684,140,5,33,10
1,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848620000000,1,0,0,0,0,0,0,15,5,0,2,2,0,0,0,0,0,0,17,4,1,4,2,3,0,0,0,3,9437184,6269,1335,57,159,38,0,0,0,0,0,0,13591,2676,111,311,84,0,0,0,0,0,0,2137,389,14,38,9,0,0,0,0,0,0,11,2,0,3,4,0,0,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,316,50,3,15,9,0,0,0,0,0,0,6,1,1,1,3,0,0,0,0,0,0,602,99,6,19,5
2,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848630000000,1,0,0,0,0,7,0,447,111,7,22,4,0,0,0,0,0,0,17,2,0,3,2,0,0,0,0,0,0,26,2,1,4,2,0,0,0,0,0,0,146,31,0,4,2,0,0,0,0,0,0,54,14,0,2,3,0,0,0,0,0,0,639,158,3,16,6,0,0,0,0,0,0,44,9,0,2,1,0,0,0,0,0,0,51,13,1,3,2,0,0,0,0,0,0,53,12,0,4,1,0,0,0,0,0,0,264,37,3,4,5
3,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848640000000,1,0,0,0,0,0,0,193,41,1,9,6,0,0,0,0,0,0,15,4,2,3,1,0,0,0,0,0,0,16,2,0,1,0,0,0,0,0,0,0,14,3,1,1,1,0,0,0,0,0,0,17,3,2,3,0,0,0,0,0,0,0,13,3,1,1,1,0,0,0,0,0,0,14,5,1,2,3,0,0,0,0,0,0,89,19,2,7,5,0,0,0,0,0,0,61,17,1,7,3,0,0,0,0,0,0,53,13,0,3,0
4,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848650000000,1,0,0,0,0,0,0,30,5,0,4,1,0,0,0,0,0,0,18,1,0,4,1,0,0,0,0,0,0,16,3,2,2,1,0,0,0,0,0,0,18,3,0,3,2,0,0,0,0,0,0,19,4,1,2,3,0,0,0,0,0,0,16,6,1,2,0,0,0,0,0,0,0,17,2,0,2,0,0,0,0,0,0,0,174,35,4,8,3,0,0,0,0,0,0,17,4,0,3,2,0,0,0,0,0,0,14,5,0,4,0
5,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848660000000,1,0,0,0,0,0,0,23,3,0,4,2,0,0,0,0,0,0,12,2,0,1,0,0,0,0,0,0,0,20,4,1,5,1,0,0,0,0,0,0,18,1,0,2,1,0,0,0,0,0,0,17,4,0,1,1,0,0,0,0,0,0,17,3,3,4,1,0,0,0,0,0,0,13,3,0,3,0,0,0,0,0,0,0,74,16,1,8,3,0,0,0,0,0,0,17,5,2,3,1,0,0,0,0,0,0,51,9,0,3,0
6,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848670000000,1,0,0,0,0,0,0,19,2,0,2,1,0,0,0,0,0,0,14,2,1,3,0,0,0,0,0,0,0,10,4,1,2,1,0,0,0,0,0,0,18,3,0,5,0,0,0,0,0,0,0,18,2,1,3,1,0,0,0,0,0,0,18,4,0,2,2,0,0,0,0,0,0,16,1,1,1,1,0,0,0,0,0,0,24,2,0,3,0,0,0,0,0,0,0,16,3,1,3,2,0,0,0,0,0,0,15,6,0,4,0
7,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848680000000,1,0,0,0,0,0,0,87,20,3,10,5,0,0,0,0,0,0,15,4,1,5,1,0,0,0,0,0,0,14,3,0,3,0,0,0,0,0,0,0,14,3,0,2,3,0,0,0,0,0,0,19,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,50,11,1,3,2,0,0,0,0,0,0,34,8,0,1,1
8,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848690000000,1,0,0,0,0,0,0,75,16,1,6,3,0,0,0,0,0,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,svchost.exe,133343848700000000,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,9,3,0,1,0,12,0,0,0,52,360616,4848,1079,30,96,30,0,0,0,0,0,0,1277,275,8,83,18,1,0,0,0,1,3145728,2202,479,22,109,13,3,0,0,0,31,9437184,15898,3453,113,294,49,0,0,0,0,0,0,2180,470,17,87,17,0,0,0,0,0,0,639,145,5,51,8,6,1,0,0,7,139038720,1768,373,21,123,25,0,0,0,0,1,0,988,213,10,62,8
