,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737490000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13949,3353,33,28,9,0,0,0,0,0,0,11262,2728,23,5,1,0,0,0,0,0,0,16055,3889,28,4,0,0,0,0,0,0,0,13045,3160,26,30,2,0,0,0,0,0,0,7040,1688,22,32,3,0,0,0,0,0,0,14862,3599,30,9,0
1,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737500000000,1,0,0,0,0,0,0,15114,3663,28,12,1,0,0,0,0,0,0,15922,3858,29,7,2,0,0,0,0,0,0,15796,3829,32,9,2,0,0,0,0,0,0,15652,3794,28,5,2,0,0,0,0,0,0,15629,3787,28,4,1,0,0,0,0,0,0,15256,3695,27,6,1,0,0,0,0,0,0,15309,3710,29,8,3,0,0,0,0,0,0,15916,3855,29,10,1,0,0,0,0,0,0,16008,3878,27,12,0,0,0,0,0,0,0,14367,3482,26,7,6
2,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737510000000,1,0,0,0,0,0,0,15529,3762,29,5,0,0,0,0,0,0,0,15259,3695,26,8,1,0,0,0,0,0,0,16479,3994,31,8,0,0,0,0,0,0,0,15488,3754,28,13,2,0,0,0,0,0,0,14710,3562,27,4,1,0,0,0,0,0,0,15353,3722,29,7,1,0,0,0,0,0,0,15260,3700,26,6,2,0,0,0,0,0,0,15261,3695,30,10,2,0,0,0,0,0,0,14081,3414,26,10,3,0,0,0,0,0,0,14343,3472,28,7,4
3,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737520000000,1,0,0,0,0,0,0,14345,3472,26,15,1,0,0,0,0,0,0,15765,3823,28,13,1,0,0,0,0,0,0,15397,3731,28,8,1,0,0,0,0,0,0,14904,3607,29,11,0,0,0,0,0,0,0,16357,3963,30,6,1,0,0,0,0,0,0,17045,4130,32,5,1,0,0,0,0,0,0,17359,4208,32,6,1,0,0,0,0,0,0,16920,4101,31,6,2,0,0,0,0,0,0,16167,3918,28,3,2,0,0,0,0,0,0,15839,3838,29,3,1
4,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737530000000,1,0,0,0,0,0,0,16286,3945,30,7,2,0,0,0,0,0,0,16969,4111,30,7,3,0,0,0,0,0,0,15585,3776,31,10,0,0,0,0,0,0,0,15821,3832,29,8,1,0,0,0,0,0,0,15591,3778,29,6,0,0,0,0,0,0,0,15348,3720,28,7,2,0,0,0,0,0,0,15026,3641,29,5,2,0,0,0,0,0,0,14638,3546,28,5,3,0,0,0,0,0,0,13305,3226,26,13,1,0,0,0,0,0,0,14874,3604,27,3,1
5,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737540000000,1,0,0,0,0,0,0,10552,2553,19,10,2,0,0,0,0,0,0,4122,1000,9,3,0,0,0,0,0,0,0,14164,3436,26,13,2,0,0,0,0,0,0,17327,4197,32,2,1,0,0,0,0,0,0,17178,4162,31,2,1,0,0,0,0,0,0,17240,4178,31,2,0,0,0,0,0,0,0,15735,3814,28,4,2,0,0,0,0,0,0,16224,3931,30,8,1,0,0,0,0,0,0,16773,4064,30,2,2,0,0,0,0,0,0,16835,4079,30,4,0
6,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737550000000,1,0,0,0,0,0,0,16432,3981,32,6,1,0,0,0,0,0,0,16949,4108,30,5,3,0,0,0,0,0,0,15823,3834,29,5,4,0,0,0,0,0,0,16962,4112,30,7,1,0,0,0,0,0,0,17787,4310,33,2,2,0,0,0,0,0,0,16573,4016,29,5,0,0,0,0,0,0,0,16268,3941,30,3,1,0,0,0,0,0,0,15886,3850,30,4,1,0,0,0,0,0,0,16051,3889,29,3,1,0,0,0,0,0,0,17285,4188,31,2,1
7,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737560000000,1,0,0,0,0,0,0,17776,4307,33,3,0,0,0,0,0,0,0,16541,4009,28,8,4,0,0,0,0,0,0,15228,3689,29,4,2,0,0,0,0,0,0,16492,3998,31,7,1,0,0,0,0,0,0,17108,4146,31,1,0,0,0,0,0,0,0,16960,4109,32,4,2,0,0,0,0,0,0,15675,3799,29,11,0,0,0,0,0,0,0,16170,3918,30,5,0,0,0,0,0,0,0,16605,4023,31,2,1,0,0,0,0,0,0,17620,4271,32,2,0
8,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737570000000,1,0,0,0,0,0,0,16769,4063,32,3,1,0,0,0,0,0,0,16611,4025,32,3,3,0,0,0,0,0,0,17455,4231,31,3,0,0,0,0,0,0,0,16638,4032,30,4,2,0,0,0,0,0,0,16409,3974,31,7,1,0,0,0,0,0,0,14445,3498,27,16,1,0,0,0,0,0,0,15987,3874,30,2,1,0,0,0,0,0,0,15589,3779,29,2,1,0,0,0,0,0,0,16468,3990,31,3,1,0,0,0,0,0,0,16497,3998,31,1,1
9,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,Wbem,133345737580000000,1,0,0,0,0,0,0,17791,4312,33,3,1,0,0,0,0,0,0,16886,4090,30,3,1,0,0,0,0,0,0,16322,3954,31,4,1,0,0,0,0,0,0,14891,3608,27,6,1,0,0,0,0,0,0,15668,3796,30,3,1,0,0,0,0,0,0,13563,3259,24,7,2,0,0,0,0,0,0,11193,2632,18,2,1,0,0,0,0,0,0,13022,3065,20,4,1,0,0,0,0,0,0,14543,2927,23,25,9,0,0,0,0,0,0,10346,1200,114,2,1
