,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743500000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10327,2472,27,34,7,0,0,0,0,0,0,13990,3384,26,6,3,0,0,0,0,0,0,11461,2770,22,7,2
1,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743510000000,1,0,0,0,0,0,0,10919,2638,22,9,3,0,0,0,0,0,0,12966,3137,23,7,6,0,0,0,0,0,0,11155,2696,20,7,0,0,0,0,0,0,0,11698,2828,23,6,2,0,0,0,0,0,0,13627,3296,26,4,3,0,0,0,0,0,0,13579,3285,25,4,2,0,0,0,0,0,0,12491,3020,24,3,0,0,0,0,0,0,0,12693,3067,23,4,1,0,0,0,0,0,0,15136,3663,28,4,4,0,0,0,0,0,0,14000,3385,26,4,1
2,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743520000000,1,0,0,0,0,0,0,14934,3614,27,5,2,0,0,0,0,0,0,13323,3219,24,3,2,0,0,0,0,0,0,12322,2980,23,5,3,0,0,0,0,0,0,9975,2408,18,8,3,0,0,0,0,0,0,9646,2330,20,3,1,0,0,0,0,0,0,13012,3147,25,5,1,0,0,0,0,0,0,11477,2774,20,4,2,0,0,0,0,0,0,11323,2737,21,4,3,0,0,0,0,0,0,11366,2749,23,4,2,0,0,0,0,0,0,12429,3004,22,3,1
3,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743530000000,1,0,0,0,0,0,0,12092,2924,24,5,2,0,0,0,0,0,0,11497,2780,22,6,0,0,0,0,0,0,0,13335,3225,24,6,2,0,0,0,0,0,0,15467,3743,28,5,0,0,0,0,0,0,0,15703,3800,29,2,2,0,0,0,0,0,0,14799,3580,27,5,2,0,0,0,0,0,0,16105,3896,29,3,1,0,0,0,0,0,0,16215,3921,30,7,1,0,0,0,0,0,0,17511,4237,31,5,0,0,0,0,0,0,0,17537,4245,33,4,2
4,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743540000000,1,0,0,0,0,0,0,17122,4145,31,5,2,0,0,0,0,0,0,17340,4197,30,3,0,0,0,0,0,0,0,16968,4105,32,4,0,0,0,0,0,0,0,17153,4150,32,2,2,0,0,0,0,0,0,17116,4141,31,4,1,0,0,0,0,0,0,15471,3742,29,8,2,0,0,0,0,0,0,15944,3859,30,6,1,0,0,0,0,0,0,15967,3864,30,5,1,0,0,0,0,0,0,16028,3878,30,5,1,0,0,0,0,0,0,16183,3915,29,1,0
5,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743550000000,1,0,0,0,0,0,0,15976,3866,31,4,1,0,0,0,0,0,0,14847,3594,25,4,4,0,0,0,0,0,0,12709,3074,27,20,3,0,0,0,0,0,0,16428,3975,30,13,2,0,0,0,0,0,0,16556,4008,30,6,1,0,0,0,0,0,0,15875,3840,29,3,1,0,0,0,0,0,0,8915,2153,18,13,4,0,0,0,0,2,0,11837,2282,17,27,12,0,0,0,0,0,0,7375,910,77,44,13,0,0,0,0,0,0,8821,966,112,12,3
6,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743560000000,1,0,0,0,0,0,0,8154,946,97,31,7,0,12,4,1,36,986564,18386,4230,149,184,43,0,15,4,0,34,7369476,19932,2487,146,91,28,0,22,6,0,52,6126834,24851,3212,195,101,25,0,28,7,0,63,1177232,22757,3840,256,106,16,0,25,7,0,60,3227360,22933,3321,216,105,21,0,23,6,0,53,6958144,24319,3452,224,96,28,0,18,5,0,43,12419504,29604,2980,178,85,11,0,20,6,0,48,7482976,27162,3185,198,90,15,0,33,8,0,74,5300016,25043,3966,260,117,22
7,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743570000000,1,0,24,7,0,58,4707824,27964,3773,241,102,13,0,26,8,0,67,5499088,27954,4168,271,113,13,0,19,5,0,45,7104560,30594,3093,184,88,10,0,24,7,0,59,7793488,27634,3740,239,104,10,0,18,5,0,43,5513456,24772,3015,188,90,17,0,26,7,0,62,2218432,23086,3834,255,100,25,0,20,6,0,49,13320160,29910,3305,200,90,14,0,24,6,0,57,7056608,30974,3635,223,93,9,0,16,5,0,38,10020272,25115,2493,147,78,15,0,16,4,0,36,15490304,24714,2588,158,75,15
8,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743580000000,1,0,12,3,0,27,2763888,26908,2193,124,61,15,0,14,4,0,33,18382402,26525,2801,163,59,13,0,17,5,0,43,5254336,25180,2881,179,70,12,0,22,6,0,52,5554544,23812,3428,222,86,12,0,30,8,0,70,2785360,25419,4085,269,115,13,0,19,6,0,49,10351376,27645,2774,166,89,18,0,13,4,0,33,14154080,29338,2644,152,80,10,0,6,2,0,16,6857312,28840,1798,88,44,10,0,8,2,0,18,10799536,27914,2320,130,53,9,0,26,7,0,61,14816080,24315,3166,198,109,17
9,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743590000000,1,0,11,3,0,26,5295632,21244,2440,151,65,17,0,27,7,0,62,6681792,21532,3324,219,94,14,0,23,6,0,52,6631538,23632,2956,185,100,13,0,19,5,0,45,5955490,27012,3075,186,75,10,0,15,4,0,35,11309696,29631,2840,155,69,10,0,20,6,0,50,12261376,26522,3134,196,89,13,0,13,4,0,33,14268928,31042,2667,149,72,11,0,6,1,0,11,17056528,27038,1799,91,48,10,0,16,4,0,37,8248338,22227,2711,166,66,14,0,17,5,0,41,3758560,18163,2355,154,76,15
10,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743600000000,1,0,18,5,0,43,6904976,17715,2289,145,73,15,0,11,3,0,26,1154976,20974,1862,107,60,16,0,18,5,0,43,10726192,19791,2709,173,65,13,0,11,3,0,26,6615106,20201,1950,111,60,14,0,12,3,0,27,504528,22252,2048,116,61,8,0,13,4,0,33,12385632,21879,2814,178,71,10,0,25,6,0,55,12461252,20120,3481,163,90,18,0,3,1,0,8,3819568,23219,1075,45,29,8,0,5,2,0,13,15216720,20199,1684,94,45,11,0,21,5,0,48,1476656,15409,2478,171,72,14
11,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743610000000,1,0,17,4,0,39,1446464,17387,2705,179,66,12,0,12,4,0,30,7619456,19594,1994,113,57,16,0,10,3,0,25,583408,19419,1820,99,51,15,0,17,4,0,37,14885634,20697,2435,151,72,17,0,15,4,0,35,4508800,21980,2695,151,74,12,0,21,5,0,46,2957904,20143,3184,196,78,14,0,22,6,0,51,1758304,16609,2583,162,59,20,0,11,3,0,27,2493648,18302,2655,153,53,15,0,25,6,0,55,2865744,18239,2978,198,86,13,0,25,6,0,55,1227904,18659,3239,198,96,16
12,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743620000000,1,0,22,6,0,52,981824,18097,3000,202,83,14,0,24,6,0,54,1778674,18110,2919,194,80,19,0,22,6,0,52,972752,18470,3073,207,98,19,0,20,5,0,44,839200,15506,2627,178,70,15,0,18,6,0,48,4497760,18485,2637,171,66,16,0,16,4,0,37,2689200,20565,2887,187,61,10,0,13,4,0,33,11266432,20497,1749,97,59,12,0,2,1,0,6,6582656,23917,1543,77,36,8,0,11,3,0,27,10340512,22369,2350,142,57,13,0,15,4,0,35,12985568,23010,2070,120,62,13
13,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743630000000,1,0,11,3,0,26,5617584,21555,1613,85,54,13,0,4,1,0,9,13984464,23220,1542,52,37,9,0,14,3,0,30,8814544,20935,3020,167,64,14,0,23,6,0,52,895826,17556,2987,185,99,18,0,24,6,0,54,1009056,19650,3320,220,84,13,0,14,4,0,34,3012608,18600,1627,94,61,15,0,10,3,0,25,17806864,21204,2081,124,58,12,0,3,1,0,8,4573744,20269,917,36,36,8,0,0,0,0,0,0,19192,1031,45,33,8,0,7,2,0,17,6680992,14739,1302,75,39,10
14,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743640000000,1,0,6,2,0,16,318048,12110,1115,64,38,10,0,7,2,0,17,1014624,15744,1146,61,38,12,0,15,4,0,35,24394528,12656,2127,141,66,13,0,12,3,0,27,634192,10898,1837,124,53,12,0,12,4,0,32,2956912,13934,2068,136,58,14,0,8,2,0,18,1026144,15998,1196,51,48,15,0,17,4,0,37,7647312,13269,2151,146,73,15,0,9,3,0,24,1818672,14156,1795,115,54,10,0,16,4,0,36,2012160,13119,2203,153,64,12,0,16,4,0,36,2751792,12476,1739,112,58,12
15,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743650000000,1,0,8,2,0,18,2421824,11381,1384,87,46,9,0,17,4,0,39,1511296,14450,2485,165,69,14,0,10,3,0,23,4831024,17399,1676,91,50,15,0,3,1,0,8,2082672,21230,876,30,29,10,0,15,4,0,35,16056224,16931,2253,143,61,15,0,10,3,0,25,1968256,10999,1846,123,43,14,0,9,3,0,24,678464,9889,1386,93,47,11,0,14,4,0,34,2960704,13405,2038,135,62,13,0,11,3,0,26,4542800,13901,1787,114,57,18,0,13,3,0,28,1922272,11754,1685,109,50,13
16,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743660000000,1,0,7,3,0,22,7442128,13970,1639,103,44,11,0,13,3,0,28,409136,15244,1388,79,47,12,0,5,1,0,10,357344,15571,1542,75,32,11,0,11,3,0,26,215936,17056,1721,101,52,12,0,20,6,0,50,15237664,17890,2824,186,85,15,0,14,4,0,34,9883584,21152,2253,136,59,16,0,0,0,0,0,0,19517,1046,48,34,10,0,11,3,0,26,16153904,18967,1714,97,43,12,0,13,4,0,33,7968480,19270,2500,160,55,8,0,19,5,0,44,3211600,20834,2665,167,76,6
17,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743670000000,1,0,21,5,0,46,5035170,20562,2635,165,76,8,0,19,5,0,44,5997280,20276,2611,168,67,7,0,17,5,0,41,4914032,18089,2768,171,69,11,0,14,4,0,35,4702576,19453,2318,146,71,8,0,17,4,0,37,4194626,19025,2755,177,59,6,0,22,6,0,52,3726336,19826,2879,159,84,17,0,10,3,0,25,8068976,20259,1797,99,50,13,0,3,1,0,8,9175600,19793,1329,68,30,10,0,11,3,0,26,7989968,20691,1690,93,44,8,0,8,2,0,18,498624,19511,1766,102,37,7
18,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743680000000,1,0,13,3,0,28,913904,17665,1692,97,50,8,0,15,4,0,35,18380256,16026,2608,173,56,7,0,25,6,0,55,1021970,15429,2668,163,89,10,0,20,4,0,41,841408,16613,2844,188,52,6,0,17,6,0,46,2591008,18437,2549,164,79,14,0,22,6,0,52,2318752,17835,2909,193,88,10,0,10,3,0,25,1680272,17069,2158,135,53,10,0,16,4,0,36,10913280,17236,1655,96,60,10,0,9,2,0,19,1114656,17688,1876,113,48,12,0,22,5,0,47,12441856,18532,2396,137,67,7
19,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743690000000,1,0,17,5,0,42,3767280,18256,2695,176,69,10,0,18,5,0,43,5130064,19946,2816,182,63,9,0,10,3,0,25,4654576,22505,1881,104,51,9,0,21,5,0,46,8333408,21141,2810,179,83,7,0,15,4,0,35,8265010,21529,2640,164,56,8,0,18,5,0,43,3255856,23451,2351,138,63,6,0,18,5,0,43,7633296,19882,3064,203,63,5,0,19,5,0,44,8417456,20615,2328,142,63,9,0,10,3,0,25,5029232,19205,2152,132,65,11,0,13,4,0,33,11333856,19097,2284,140,50,14
20,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Wbem,133345743700000000,1,0,13,3,0,28,1488386,21552,1937,99,56,14,0,9,3,0,24,605776,20645,1806,104,47,12,0,14,4,0,33,16589584,19378,2267,140,61,11,0,22,5,0,47,553714,16769,2853,189,71,10,0,20,5,0,46,4264032,21120,2834,181,74,8,0,18,5,0,43,2805218,21729,2876,181,66,5,0,31,6,3,66,2808156,18644,3310,207,94,10,0,13,2,0,27,14962,7441,1300,87,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
