,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345786960000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21,179910,3697,839,29,148,17,7,0,0,0,30,180706,5252,1260,36,138,17
1,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345786970000000,1,2,0,0,0,13,1800,5542,1293,35,171,17,1,0,0,0,11,764,5382,1142,57,159,24,0,0,0,0,9,0,5507,1210,59,161,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345786980000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,113,7,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345786990000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,119,6,41,5,2,0,0,0,18,2304,5953,1373,40,151,25,0,0,0,0,8,0,12256,2729,58,380,126,0,0,0,0,3,0,12447,2779,46,343,124,0,0,0,0,12,0,11878,2695,43,280,108
4,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787000000000,1,0,0,0,0,25,0,14647,3325,61,381,128,0,0,0,0,23,0,12371,2789,48,245,114,0,0,0,0,42,0,11726,2709,38,208,91,0,0,0,0,0,0,5950,1331,21,152,71,0,0,0,0,5,0,9635,2156,33,234,107,0,0,0,0,10,0,9981,2236,33,261,127,0,0,0,0,13,0,8566,1946,33,176,83,0,0,0,0,22,0,9113,2080,35,172,87,0,0,0,0,13,0,2300,530,10,30,11,0,0,0,0,7,0,796,190,4,8,3
5,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787010000000,1,0,0,0,0,5,0,653,151,2,7,2,0,0,0,0,20,0,2689,635,9,23,8,0,0,0,0,25,0,4129,1053,13,27,10,0,0,0,0,5,0,1472,308,5,11,4,0,0,0,0,10,0,1589,368,11,27,10,4,0,0,0,30,73576,4221,952,38,115,18,17,0,0,0,36,611694,2822,650,24,58,14,0,0,0,0,22,0,3088,733,14,24,5,0,0,0,0,10,0,1310,305,4,12,4,0,0,0,0,0,0,0,0,0,0,0
6,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787020000000,1,0,0,0,0,5,0,727,167,2,9,4,0,0,0,0,5,0,859,196,3,13,4,0,0,0,0,5,0,1650,389,9,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787030000000,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8459,1903,26,224,95,0,0,0,0,0,0,8680,1932,27,232,115,0,0,0,0,0,0,9039,2040,34,216,108,0,0,0,0,0,0,9544,2139,31,243,113,0,0,0,0,0,0,8232,1835,23,233,100,0,0,0,0,0,0,6902,1579,27,160,82,0,0,0,0,0,0,7570,1689,24,197,88
8,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787040000000,1,0,0,0,0,0,0,9530,2151,32,237,104,0,0,0,0,0,0,11161,2515,36,288,125,0,0,0,0,0,0,9569,2147,30,250,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787060000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,985,221,6,24,8,0,0,0,0,19,0,2895,634,24,114,37,0,0,0,0,0,0,11410,2569,38,305,109,0,0,0,0,0,0,10557,2376,34,289,104
10,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787070000000,1,0,0,0,0,0,0,10068,2294,35,258,92,0,0,0,0,0,0,11185,2539,36,300,81,0,0,0,0,0,0,14139,3250,47,363,107,0,0,0,0,0,0,13506,3045,41,375,121,0,0,0,0,0,0,13322,3017,45,338,115,0,0,0,0,0,0,1998,435,4,66,24,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787080000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787100000000,1,0,0,0,0,0,0,8765,2010,31,214,67,0,0,0,0,0,0,12160,2726,36,347,90,0,0,0,0,0,0,13998,3202,46,362,109,0,0,0,0,0,0,12638,2852,40,338,116,0,0,0,0,0,0,11364,2586,37,289,115,0,0,0,0,0,0,12436,2827,41,320,124,0,0,0,0,0,0,12304,2788,42,312,102,0,0,0,0,0,0,2444,533,5,80,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787130000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8042,1847,30,195,57,0,0,0,0,0,0,13811,3102,41,387,108,0,0,0,0,0,0,10903,2475,33,297,98,0,0,0,0,0,0,13929,3181,47,360,106,0,0,0,0,0,0,11426,2594,36,305,97,0,0,0,0,0,0,12664,2895,44,318,99,0,0,0,0,0,0,11502,2604,40,295,95,0,0,0,0,0,0,5437,1253,17,140,46
14,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787160000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4642,1046,13,135,57,0,0,0,0,0,0,8480,1880,25,233,90,0,0,0,0,0,0,9979,2267,33,235,88,0,0,0,0,0,0,11454,2581,35,303,118,0,0,0,0,0,0,8549,1963,31,209,85,0,0,0,0,0,0,10341,2338,34,277,105
15,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787170000000,1,0,0,0,0,0,0,10697,2434,36,279,82,0,0,0,0,0,0,12377,2796,39,342,107,0,0,0,0,0,0,6481,1447,20,174,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787190000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,1010,15,109,40,0,0,0,0,0,0,13317,3032,44,350,91,0,0,0,0,0,0,11106,2497,38,285,88
17,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787200000000,1,0,0,0,0,0,0,11523,2609,37,312,103,0,0,0,0,0,0,12346,2778,37,355,90,0,0,0,0,0,0,10508,2396,35,274,79,0,0,0,0,0,0,12296,2820,43,316,114,0,0,0,0,0,0,8881,1978,25,244,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787220000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3815,892,14,92,28
19,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787230000000,1,0,0,0,0,0,0,14255,3234,47,374,106,0,0,0,0,0,0,13178,2948,41,358,121,0,0,0,0,0,0,13034,2989,46,338,123,0,0,0,0,0,0,11877,2720,40,305,83,0,0,0,0,0,0,12280,2771,39,338,99,0,0,0,0,0,0,9400,2130,31,245,106,0,0,0,0,0,0,6319,1413,20,169,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787260000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5716,1303,18,156,41,0,0,0,0,0,0,11968,2701,39,316,109,0,0,0,0,0,0,12580,2863,44,317,84,0,0,0,0,0,0,13349,3005,42,367,116,0,0,0,0,0,0,11212,2545,37,302,73,0,0,0,0,0,0,13236,3034,45,334,111,0,0,0,0,0,0,11824,2671,37,314,118,0,0,0,0,0,0,231,50,0,8,2,0,0,0,0,0,0,4,0,0,1,0
21,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787270000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,62,3247736,5585,1193,47,142,28,0,1,0,0,9,990,7719,1704,55,151,40
22,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787280000000,1,0,0,0,0,0,0,12195,2584,33,97,26,0,0,0,0,0,0,11769,2436,21,57,12,0,0,0,0,0,0,7541,1582,18,45,9,0,0,0,0,0,0,7480,1565,19,66,12,0,0,0,0,0,0,4107,923,15,112,17,0,0,0,0,0,0,7630,1597,19,72,13,0,0,0,0,0,0,8798,1837,17,53,9,0,0,0,0,0,0,12503,2709,30,109,44,0,0,0,0,0,0,11329,2355,21,64,15,0,0,0,0,0,0,12416,2627,24,92,25
23,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787290000000,1,0,0,0,0,0,0,10430,2201,22,60,11,0,0,0,0,0,0,9578,2009,21,61,16,0,0,0,0,0,0,13886,3105,29,121,54,0,0,0,0,0,0,20073,4138,49,275,116,0,0,0,0,0,0,21330,4419,60,316,135,0,0,0,0,0,0,23362,4687,70,365,129,0,0,0,0,0,0,23596,4819,70,378,112,0,0,0,0,0,0,21862,4371,68,328,111,0,0,0,0,0,0,22635,4483,65,330,119,0,0,0,0,0,0,22988,4601,65,351,127
24,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787300000000,1,0,0,0,0,0,0,20751,4339,56,331,158,0,0,0,0,0,0,21156,3707,60,127,41,0,0,0,0,0,0,18571,3178,52,56,18,0,0,0,0,0,0,41127,10285,102,92,9,0,0,0,0,0,0,41748,10679,98,80,7,0,0,0,0,0,0,43494,11107,102,89,9,0,0,0,0,0,0,35127,8947,86,136,43,0,0,0,0,0,0,48823,11086,124,102,24,0,0,0,0,0,0,48721,11046,132,106,25,0,0,0,0,0,0,41112,9314,109,98,25
25,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,133345787310000000,1,0,0,0,0,0,0,42500,10740,101,97,11,0,0,0,0,0,0,42396,10952,100,101,9,0,0,0,0,0,0,41033,10271,97,98,17,0,0,0,0,0,0,46259,11207,115,97,18,1,0,1,0,9,1938,50220,11295,137,106,25,0,2,0,0,42,4570,15649,3677,56,159,38,0,0,0,0,0,0,1194,258,8,81,5,0,0,0,0,0,0,4269,1072,21,129,12,0,0,0,0,0,0,4136,1050,23,160,14,0,0,0,0,0,0,3809,907,20,157,17
