,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790150000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2087,471,18,78,16,7,0,0,0,41,2573,6266,1427,46,188,31,0,0,0,0,16,0,4286,1009,36,179,30,0,0,0,0,14,0,5389,1273,35,155,31
1,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790160000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1003,218,9,23,8,0,0,0,0,14,0,999,219,7,27,9,0,0,0,0,14,0,1003,219,10,28,13,0,0,0,0,14,0,1000,219,7,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1005,223,6,27,13,0,0,0,0,14,0,1002,220,9,28,13,0,0,0,0,14,0,1006,220,10,28,10,0,0,0,0,14,0,1001,222,9,27,12
2,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790170000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,996,219,8,27,10,0,0,0,0,14,0,1974,403,12,32,13,0,0,0,0,14,0,1000,221,10,26,10,0,0,0,0,14,0,999,221,7,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1000,217,8,27,9,0,0,0,0,14,0,1005,221,10,28,12,0,0,0,0,14,0,997,221,9,25,9,0,0,0,0,14,0,1001,221,9,32,9
3,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790180000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1003,221,8,37,9,0,0,0,0,14,0,993,220,9,27,8,0,0,0,0,14,0,1911,391,11,31,12,0,0,0,0,14,0,993,217,8,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,998,218,8,30,11,0,0,0,0,14,0,997,218,9,30,11,0,0,0,0,14,0,1002,221,8,29,11,0,0,0,0,14,0,995,216,8,25,9
4,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790190000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,996,217,8,27,14,0,0,0,0,14,0,992,219,9,30,10,0,0,0,0,14,0,998,216,8,28,7,0,0,0,0,14,0,996,218,9,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,997,217,7,25,9,0,0,0,0,14,0,996,219,8,29,10,0,0,0,0,14,0,1878,387,11,36,12,0,0,0,0,14,0,993,216,8,30,8
5,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790200000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,995,219,10,28,8,0,0,0,0,14,0,995,218,6,27,9,0,0,0,0,14,0,1000,218,9,30,8,0,0,0,0,14,0,998,217,7,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,997,218,6,25,8,0,0,0,0,14,0,1350,337,8,29,9,0,0,0,0,14,0,1000,220,8,28,7,0,0,0,0,7,0,519,114,4,11,4
6,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790210000000,1,0,0,0,0,7,0,476,103,6,16,5,0,0,0,0,14,0,992,216,10,28,10,0,0,0,0,14,0,1001,221,7,29,12,0,0,0,0,14,0,994,218,7,27,6,0,0,0,0,7,0,486,106,3,11,5,0,0,0,0,7,0,516,112,6,17,4,0,0,0,0,14,0,996,220,7,26,11,0,0,0,0,14,0,997,220,8,26,11,0,0,0,0,14,0,1001,219,8,29,10,0,0,0,0,7,0,551,122,4,11,5
7,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790220000000,1,0,0,0,0,7,0,442,97,6,18,5,0,0,0,0,14,0,994,219,8,27,9,0,0,0,0,14,0,1000,218,9,29,11,0,0,0,0,14,0,997,220,9,25,11,0,0,0,0,7,0,531,116,4,12,4,0,0,0,0,7,0,467,104,3,15,6,0,0,0,0,14,0,996,218,6,28,8,0,0,0,0,14,0,1938,538,9,29,11,0,0,0,0,14,0,995,218,8,25,7,0,0,0,0,7,0,578,128,4,11,5
8,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790230000000,1,0,0,0,0,7,0,416,92,4,17,3,0,0,0,0,14,0,996,220,9,28,9,0,0,0,0,14,0,999,218,8,24,8,0,0,0,0,14,0,999,217,9,31,10,0,0,0,0,5,0,384,83,4,10,3,0,0,0,0,9,0,612,135,4,18,5,0,0,0,0,14,0,999,217,7,31,11,0,0,0,0,14,0,996,218,9,23,10,0,0,0,0,14,0,994,218,8,28,9,0,0,0,0,7,0,526,115,4,11,5
9,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,PwndLocker-4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca.exe,133345790240000000,1,0,0,0,0,7,0,466,102,5,18,4,0,0,0,0,14,0,1976,407,10,32,12,0,0,0,0,14,0,990,220,7,26,10,0,0,0,0,14,0,1001,217,6,25,10,0,0,0,0,7,0,525,115,4,11,3,0,0,0,0,7,0,472,102,6,19,5,0,0,0,0,14,0,997,219,9,27,7,0,0,0,0,14,0,995,218,8,32,10,0,0,0,0,14,0,996,219,8,25,8,0,0,0,0,7,0,535,119,4,11,4
