,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799410000000,1,0,0,0,0,17,0,6513,1332,35,118,22,0,0,0,0,0,0,9563,2137,39,194,20,0,0,0,0,0,0,8284,1716,34,192,20,0,0,0,0,0,0,6629,1555,40,227,20,0,0,0,0,0,0,7810,1607,38,205,19,0,0,0,0,0,0,9118,1882,36,195,26,0,0,0,0,0,0,10338,2314,40,142,14,3,0,0,0,7,265142,10006,2111,44,203,25,5,5,1,0,17,1735751,35285,4288,48,34,9,17,12,10,0,71,1144302,25070,3580,63,129,25
1,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799420000000,1,36,21,12,0,122,169410,24207,4024,78,178,26,8,19,7,0,52,2613743,33932,4352,50,58,9,15,21,9,0,71,2625130,33415,4185,57,72,10,11,18,4,0,45,7259398,34855,4383,52,55,12,13,14,4,0,47,1132195,34480,4319,54,55,8,10,16,9,0,61,923073,34913,4282,56,56,8,3,2,2,0,13,3836745,35854,4271,42,28,7,5,13,4,0,33,5433075,31140,3828,43,41,14,2,0,0,0,3,4184100,31346,3712,35,18,8,4,11,4,0,30,5330452,34582,4284,44,48,13
2,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799430000000,1,0,0,0,0,0,0,32415,3722,39,6,4,0,3,0,0,2,2097152,25787,3016,27,16,7,4,14,4,0,33,7880483,33611,4322,46,54,18,7,24,6,0,50,4046539,36068,4454,54,62,13,0,0,0,0,1,0,34968,4059,39,11,3,1,4,1,0,9,3940872,31779,3835,37,37,11,1,4,1,0,9,3940872,30885,3715,37,31,11,0,0,0,0,0,0,32026,3677,37,5,3,4,12,3,0,29,6403322,33082,4156,44,53,15,24,3,0,0,40,1744603,34051,4574,57,65,6
3,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799440000000,1,35,11,6,0,88,5630468,29220,4870,70,174,24,5,12,3,0,29,5736958,32818,3973,42,29,9,2,5,1,0,10,11904795,36522,4342,44,54,35,1,0,0,0,2,10768898,34824,4336,37,16,3,0,0,0,0,0,0,36105,4147,42,5,2,0,0,0,0,0,0,36122,4149,39,4,0,0,2,0,0,1,8192,37436,4289,42,9,5,1,2,1,0,8,8533096,33551,4195,37,32,13,3,9,2,0,19,1904679,33958,4022,42,23,9,3,9,2,0,19,24954193,35878,4369,44,100,60
4,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799450000000,1,1,0,0,0,2,24079561,38370,5171,40,41,13,0,0,0,0,0,0,37578,4316,42,3,2,0,0,0,0,0,0,34760,3991,38,5,1,0,0,0,0,0,0,34365,3947,38,2,1,0,0,0,0,0,0,34270,3936,37,4,1,0,0,0,0,0,0,32657,3750,36,4,1,0,0,0,0,0,0,28941,3321,36,6,3,0,0,0,0,0,0,33573,3855,38,6,2,0,0,0,0,0,0,32525,3740,35,8,3,0,2,0,0,1,8192,33262,3828,36,13,4
5,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799460000000,1,0,1,0,0,1,10768384,30934,4028,33,52,22,1,1,1,0,6,37702956,31135,4065,34,113,72,1,0,0,0,2,26933524,32731,4609,33,42,11,0,0,0,0,0,0,27537,3157,30,4,3,0,0,0,0,0,0,23729,2720,25,2,1,0,0,0,0,0,0,26906,3086,29,5,3,0,0,0,0,0,0,31109,3569,35,3,2,0,0,0,0,0,0,35418,4068,40,4,2,0,0,0,0,0,0,35278,4051,40,5,1,0,0,0,0,0,0,35563,4084,40,4,1
6,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799470000000,1,0,0,0,0,0,0,34534,3966,37,3,2,0,0,0,0,0,0,33865,3891,38,5,0,0,0,0,0,0,0,33032,3794,39,6,3,0,0,0,0,0,0,32311,3710,36,3,1,0,0,0,0,0,0,34191,3926,38,4,2,0,0,0,0,0,0,34083,3914,39,5,1,0,0,0,0,0,0,36313,4171,39,3,2,0,0,0,0,0,0,36967,4245,41,5,4,0,0,0,0,0,0,37345,4287,40,3,0,0,0,0,0,0,0,29389,3370,32,3,2
7,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799480000000,1,0,0,0,0,0,0,29219,3348,31,3,1,0,0,0,0,0,0,29208,3348,31,3,2,0,0,0,0,0,0,31413,3603,35,4,2,0,0,0,0,0,0,35442,4069,40,4,2,0,0,0,0,0,0,36885,4236,40,4,2,0,0,0,0,0,0,35970,4131,40,2,0,0,0,0,0,0,0,36501,4191,40,4,2,0,0,0,0,0,0,32170,3692,36,4,1,0,0,0,0,0,0,26594,3048,29,2,1,0,2,0,0,1,8192,27876,3239,30,17,7
8,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799490000000,1,0,0,0,0,0,0,25339,3390,26,27,8,0,1,0,0,1,24076288,29339,3741,32,93,40,1,2,1,0,6,31909854,39505,5501,41,79,34,1,0,0,0,2,7827143,37915,4536,44,11,3,0,0,0,0,0,0,36075,4144,41,4,1,0,0,0,0,0,0,36659,4209,41,2,1,0,0,0,0,0,0,36870,4235,42,4,1,0,0,0,0,0,0,37219,4274,40,3,1,0,0,0,0,0,0,37616,4321,42,4,2,0,0,0,0,0,0,34679,3981,37,4,1
9,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799500000000,1,0,0,0,0,0,0,32995,3788,37,4,2,0,0,0,0,0,0,34210,3931,38,6,2,0,0,0,0,0,0,31606,3628,35,6,2,0,0,0,0,0,0,30840,3545,36,10,4,0,0,0,0,0,0,27353,3138,31,7,2,0,3,0,0,2,7835648,27930,3478,30,43,18,2,3,1,0,9,21089406,34043,4520,35,78,31,0,0,0,0,0,0,24264,3505,26,28,8,0,1,0,0,1,26931200,31506,3860,34,100,46,0,0,0,0,0,0,26728,3752,28,33,9
10,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799510000000,1,1,1,1,0,6,54769983,32569,4180,35,116,73,1,0,0,0,2,27835927,37316,5161,40,43,13,0,0,0,0,0,0,35556,4084,39,4,3,0,0,0,0,0,0,34412,3956,38,7,1,0,0,0,0,0,0,33409,3838,37,5,3,0,0,0,0,0,0,32467,3726,36,6,1,0,0,0,0,0,0,32635,3748,35,6,3,0,2,0,0,2,8192,27591,3373,30,23,8,1,2,1,0,6,20464263,28606,3622,30,59,30,1,0,0,0,2,7213727,28232,3464,30,12,4
11,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799520000000,1,0,0,0,0,0,0,27539,3160,30,3,1,0,0,0,0,0,0,27412,3145,31,3,2,0,0,0,0,0,0,27267,3129,30,3,1,0,0,0,0,0,0,27191,3121,30,4,2,0,0,0,0,0,0,27149,3115,30,3,1,0,0,0,0,0,0,27541,3160,32,4,2,0,0,0,0,0,0,30755,3530,35,6,2,0,0,0,0,0,0,28775,3302,33,3,1,0,0,0,0,0,0,29681,3406,34,4,1,0,0,0,0,0,0,34189,3925,39,5,3
12,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799530000000,1,0,0,0,0,0,0,33897,3894,38,5,2,0,0,0,0,0,0,33428,3838,37,5,1,0,0,0,0,0,0,29871,3427,33,3,2,0,3,0,0,2,7221248,28177,3495,29,42,17,1,1,1,0,7,8320168,33201,4124,39,23,12,0,0,0,0,0,0,29565,3392,32,4,2,2,4,1,0,10,5319960,27351,3308,34,31,14,0,0,0,0,0,0,25264,2895,29,1,1,0,0,0,0,0,0,23891,2738,26,3,1,0,2,0,0,1,8192,23529,2682,26,5,3
13,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799540000000,1,8,19,5,0,47,3512477,25977,3310,40,69,26,2,0,0,0,2,17360308,26416,3323,28,29,11,0,0,0,0,0,0,27087,3108,31,2,1,0,0,0,0,0,0,27194,3121,32,4,2,0,0,0,0,0,0,33070,3797,37,3,1,0,0,0,0,0,0,29218,3350,34,4,2,0,0,0,0,0,0,30141,3460,32,4,3,0,0,0,0,0,0,34808,3997,38,5,2,0,0,0,0,0,0,36817,4229,42,3,0,0,0,0,0,0,0,36546,4196,41,4,2
14,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799550000000,1,0,0,0,0,0,0,37367,4292,41,4,1,0,0,0,0,0,0,37300,4283,41,4,2,0,0,0,0,0,0,37421,4296,40,4,1,0,0,0,0,0,0,37492,4306,42,4,1,0,0,0,0,0,0,36271,4165,42,4,2,0,2,0,0,2,8192,36462,4482,39,37,16,8,18,5,0,45,17633702,34406,4425,47,61,14,5,10,2,0,23,4808040,35195,4259,42,53,17,0,0,0,0,0,0,29591,4029,31,31,10,0,1,0,0,1,27836416,29810,3787,34,97,46
15,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799560000000,1,2,9,3,0,22,31785016,37606,5443,42,74,23,8,8,2,0,26,17189664,34951,4444,43,63,28,0,0,0,0,0,0,36367,4176,41,5,3,0,0,0,0,0,0,36825,4230,42,4,1,2,4,1,0,10,4500276,36890,4406,44,25,7,2,4,1,0,10,17182016,34362,4326,39,51,26,0,0,0,0,0,0,30027,3441,35,3,0,0,0,0,0,0,0,32371,3714,34,5,3,0,0,0,0,0,0,33755,3878,38,5,4,0,0,0,0,0,0,33602,3858,39,2,0
16,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799570000000,1,0,0,0,0,0,0,28774,3303,33,5,3,2,8,2,0,18,12792732,34440,4467,41,61,22,2,0,0,0,2,34180720,36848,4885,38,85,45,0,0,0,0,0,0,37165,4270,42,4,2,0,0,0,0,0,0,37275,4279,41,3,0,0,0,0,0,0,0,36996,4249,43,4,2,0,0,0,0,0,0,30718,3522,34,4,1,0,0,0,0,0,0,29255,3357,33,3,2,0,0,0,0,0,0,34240,3930,38,4,3,0,3,0,0,2,8552448,33255,4205,35,51,22
17,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c.exe,133345799580000000,1,4,5,2,0,18,12287148,35161,4390,43,36,16,0,0,0,0,0,0,33478,3847,37,5,2,0,0,0,0,0,0,36459,4186,40,4,1,7,16,4,0,38,8237051,29742,3697,42,56,21,1,0,0,0,2,4328257,34302,4078,37,13,4,0,0,0,0,0,0,36360,4177,41,5,2,0,0,0,0,0,0,36480,4188,42,4,1,0,0,0,0,0,0,35577,4086,39,5,1,0,0,0,0,0,0,35369,4062,40,5,2,0,0,0,0,0,0,33047,3797,37,7,4
