,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345803870000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,349,78,4,12,3,0,0,0,0,12,0,2976,667,22,81,25,0,0,0,0,5,0,5600,1094,20,86,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804020000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,1,0,62,6534292,13492,2561,46,194,32,36,107,38,0,328,30472546,67475,7682,129,354,48,33,98,31,0,288,40635704,75463,8282,106,298,53,31,90,31,0,276,47835304,71257,8386,108,290,49,16,55,17,0,154,47313191,69268,7885,91,194,50,20,60,20,0,178,37158981,60830,6532,84,193,48
2,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804030000000,1,21,61,20,0,184,53835622,59016,6614,88,218,60,18,60,19,0,171,30063455,66640,7889,92,200,48,14,47,14,0,131,42842445,72572,7594,90,175,43,24,73,24,0,214,50229486,63308,7740,95,225,46,20,69,22,0,195,44191438,59039,6978,92,191,43,30,91,28,0,264,42292712,52380,6325,97,193,38,8,15,1,0,37,3717730,51639,8085,110,281,34,24,72,24,0,220,60590558,59697,6295,87,174,35,26,75,26,0,224,78818376,63047,7949,83,178,44,25,80,28,0,236,61903504,58914,7700,87,186,44
3,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804040000000,1,19,59,17,0,173,27041397,51961,7897,79,146,27,0,2,0,0,2,6654464,86254,28376,85,12,7,0,0,0,0,0,0,72639,24740,73,7,4,0,0,0,0,0,0,85679,29188,85,9,8,0,0,0,0,0,0,71193,24252,68,7,4,0,0,0,0,0,0,74090,25236,75,6,5,0,0,0,0,0,0,74709,25449,72,9,7,0,0,0,0,0,0,71444,24333,69,9,4,0,0,0,0,0,0,71807,24461,72,9,9,0,0,0,0,0,0,68382,23292,67,4,3
4,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804050000000,1,0,0,0,0,0,0,77122,26267,75,6,6,0,0,0,0,0,0,72181,24592,74,9,5,0,0,0,0,0,0,75643,25767,72,5,9,0,0,0,0,0,0,76111,25925,76,3,2,0,0,0,0,0,0,76683,26119,75,5,6,0,0,0,0,0,0,69031,23517,65,3,2,0,0,0,0,0,0,76845,26173,76,7,5,0,0,0,0,0,0,75075,25574,72,2,4,0,0,0,0,0,0,66861,22778,67,11,7,0,0,0,0,0,0,73388,24995,69,4,2
5,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804060000000,1,0,0,0,0,0,0,73913,25176,74,7,10,0,0,0,0,0,0,74088,25237,70,3,2,0,0,0,0,0,0,63623,21673,63,8,6,0,0,0,0,0,0,77123,26272,77,7,6,0,0,0,0,0,0,68274,23260,67,8,7,0,0,0,0,0,0,53310,18159,52,4,3,0,0,0,0,0,0,52528,17891,51,7,5,0,0,0,0,0,0,54532,18572,55,3,2,0,0,0,0,0,0,42483,14471,40,4,2,0,0,0,0,0,0,46102,15703,45,2,2
6,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804070000000,1,0,0,0,0,0,0,48347,16468,46,6,4,0,0,0,0,0,0,39717,13527,39,4,1,0,0,0,0,0,0,47430,16152,47,5,4,0,0,0,0,0,0,35162,11979,34,4,3,0,0,0,0,0,0,49136,16740,47,5,5,0,0,0,0,0,0,44033,14996,42,4,3,0,0,0,0,0,0,44132,15028,42,4,2,0,0,0,0,0,0,46652,15891,46,4,1,0,0,0,0,0,0,41412,14105,39,5,6,0,0,0,0,0,0,50496,17202,50,2,2
7,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804080000000,1,0,0,0,0,0,0,40099,13659,39,4,3,0,0,0,0,0,0,47766,16272,47,3,1,0,0,0,0,0,0,42119,14347,40,2,3,0,0,0,0,0,0,40928,13942,41,5,1,0,0,0,0,0,0,45626,15539,45,7,7,0,0,0,0,0,0,41155,14020,41,2,3,0,0,0,0,0,0,46450,15825,44,5,4,0,0,0,0,0,0,40692,13860,41,2,1,0,0,0,0,0,0,40979,13959,40,6,7,0,0,0,0,0,0,47234,16088,47,4,2
8,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804090000000,1,0,0,0,0,0,0,34818,11862,32,3,4,0,0,0,0,0,0,51901,17678,51,3,2,0,0,0,0,0,0,27236,9277,27,4,3,0,0,0,0,0,0,44523,15169,42,2,3,0,0,0,0,0,0,34624,11795,34,3,1,0,0,0,0,0,0,39803,13552,38,4,2,0,0,0,0,0,0,44519,15165,43,6,4,0,0,0,0,0,0,36922,12575,36,2,1,0,0,0,0,0,0,51307,17475,49,5,6,0,0,0,0,0,0,32506,11074,33,2,2
9,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458.exe,133345804100000000,1,0,0,0,0,0,0,49328,16803,49,5,4,0,0,0,0,0,0,32651,11123,31,1,4,0,0,0,0,0,0,49992,17029,50,5,4,0,0,0,0,0,0,36200,12330,35,2,1,0,0,0,0,0,0,41736,14216,41,6,2,0,0,0,0,0,0,32456,11057,31,4,1,0,0,0,0,0,0,44515,15164,44,6,5,0,0,0,0,0,0,42104,14341,41,3,2,0,0,0,0,0,0,39465,13442,38,2,2,0,0,0,0,0,0,40180,13686,42,6,2
