,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850240000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,1,0,122,2764107,10259,1999,44,154,40,33,211,32,0,377,30661119,50772,6872,121,335,47,30,192,26,0,333,38531683,70299,8943,119,318,51,9,99,12,0,158,208066860,66169,8502,154,240,56,11,77,4,0,122,171802775,64343,7370,121,239,76,18,121,8,0,188,360721869,81136,8937,158,255,69
1,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850250000000,1,26,170,19,0,292,587305387,64265,7757,110,281,42,20,146,24,0,514,387750163,51406,7826,104,302,37,17,216,21,0,384,65496387,41412,7066,92,259,35,56,161,42,0,345,69096709,70892,9635,125,300,45,39,166,54,0,348,44344976,60444,8681,114,284,52,34,167,41,0,332,16840876,45957,7394,102,240,42,60,173,77,0,422,16924186,53950,8421,121,337,41,67,159,36,0,337,20385624,57885,10684,111,280,35,49,208,55,0,423,8791181,35881,5856,103,334,45,54,262,49,0,494,28725345,42830,5891,116,397,48
2,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850260000000,1,55,232,34,0,426,46149814,46503,7202,113,344,50,55,241,36,0,440,52082366,50537,7068,107,296,40,51,242,36,0,442,27173169,54585,8922,112,314,38,45,245,34,0,432,44373650,67420,8989,122,286,43,43,271,38,0,477,35429128,58083,7849,105,273,38,48,270,35,0,471,22302888,43091,6046,102,281,47,69,325,45,0,594,32543222,52723,7423,110,282,36,59,225,30,0,409,31744556,63280,9857,114,256,37,61,247,37,0,454,27149004,55752,8382,113,279,32,65,263,35,0,478,30408431,57765,8082,116,286,34
3,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850270000000,1,64,227,41,0,437,14936420,47606,7862,109,258,27,68,282,41,0,516,12535623,40976,6888,104,326,34,47,231,41,0,427,16187450,41654,6793,104,294,40,58,267,45,0,494,13051876,43822,8037,100,292,28,46,263,48,0,484,9541662,40554,7868,101,308,34,53,270,49,0,502,13819696,43709,7223,107,301,34,50,249,37,0,449,28783634,42944,6445,107,297,48,52,217,36,0,402,59489813,57850,8225,113,277,44,49,227,45,0,428,48149840,63269,7972,115,287,52,45,218,36,0,399,33367454,62461,8295,111,255,38
4,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850280000000,1,51,242,49,0,459,25773097,57608,8693,120,289,40,56,245,43,0,457,16455402,45787,8281,103,286,34,13,65,15,0,134,3130861,11295,1431,36,169,18,0,0,0,0,0,0,1846,403,10,122,11,47,202,39,0,379,10631333,37388,7407,101,270,34,61,249,38,0,456,15866362,41316,6863,110,302,43,59,248,37,0,451,23484316,49872,7390,112,285,41,52,218,34,0,401,16711849,45377,8043,102,246,40,48,192,42,0,376,13990238,41792,7563,88,242,28,39,183,72,0,403,15615435,33755,6242,86,254,29
5,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850290000000,1,48,236,74,0,482,38687360,51159,6527,88,226,35,34,158,54,0,332,8591148,27656,5336,78,206,30,33,178,46,0,353,9404426,33885,5705,79,223,24,39,194,42,0,367,12606151,30174,4407,80,245,27,39,108,46,0,262,10776349,37105,6255,80,184,24,32,89,43,0,227,37217133,35924,6515,75,199,22,35,158,44,0,321,60720286,37130,5050,82,218,24,19,83,11,0,152,58740613,50487,7660,75,151,40,17,99,9,0,158,53415637,48757,4831,69,137,38,29,123,26,0,245,29632341,33792,5025,71,218,32
6,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850300000000,1,32,140,25,0,258,21581182,43798,5599,79,169,26,34,155,30,0,292,11578620,30951,5775,69,189,23,48,204,32,0,376,7539388,26591,4478,74,242,21,47,196,35,0,369,16499878,32026,4965,82,236,25,41,171,41,0,332,22955525,37919,6816,83,231,29,42,196,36,0,369,20069919,33201,4590,78,239,24,45,189,32,0,350,19034494,34655,5128,77,218,26,34,179,33,0,329,10290169,35932,6135,78,214,20,40,182,37,0,351,8316670,26468,4254,80,231,29,39,177,28,0,323,7973102,25421,4291,73,210,35
7,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850310000000,1,38,193,38,0,359,10818286,27548,4088,76,227,29,37,161,27,0,299,8022399,25190,4425,71,178,30,33,109,23,0,218,31482569,31412,5849,64,163,28,27,149,23,0,268,39326476,23423,3363,66,204,30,29,105,16,0,202,299324360,41562,4800,71,157,31,12,55,5,0,85,400811767,49552,5232,66,139,34,17,68,5,0,115,283013625,47534,4971,58,144,37,21,64,8,0,117,280394358,52485,7438,66,129,26,19,56,13,0,121,196499926,44698,4786,61,124,25,38,135,21,0,254,36319314,37699,5797,76,208,33
8,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850320000000,1,28,100,12,0,182,49297218,43549,4937,72,163,35,32,128,17,0,229,43643927,46879,5984,72,170,32,21,93,14,0,172,9705764,46754,5469,78,180,28,11,20,6,0,50,8155103,38941,4925,73,188,30,41,82,20,0,188,37695524,39930,3716,66,172,22,19,35,8,0,81,81385788,43756,4377,53,120,38,10,25,5,0,49,64266734,45448,3726,47,104,23,16,35,10,0,80,44203986,28621,2962,48,125,31,13,23,6,0,56,40765518,37202,3456,36,79,24,31,63,17,0,142,41097062,36040,3179,55,121,27
9,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee.exe,133343850330000000,1,8,19,6,0,46,4779817,30481,3759,51,118,33,0,0,0,0,0,0,31457,2826,44,114,25,0,0,0,0,0,0,40205,4258,61,148,30,9,12,2,0,29,25203916,35099,4036,65,188,35,40,88,23,0,208,57250006,42622,4611,73,190,24,36,75,19,0,173,66382127,48143,5450,76,183,30,24,46,9,0,98,62685607,53488,5537,68,136,31,33,67,17,0,153,53593236,49208,4824,81,166,23,26,51,14,0,120,47097292,44284,5320,74,186,31,40,79,20,0,182,42533511,48318,5593,79,201,32
