,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429510000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2842,824,12,35,7,0,0,0,0,0,0,15532,5280,18,2,1,0,0,0,0,0,0,14140,4803,16,2,1,0,0,0,0,0,0,13719,4663,17,2,1,0,0,0,0,0,0,15739,5348,19,3,1,0,0,0,0,0,0,16828,5718,20,3,2
1,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429520000000,1,0,0,0,0,0,0,14326,4867,17,3,2,0,0,0,0,0,0,15250,5181,19,4,2,0,0,0,0,0,0,16120,5477,19,4,1,0,0,0,0,0,0,14724,5001,18,3,1,0,0,0,0,0,0,12911,4387,15,3,0,0,0,0,0,0,0,12599,4279,15,4,2,0,0,0,0,0,0,12878,4374,15,3,0,0,0,0,0,0,0,14251,4842,17,3,1,0,0,0,0,0,0,15447,5248,18,3,1,0,0,0,0,0,0,14983,5090,19,4,1
2,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429530000000,1,0,0,0,0,0,0,16143,5485,19,4,1,0,0,0,0,0,0,16483,5601,20,3,1,0,0,0,0,0,0,16876,5736,19,2,1,0,0,0,0,0,0,16801,5710,20,2,1,0,0,0,0,0,0,17264,6759,21,3,2,0,0,0,0,0,0,17489,7494,19,2,0,0,0,0,0,0,0,13370,5728,15,4,2,0,0,0,0,0,0,12843,5500,15,2,1,0,0,0,0,0,0,12952,2621,13,7,3,0,0,0,0,4,0,10065,1101,36,85,21
3,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429540000000,1,0,0,0,0,0,0,1661,381,5,20,8,0,0,0,0,0,0,7,2,1,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,494,1131,218,7,25,4,0,0,0,0,0,0,14,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0
4,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429550000000,1,0,0,0,0,0,0,15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429560000000,1,0,0,0,0,0,0,35,6,0,3,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,3,0,0,0,0,0,0,0,12,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,12,5,0,1,0
6,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429570000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,21,2,4,3,0,0,0,0,0,0,11,2,0,4,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0,5,1,0,0,0,0,0,0,16,1,0,1,0
7,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429580000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,2,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429590000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,2,8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429600000000,1,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,51,229,14,0,321,1887294856,34599,7688,141,579,44
10,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429610000000,1,29,28,0,0,58,1433958918,16194,3333,72,286,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,0,101,2566031748,27996,5376,111,583,33,44,44,0,0,88,2213831312,40815,8513,155,730,32,39,40,0,0,79,1987416746,43778,9092,159,731,39,46,50,1,0,100,2415089240,38459,7780,126,542,30
11,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429620000000,1,0,0,0,0,0,0,31304,6803,133,605,34,0,0,0,0,0,0,38138,8742,156,595,36,0,0,0,0,0,0,6934,1625,31,142,3,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15086,3668,65,255,8,0,0,0,0,0,0,19070,4486,98,554,27,0,0,0,0,0,0,16513,4015,75,439,26
12,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429630000000,1,0,0,0,0,0,0,23715,5501,101,570,23,60,367,49,0,577,206858350,50980,12854,142,510,45,86,364,69,0,649,893049878,48714,9591,129,426,43,81,374,69,0,668,695692867,57591,13489,130,350,41,102,469,83,0,822,917906396,62332,13731,122,338,40,92,411,75,0,724,496591651,53086,12971,131,357,41,95,438,79,0,777,859515260,59225,12804,111,354,44,89,399,76,0,711,797719607,61953,15386,130,347,40,88,395,69,0,693,2388320509,71804,18238,120,303,41,115,571,109,0,1006,862471909,71668,15407,132,427,47
13,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429640000000,1,107,570,109,0,1015,433684944,68482,15764,142,479,49,106,583,104,0,1010,51736088,60511,14956,146,604,41,101,530,104,0,930,33284960,55066,13634,143,529,45,103,548,105,0,966,30551970,50816,11980,150,594,51,101,531,100,0,930,46940516,65345,16562,158,536,40,104,537,103,0,950,16805284,64386,16474,156,549,43,106,596,105,0,1018,58762648,64053,15679,161,611,44,77,398,76,0,704,10451396,69147,19737,137,410,33,98,543,97,0,939,69909272,59164,14286,148,553,44,112,558,109,0,983,40016641,62800,15713,157,586,36
14,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429650000000,1,178,491,73,0,899,596496565,71351,15274,141,418,40,158,498,82,0,894,724301884,68317,15524,145,474,44,105,413,71,0,739,425563984,54376,13462,123,455,48,124,325,52,0,597,480155862,43721,8800,102,429,49,150,342,44,0,627,890460990,58597,12165,116,385,50,133,368,57,0,670,724576902,63342,14873,127,398,40,118,184,15,0,342,722928277,73336,18839,99,185,39,85,215,30,0,398,543870125,30623,6294,66,209,28,110,484,88,0,867,275594026,47950,11292,143,565,40,156,383,58,0,700,644788738,64319,14151,119,393,34
15,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429660000000,1,142,356,51,0,647,826714551,62799,13548,116,349,46,108,474,81,0,836,406346111,51608,11671,131,459,35,16,50,12,0,90,50403,41134,13379,53,86,8,71,380,70,0,684,344994,43077,11229,144,537,29,53,270,60,0,486,248421,45391,12451,113,340,46,70,347,65,0,619,323208,43655,11509,115,393,33,60,288,62,0,524,274228,39666,10643,102,342,26,53,245,49,0,441,232026,21890,5363,56,247,30,26,165,33,0,297,148820,14256,3803,36,132,11,0,0,0,0,0,0,0,0,0,0,0
16,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357.exe,133346429670000000,1,0,0,0,0,0,0,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,239,44,0,425,3009687,30363,8063,97,367,27,88,480,88,0,838,12493408,44101,10926,134,523,51,87,431,86,0,779,396487,41759,10483,106,400,36,85,425,85,0,763,393408,40795,10417,114,402,27,78,370,79,0,668,350296,40409,10541,104,371,29,73,385,72,0,693,358292,37351,9660,96,348,29
