,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436330000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4013,930,35,117,20,8,1,0,0,60,3656,6436,1430,45,189,28,0,0,0,0,26,0,5109,1194,41,198,23,0,0,0,0,10,0,6473,1473,43,194,40,0,0,0,0,0,0,9604,2008,48,189,26
1,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436340000000,1,436,451,1,0,896,61763290,10832,2150,50,177,15,1132,1156,3,0,2313,165218261,15562,2993,54,80,23,1261,1278,2,0,2556,183220951,16925,3268,54,64,20,1154,1198,6,0,2397,100452599,15981,3062,56,95,15,1178,1202,3,0,2404,121628055,15957,3091,50,66,11,1263,1286,3,0,2572,133934051,15731,3057,50,65,15,1092,1122,3,0,2236,135581309,15221,2919,50,68,25,1253,1278,3,0,2556,111920239,15783,3065,50,63,23,1095,1117,2,0,2228,104810690,14534,2816,46,63,25,1149,1170,4,0,2343,186748841,14092,2725,44,65,21
2,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436350000000,1,908,920,20,0,1928,1044849500,13889,2725,47,108,26,1242,1244,0,0,2486,2556939968,14687,2845,40,45,25,1214,1216,0,0,2430,2690386496,15034,2912,40,43,25,1449,1451,0,0,2900,3458245152,17640,3417,45,48,17,1556,1559,0,0,3115,4013757312,18273,3540,48,48,6,1393,1414,0,0,2807,3872329888,17092,3311,46,45,5,1400,1407,0,0,2807,4131002112,16815,3260,44,46,6,1434,1444,0,0,2878,4496870080,17507,3393,48,54,16,1394,1395,0,0,2789,4613047232,16713,3237,46,51,26,1354,1358,0,0,2711,4723707584,16512,3199,45,47,22
3,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436360000000,1,1380,1382,0,0,2763,5053036928,16549,3205,45,46,7,1378,1388,2,0,2776,2726344608,16538,3207,44,55,17,760,774,4,0,1554,1229084461,10068,2101,31,50,21,1295,1298,0,0,2593,2909842190,15511,3008,42,46,22,1235,1238,0,0,2473,2975596630,15210,2947,42,47,23,1257,1259,0,0,2515,3229062114,15763,3202,41,43,19,1300,1310,0,0,2611,3557425768,15586,3018,43,49,25,1344,1345,0,0,2689,3899614976,16748,3392,42,46,16,1318,1328,0,0,2645,4057783212,15537,3160,39,43,12,1030,1031,0,0,2062,3319331948,13251,2563,35,43,28
4,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436370000000,1,1049,1052,0,0,2100,3522770754,12461,2413,34,38,23,877,877,0,0,1755,3050057898,10492,2028,28,31,23,1162,1173,0,0,2335,4209560244,15020,2909,39,47,22,1360,1361,0,0,2720,5128519200,16511,3341,41,44,19,1256,1259,0,0,2516,4950510160,15921,3084,41,48,25,1059,1061,0,0,2120,4330294390,13363,2588,35,42,14,1065,1085,10,0,2198,1094739932,13605,2638,46,85,25,734,776,8,0,1547,340913458,10769,2039,39,90,24,1151,1152,0,0,2302,1337132672,13363,2603,34,36,10,994,996,0,0,1990,1291545472,11665,2469,32,43,23
5,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436380000000,1,938,944,0,0,1882,1336665984,11103,2312,30,44,21,873,873,0,0,1747,1343029760,11881,2488,30,40,20,899,901,0,0,1799,1486134272,10752,2094,29,43,21,1122,1125,0,0,2248,2000656512,13254,2580,37,50,23,1194,1196,0,0,2390,2305482624,13699,2663,38,47,22,1291,1304,2,0,2604,1810333774,16218,3126,47,61,18,1173,1175,0,0,2348,826651049,14530,2795,48,54,27,1410,1413,0,0,2822,1227351690,17280,3322,52,46,15,1328,1343,2,0,2684,1231906476,17215,3286,54,62,13,898,944,8,0,1908,75361420,12933,2541,48,99,29
6,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436390000000,1,1162,1199,5,0,2401,90456514,14579,2845,47,77,28,986,1016,4,0,2034,86160894,13351,2604,43,74,40,1087,1133,10,0,2300,97693168,14255,2801,52,100,38,1152,1183,8,0,2385,729877198,15220,2951,49,96,34,1429,1431,0,0,2860,1190198424,17307,3366,47,52,28,1599,1604,0,0,3203,1643380168,17912,3487,49,51,18,1151,1180,12,0,2391,991050478,15010,2937,51,107,22,1555,1562,0,0,3116,1186585896,17319,3374,45,49,12,1446,1452,0,0,2899,1382308304,17304,3365,43,48,6,1383,1399,4,0,2802,1429847541,16079,3131,46,63,15
7,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436400000000,1,1435,1440,0,0,2875,691630208,17956,3454,56,49,6,1368,1370,0,0,2738,904914432,16806,3230,52,46,17,1274,1301,3,0,2590,418375594,16397,3135,55,71,18,1307,1309,0,0,2617,873706904,15681,3019,51,48,10,1402,1405,0,0,2807,1180917456,17785,3420,55,47,7,1080,1107,8,0,2232,798256991,14958,2843,53,93,13,1374,1381,3,0,2778,209287433,18149,3509,56,56,9,1328,1341,2,0,2685,191304698,17756,3429,54,52,11,1317,1334,6,0,2700,114927547,17932,3487,54,63,13,1355,1366,4,0,2753,140604578,17042,3310,51,58,19
8,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436410000000,1,1317,1328,2,0,2661,178448352,17163,3330,50,52,9,1276,1288,4,0,2596,107018401,16905,3281,49,55,12,1215,1228,3,0,2466,108603839,16162,3142,48,55,26,909,929,24,0,1935,86057358,14508,2875,51,106,15,930,947,27,0,1973,572350378,14466,2828,57,104,15,1422,1425,0,0,2846,1089598662,17331,3333,55,47,8,1411,1413,0,0,2825,1337113935,17113,3291,53,52,10,1293,1301,9,0,2666,666901943,16808,3285,52,69,17,1188,1197,6,0,2433,98236634,16382,3199,46,62,8,1362,1373,4,0,2766,120791642,16230,3164,46,55,8
9,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021.exe,133346436420000000,1,1078,1085,14,0,2274,92218423,15964,3149,46,74,8,1021,1039,23,0,2147,266260934,15088,2952,52,84,12,1413,1416,0,0,2829,915847656,17586,3382,55,48,14,1435,1437,0,0,2871,1191845656,17193,3306,53,45,13,1338,1350,5,0,2713,986810688,16349,3153,53,64,11,1476,1478,0,0,2954,615388160,16938,3286,47,47,5,1150,1172,6,0,2350,327291173,14502,2789,44,82,18,1348,1363,2,0,2719,1688677382,16485,3170,49,61,14,1593,1595,0,0,3189,3886297656,18954,3641,60,50,6,1602,1606,0,0,3208,4236982896,18817,3617,60,50,5
