,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440780000000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,20,0.0,8829,2115,105,151,31,2,1,0.0,0.0,8,20331775.0,16907,4933,40,47,11,32,0,0.0,0.0,53,58114.0,6458,1478,34,122,23,246,0,0.0,0.0,253,414414336.0,17068,5114,40,51,16,10,0,0.0,0.0,48,2986.0,13542,3794,61,108,24,0,2,0.0,0.0,11,353.0,4298,981,26,78,17,0,0,0.0,0.0,0,0.0,38,8,2,6,3
1,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440790000000,1,0,0,0.0,0.0,0,0.0,2,1,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,2,1,0,1,0,0,0,0.0,0.0,0,0.0,2,1,0,1,0,0,0,0.0,0.0,0,0.0,1,0,1,0,0,0,0,0.0,0.0,0,0.0,2,1,0,0,0,0,0,0.0,0.0,0,0.0,5,1,1,0,0,0,0,0.0,0.0,0,0.0,3,1,1,1,0,0,0,0.0,0.0,0,0.0,1,0,0,1,0
2,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440800000000,1,0,0,0.0,0.0,0,0.0,2,1,0,1,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,2,0,0,1,0,0,0,0.0,0.0,0,0.0,1,0,0,0,1,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,6,1,0,1,1,0,0,0.0,0.0,59,0.0,2544,532,14,50,10,0,0,0.0,0.0,355,0.0,13025,2715,42,91,25
3,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440810000000,1,0,0,0.0,0.0,338,0.0,15273,3200,50,107,15,0,0,0.0,0.0,285,0.0,15738,3333,48,83,14,0,0,0.0,0.0,210,0.0,13639,2845,43,102,16,0,0,0.0,0.0,237,0.0,13821,2899,42,71,15,0,0,0.0,0.0,216,0.0,15714,3330,49,94,18,0,0,0.0,0.0,138,0.0,15404,3243,46,82,8,0,0,0.0,0.0,118,0.0,15274,3204,44,84,9,0,0,0.0,0.0,231,0.0,15612,3369,50,110,12,0,0,0.0,0.0,165,0.0,14987,3168,46,89,13,0,0,0.0,0.0,201,0.0,13466,2841,53,120,29
4,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440820000000,1,0,0,0.0,0.0,178,0.0,14454,3022,46,105,16,0,0,0.0,0.0,205,0.0,14710,3160,47,115,15,0,0,0.0,0.0,206,0.0,14406,3008,54,119,19,0,0,0.0,0.0,124,0.0,16530,3636,49,85,10,0,0,0.0,0.0,87,0.0,17538,4009,43,54,7,0,0,0.0,0.0,82,0.0,17712,4034,43,55,9,0,0,0.0,0.0,91,0.0,17343,3959,43,62,7,0,0,0.0,0.0,87,0.0,17570,3954,48,71,11,0,0,0.0,0.0,80,0.0,17442,4002,42,52,6,0,0,0.0,0.0,80,0.0,17104,3866,42,62,13
5,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440830000000,1,0,0,0.0,0.0,79,0.0,16422,3769,42,56,19,0,0,0.0,0.0,76,0.0,16278,3735,38,56,11,0,0,0.0,0.0,94,0.0,16148,3648,41,67,14,0,0,0.0,0.0,114,0.0,16445,3692,45,67,11,0,0,0.0,0.0,87,0.0,16701,3709,48,81,10,0,0,0.0,0.0,78,0.0,16658,3824,41,58,6,0,0,0.0,0.0,102,0.0,15919,3572,41,61,12,0,0,0.0,0.0,141,0.0,15491,3464,43,89,9,0,0,0.0,0.0,133,0.0,15097,3365,44,77,20,0,0,0.0,0.0,141,0.0,15895,3544,41,60,18
6,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440840000000,1,0,0,0.0,0.0,107,0.0,15720,3515,41,69,20,0,0,0.0,0.0,125,0.0,16651,3778,38,46,13,0,0,0.0,0.0,128,0.0,16680,3797,38,46,10,0,0,0.0,0.0,82,0.0,16854,3826,39,62,7,0,0,0.0,0.0,89,0.0,16648,3797,42,63,9,0,0,0.0,0.0,85,0.0,16361,3708,42,69,10,0,0,0.0,0.0,72,0.0,16892,3871,41,58,7,0,0,0.0,0.0,80,0.0,16808,3861,41,56,6,0,0,0.0,0.0,179,0.0,14963,3249,45,96,14,0,0,0.0,0.0,156,0.0,14983,3114,45,81,13
7,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440850000000,1,0,0,0.0,0.0,220,0.0,12677,2635,43,142,15,0,0,0.0,0.0,172,0.0,13078,2696,49,128,29,0,0,0.0,0.0,200,0.0,12867,2644,50,143,12,0,0,0.0,0.0,140,0.0,14748,3155,44,113,13,130,143,0.0,0.0,310,210428196.0,13716,2427,35,106,23,0,0,0.0,0.0,11,0.0,4777,1019,38,134,26,0,0,0.0,0.0,0,0.0,390,81,4,33,12,0,0,0.0,0.0,0,0.0,21,6,0,3,3,0,0,0.0,0.0,0,0.0,27,6,0,4,0,0,0,0.0,0.0,0,0.0,22,6,0,1,1
8,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440860000000,1,0,0,0.0,0.0,0,0.0,46,11,1,5,3,0,0,0.0,0.0,0,0.0,22,5,1,3,1,0,0,0.0,0.0,0,0.0,22,6,0,2,2,0,0,0.0,0.0,0,0.0,25,6,0,3,2,0,0,0.0,0.0,0,0.0,20,5,0,3,1,0,0,0.0,0.0,0,0.0,28,6,0,7,2,0,0,0.0,0.0,0,0.0,26,6,1,5,2,0,0,0.0,0.0,0,0.0,27,6,1,5,1,0,0,0.0,0.0,0,0.0,26,5,0,4,2,0,0,0.0,0.0,0,0.0,22,4,0,4,0
9,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,thankyou.exe,133346440870000000,1,0,0,0.0,0.0,0,0.0,25,6,0,6,2,0,0,0.0,0.0,0,0.0,23,5,1,3,1,0,0,0.0,0.0,0,0.0,23,5,0,3,3,0,0,0.0,0.0,0,0.0,22,4,0,2,2,0,0,0.0,0.0,0,0.0,25,4,0,2,2,0,0,0.0,0.0,0,0.0,28,5,2,5,1,0,0,0.0,0.0,0,0.0,104,26,1,11,5,0,0,0.0,0.0,0,0.0,122,25,1,9,8,0,0,0.0,0.0,0,0.0,136,33,1,12,4,0,0,0.0,0.0,0,0.0,112,26,1,11,5
