,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448290000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,36,180262,4581,1038,41,110,25,8,0,0,0,41,182834,5843,1361,43,136,25,3,0,0,0,16,2512,4889,1188,33,134,12,19,0,0,0,36,683658,4481,1046,47,160,34,0,0,0,0,48,0,6763,1556,39,194,17,0,0,0,0,53,0,6849,1419,42,167,21
1,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448300000000,1,2,0,0,0,10,19269936,4766,1038,48,170,34,1,1,1,0,6,220992,14614,2546,36,32,8,1,1,1,0,6,2478088,16482,2284,30,31,12,0,0,0,0,0,0,17668,1573,18,11,6,2,2,2,0,12,2475945,16030,2360,30,46,26,2,2,2,0,12,325040,16783,2824,40,17,7,2,2,2,0,12,195604,14986,2575,38,28,12,2,2,2,0,12,166580,13577,2343,32,14,8,2,2,2,0,12,166580,12972,2237,31,17,8,1,2,2,0,10,124938,13843,2429,36,21,9
2,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448310000000,1,3,2,2,0,14,208222,15718,2728,42,18,8,2,2,2,0,12,481802,15348,2653,38,19,7,1,1,1,0,6,536860,14611,2230,27,20,13,2,2,2,0,12,827168,14066,2278,31,23,9,1,1,1,0,6,650768,13823,1840,23,18,8,1,1,1,0,6,85008,12883,2282,31,20,8,1,1,1,0,6,920420,15753,2061,28,13,5,1,1,1,0,6,2700043,13958,2022,23,30,13,0,0,0,0,0,0,13089,1162,13,5,3,1,1,1,0,6,2103216,16919,2250,27,31,13
3,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448320000000,1,1,1,1,0,6,1682182,17171,2236,29,18,7,1,1,1,0,6,1511763,18297,2334,30,29,12,2,3,3,0,17,228748,15688,2624,39,23,10,1,0,0,0,1,2295296,18997,2404,29,14,5,0,0,0,0,0,0,18621,1841,19,17,9,2,2,2,0,12,2604576,16427,2775,36,47,24,2,2,2,0,12,743535,14902,2255,30,18,10,2,2,2,0,12,166302,14008,2416,32,18,8,1,1,1,0,6,147584,14190,2398,29,14,5,1,1,1,0,6,1354213,15497,2057,24,19,8
4,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448330000000,1,2,2,2,0,12,1302074,16471,2242,31,31,15,1,1,1,0,6,325136,16179,2554,36,13,4,2,3,3,0,17,714747,16556,2717,39,23,10,2,1,1,0,7,680976,17078,2699,36,13,3,2,2,2,0,12,870944,16867,2542,33,19,9,2,2,2,0,12,618580,16403,2654,35,24,12,2,2,2,0,12,304218,15919,2640,38,17,6,1,1,1,0,6,1842704,15563,2437,33,17,9,0,0,0,0,0,0,16021,1424,15,6,3,2,2,2,0,12,2065230,15787,2454,32,35,16
5,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448340000000,1,1,1,1,0,6,1350064,16048,2574,31,25,11,1,1,1,0,6,1320976,17775,2010,25,33,17,1,1,1,0,6,1066512,14249,2196,25,17,9,1,1,1,0,6,1061904,15804,1979,23,19,10,2,2,2,0,12,2000928,16636,2479,32,35,14,0,0,0,0,0,0,14997,1809,23,6,3,1,1,1,0,6,1580560,15819,2144,29,34,17,2,2,2,0,12,1340290,17235,2421,34,28,13,1,1,1,0,6,496496,15394,2419,33,13,6,2,2,2,0,12,741709,15552,2423,35,24,11
6,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448350000000,1,2,2,2,0,12,321056,14467,2497,36,16,5,1,1,1,0,6,2636931,13214,2113,27,22,9,0,0,0,0,0,0,16138,1570,18,19,6,0,0,0,0,0,0,14875,1335,14,18,11,2,2,2,0,12,2561118,16305,2806,37,28,12,1,1,1,0,6,2826704,15290,2142,23,21,9,0,0,0,0,0,0,16988,1510,17,6,2,0,1,0,0,0,2779152,14230,1500,16,42,21,2,1,2,0,12,756434,14139,2142,27,19,11,2,2,2,0,12,160992,14505,2561,36,16,8
7,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448360000000,1,1,1,1,0,6,381610,15046,2404,34,9,5,1,1,1,0,6,1335117,15712,2078,26,15,6,1,1,1,0,6,2439856,17207,2388,29,35,15,1,1,1,0,6,1440484,18266,1835,21,32,14,2,2,2,0,12,146167,15544,2703,37,18,6,1,2,1,0,6,974785,17643,2595,35,17,8,1,0,1,0,6,1486848,16927,2207,27,18,7,1,1,1,0,6,2370064,16647,2127,25,36,17,1,1,1,0,6,971280,17801,2225,26,29,14,2,2,2,0,12,870944,16194,2573,35,18,8
8,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448370000000,1,2,2,2,0,12,479105,17022,2612,37,20,9,1,1,1,0,6,195761,15640,2687,35,15,5,3,3,3,0,18,512720,16569,2800,41,20,7,2,2,2,0,11,1994019,16388,2596,36,24,10,0,0,0,0,1,0,17822,2361,29,20,7,1,2,2,0,11,1775136,18675,2413,32,35,16,1,0,0,0,1,2001963,18226,2323,28,16,5,0,1,0,0,0,2001968,15950,1534,18,33,16,1,0,1,0,6,759808,13311,1908,26,21,8,1,1,1,0,6,1475088,17841,2329,29,29,14
9,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133346448380000000,1,1,1,1,0,6,1791504,16939,2257,29,28,12,1,2,2,0,11,1167392,16545,2193,28,30,14,1,0,0,0,1,4564992,16529,2332,25,24,10,0,0,0,0,0,0,17335,1540,16,7,1,0,0,0,0,0,0,19075,1696,18,6,2,0,1,0,0,0,4565008,17525,1858,19,59,36,3,2,3,0,17,1357238,15979,2784,38,28,9,0,0,0,0,1,0,18434,2220,29,6,2,2,2,2,0,12,2654576,15591,2415,31,36,17,0,0,0,0,0,0,18135,1952,25,5,2
