,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574120000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,563,133,7,22,4,0,0,0,0,2,0,5893,1416,66,22,4
1,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574130000000,1,0,0,0,0,0,0,7077,1674,71,2,1,0,0,0,0,0,0,6532,1546,66,2,0,0,0,0,0,0,0,5454,1290,53,3,0,0,0,0,0,2,0,10034,2930,33,29,9,0,0,0,0,5,0,3436,693,23,45,8,0,0,0,0,0,0,12,4,0,3,0,0,0,0,0,0,0,17,3,0,1,0,0,0,0,0,0,0,11,3,0,1,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,13,1,0,2,0
2,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574140000000,1,0,0,0,0,0,0,15,1,1,3,0,0,0,0,0,0,0,10,3,0,6,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,11,4,1,4,1,0,0,0,0,0,0,12,4,0,7,1,0,0,0,0,0,0,13,1,0,3,3,0,0,0,0,0,0,13,3,2,4,2,0,0,0,0,0,0,21,2,0,5,2,0,0,0,0,0,0,15,4,0,4,2
3,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574150000000,1,0,0,0,0,0,0,12,0,1,5,0,0,0,0,0,0,0,11,2,0,3,0,0,0,0,0,0,0,14,3,1,1,0,0,0,0,0,0,0,14,3,0,6,0,0,0,0,0,0,0,16,5,0,8,0,0,0,0,0,0,0,16,2,0,4,0,0,0,0,0,0,0,17,1,0,5,1,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,0,11,2,0,7,1,0,0,0,0,0,0,11,4,0,6,1
4,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574160000000,1,0,0,0,0,0,0,18,2,0,7,1,0,0,0,0,0,0,17,1,1,4,1,0,0,0,0,8,0,3512,580,21,91,26,7,0,0,0,34,2573,5464,1221,43,169,37,0,0,0,0,0,0,1632,361,33,168,8,0,0,0,0,15,0,4596,1146,33,186,19,0,0,0,0,17,0,5200,1260,36,190,22,0,0,0,0,1,0,6361,1451,39,148,20,0,0,0,0,0,0,1642,363,13,115,6,0,0,0,0,0,0,1848,399,16,130,7
5,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574170000000,1,0,0,0,0,0,0,1862,409,15,104,2,0,0,0,0,0,0,1220,263,13,113,4,0,0,0,0,0,0,1027,219,11,120,4,0,0,0,0,0,0,2612,694,13,109,7,0,0,0,0,0,0,1685,368,22,150,6,0,0,0,0,0,0,1712,373,12,123,10,0,0,0,0,0,0,1727,376,13,91,7,0,0,0,0,0,0,1344,296,13,129,13,0,0,0,0,0,0,1783,492,17,107,5,0,0,0,0,0,0,1892,415,13,99,7
6,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574180000000,1,0,0,0,0,0,0,1883,419,14,137,9,0,0,0,0,0,0,1952,444,14,128,6,0,0,0,0,0,0,7824,1927,28,80,11,0,0,0,0,0,0,9338,2211,33,85,14,0,0,0,0,0,0,11187,2730,34,75,11,0,0,0,0,0,0,10702,2520,30,64,7,0,0,0,0,0,0,10270,2482,29,72,7,0,0,0,0,0,0,11163,2670,32,69,10,0,0,0,0,0,0,10047,2377,27,82,8,0,0,0,0,0,0,10553,2552,33,65,7
7,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574190000000,1,0,0,0,0,0,0,10731,2679,30,58,11,0,0,0,0,0,0,2239,517,19,152,5,0,0,0,0,0,0,1957,423,12,101,4,0,0,0,0,0,0,1711,372,15,114,5,0,0,0,0,0,0,1880,406,11,94,6,0,0,0,0,0,0,2087,460,14,88,4,0,0,0,0,0,0,6254,1350,46,220,11,0,0,0,0,0,0,9085,2032,48,206,8,0,0,0,0,0,0,4414,1041,16,148,5,0,0,0,0,0,0,3344,717,16,122,9
8,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574200000000,1,0,0,0,0,0,0,9773,2048,41,198,16,0,0,0,0,0,0,10612,2285,48,162,15,0,0,0,0,0,0,9167,2012,32,152,13,0,0,0,0,0,0,9177,1983,38,188,18,0,0,0,0,0,0,7848,1731,37,209,19,0,0,0,0,0,0,8891,1970,31,176,16,0,0,0,0,0,0,5976,1348,23,109,10,0,0,0,0,0,0,8612,2203,35,161,19,0,0,0,0,0,0,8939,1989,37,193,17,0,0,0,0,0,0,9718,2141,36,165,16
9,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,Sodinokibi-06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851.exe,133346574210000000,1,0,0,0,0,0,0,9893,2173,38,166,21,0,0,0,0,0,0,8483,1901,38,179,19,0,0,0,0,0,0,8368,1833,45,210,18,0,0,0,0,0,0,10423,2355,37,143,16,0,0,0,0,0,0,8535,1871,45,181,25,0,0,0,0,0,0,8733,1982,38,164,15,0,0,0,0,0,0,8290,1847,34,164,15,0,0,0,0,0,0,8095,1785,37,192,18,0,0,0,0,0,0,9124,2044,36,216,16,0,0,0,0,0,0,8820,1936,39,189,17
