,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577920000000,1,0,0,0,0,0,0,17,3,1,2,0,0,0,0,0,1,0,258,58,2,10,3,0,0,0,0,14,0,2105,487,21,83,18,6,0,0,0,12,180086,3536,861,27,133,28,6,0,0,0,28,180530,2982,692,29,151,31,7,3,3,0,25,6344445,7884,1288,26,114,33,2,2,2,0,12,9453568,16294,2810,18,69,29,1,2,1,0,7,9437184,16490,2847,17,61,23,2,1,2,0,11,9437184,13035,2154,14,56,27,23,22,24,0,142,8297546,15212,2653,29,104,31
1,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577930000000,1,16,16,31,0,156,6003796,14791,2721,28,94,23,30,31,40,0,222,5777910,14574,2678,33,124,20,41,40,40,0,241,5266544,13149,2429,39,153,24,10,11,10,0,60,8378564,14691,2544,24,90,34,32,32,32,0,195,4644044,10966,2008,34,130,27,49,48,49,0,291,4870600,12736,2383,32,154,22,23,23,23,0,138,7522303,15076,2686,29,113,23,14,15,14,0,87,9242409,15612,2703,25,95,24,64,63,64,0,380,5401238,15310,2908,37,140,25,65,65,65,0,390,3083276,12550,2418,51,183,17
2,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577940000000,1,59,59,59,0,355,4199672,13907,2642,45,160,18,38,38,38,0,228,6752918,15425,2802,34,132,25,69,69,69,0,414,3992136,13523,2589,43,178,20,52,53,52,0,313,5137280,15184,2849,41,145,26,53,52,77,0,413,1570899,12844,2570,48,167,21,26,26,47,0,242,2911528,10449,1997,38,134,29,35,35,35,0,210,5694568,13120,2403,39,136,21,37,38,37,0,222,6564585,15148,2775,32,112,23,46,46,46,0,276,5773370,15092,2821,30,120,27,41,41,42,0,251,7167914,16813,3085,31,120,24
3,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577950000000,1,53,53,52,0,317,6365706,16654,3119,33,120,22,46,45,46,0,272,7347275,16430,3013,34,123,24,31,31,31,0,185,8703717,17616,3161,29,113,29,43,43,43,0,259,6826000,16706,3082,31,115,24,48,48,48,0,288,6208704,15976,2984,31,120,24,34,35,34,0,208,3847554,9788,1836,26,89,23,38,37,38,0,224,6356924,15162,2790,34,112,28,49,49,49,0,293,5142085,14490,2731,34,126,22,19,20,20,0,120,7610169,14150,2501,23,94,29,1,1,0,0,1,6185734,9949,1793,12,34,16
4,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577960000000,1,30,30,30,0,180,5769928,12762,2332,31,112,29,20,19,20,0,120,4275507,9285,1682,23,92,19,21,21,21,0,126,4001324,8499,1544,21,65,21,23,24,24,0,142,3568093,9536,1766,27,92,23,44,44,43,0,262,2573992,10709,2074,37,156,24,27,26,32,0,181,5603557,12238,2243,29,107,27,2,2,2,0,12,9618776,11247,1739,14,56,23,0,0,0,0,1,0,9386,1894,11,41,18,6,6,6,0,35,13394460,11350,1885,14,56,19,0,1,0,0,1,4640459,12943,2192,13,40,14
5,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577970000000,1,18,17,18,0,108,8382637,12705,2163,25,100,24,0,1,0,0,0,7075427,14164,2497,14,50,18,10,10,10,0,60,7088166,11994,2075,21,86,25,26,26,26,0,157,2728626,9753,1842,35,125,19,45,44,45,0,269,1095559,9168,1843,48,180,18,31,32,32,0,190,441641,6662,1359,34,164,19,20,19,19,0,116,3761711,8481,1540,29,133,18,1,2,1,0,6,7000515,11343,1929,12,48,20,17,16,17,0,102,4688496,11480,2101,28,104,26,31,32,33,0,195,3357034,9823,1825,37,135,27
6,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577980000000,1,42,41,42,0,250,5399974,11302,2058,34,129,24,2,2,2,0,13,5724970,12848,2294,15,61,23,9,8,9,0,53,6119689,11263,1966,20,76,25,14,14,14,0,85,7555469,13766,2406,25,85,24,9,9,9,0,54,4325732,12736,2377,31,96,25,41,41,42,0,251,2753928,10561,2043,47,184,15,31,30,30,0,181,6248372,13114,2371,34,136,17,4,5,5,0,29,9829216,15378,2611,19,72,22,2,1,1,0,6,5852448,8168,1356,10,49,17,4,4,4,0,25,8295680,14738,2553,18,81,25
7,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346577990000000,1,8,9,9,0,52,10478380,16321,2774,22,97,26,5,4,4,0,25,36589032,14074,2387,17,120,66,0,0,0,0,0,0,18499,2262,16,35,9,0,0,0,0,1,0,13391,2811,15,50,12,0,0,0,0,0,0,14114,2838,15,35,10,0,0,0,0,0,0,15042,3005,16,55,21,0,1,0,0,0,30870320,13234,1634,15,77,32,0,0,0,0,0,0,12950,2069,11,28,7,1,1,1,0,6,4513984,10867,2008,11,44,15,1,1,1,0,6,9782880,10976,1931,12,46,22
8,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346578000000000,1,2,1,2,0,12,5904784,13906,2294,14,46,16,3,3,3,0,18,10582816,16656,2830,19,69,25,1,2,1,0,7,9050512,13758,2316,15,57,21,4,3,4,0,23,6976128,13739,2415,16,58,19,9,9,9,0,53,14282510,13861,2185,22,84,31,3,3,3,0,19,6752785,17402,3069,20,65,24,24,25,25,0,148,5641791,12652,2281,32,119,21,6,6,5,0,32,8707472,16554,2869,21,80,23,15,15,16,0,95,8392944,14907,2594,24,104,22,20,19,19,0,115,7096832,14117,2499,26,102,24
9,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d.exe,133346578010000000,1,58,59,58,0,351,2115124,10273,2005,38,161,23,40,40,40,0,238,5087150,13060,2546,32,135,16,20,19,20,0,118,8388688,15234,2667,27,106,20,36,37,37,0,221,5464330,13527,2478,30,139,19,24,24,24,0,145,6823102,14447,2584,30,118,22,23,23,23,0,138,6738534,14414,2742,28,104,15,43,42,42,0,253,1205804,7541,1537,40,164,18,38,29,29,0,194,7828518,14550,2599,34,126,28,22,23,30,0,169,6498656,16629,3058,37,122,24,42,42,77,0,397,1874808,12718,2542,42,145,21
