,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581280000000,1,0,0,0,0,16,0,2657,610,20,107,18,6,0,0,0,20,180086,4097,983,30,149,21,8,0,0,0,38,182834,4121,962,34,136,15,4,0,0,0,21,3412,4222,989,41,156,20,19,0,0,0,50,683658,4828,1048,43,194,22,0,0,0,0,35,0,4760,1166,36,141,8,0,0,0,0,44,0,5713,1225,37,146,10,0,0,0,0,11,0,2819,613,34,127,31,1,0,0,0,3,19267584,4263,930,32,185,52,0,0,0,0,0,0,6816,1501,24,259,113
1,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581290000000,1,0,0,0,0,0,0,8600,1892,21,313,123,0,0,0,0,0,0,10035,2208,23,363,120,7,0,0,0,60,2573,10105,2211,47,354,80,2,4,1,0,11,2676,6731,1304,31,110,15,1,2,1,0,6,25157324,8568,1408,14,68,40,0,0,0,0,0,0,15773,2151,13,31,7,0,0,0,0,1,0,11971,2059,18,40,12,0,0,0,0,0,0,13463,1220,13,9,7,0,0,0,0,0,0,12358,1124,14,10,4,0,0,0,0,0,0,12398,1128,12,10,5
2,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581300000000,1,0,0,0,0,0,0,10488,951,13,8,3,0,0,0,0,0,0,11872,1079,11,10,6,0,0,0,0,0,0,10337,938,13,7,3,0,0,0,0,0,0,13237,1201,13,7,3,0,0,0,0,0,0,19179,1743,20,7,2,0,0,0,0,0,0,21985,1997,24,6,2,0,0,0,0,0,0,20799,1890,22,7,2,0,0,0,0,0,0,21473,1949,22,6,3,0,0,0,0,0,0,19564,1778,21,9,4,0,0,0,0,0,0,17992,1634,18,6,2
3,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581310000000,1,0,0,0,0,0,0,21145,1920,22,8,2,0,1,0,0,1,54,13190,1685,17,213,147,0,1,0,0,0,25157184,19935,2745,18,68,21,2,18,1,0,26,154150,13720,2558,35,97,21,4,1,0,0,9,243671,17606,3098,36,25,7,4,2,0,0,10,115829,17451,3008,33,31,12,4,0,0,0,8,204439,16417,2834,29,19,7,4,0,0,0,8,174708,14390,2408,28,26,10,3,2,0,0,8,174455,14047,2456,27,23,8,3,0,0,0,6,185022,12262,2103,24,27,11
4,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581320000000,1,2,0,0,0,4,75046,8360,1407,17,17,7,2,8,1,0,15,8756,11699,2130,25,27,9,2,33,1,0,40,50224,8444,1603,35,97,10,1,11,2,0,19,49939,7281,1312,19,47,8,2,17,0,0,21,44536,8058,1504,20,66,16,3,0,0,0,6,9618,11602,2099,24,16,7,3,0,0,0,6,6687,11027,1994,22,17,7,3,0,0,0,6,158730,11068,1881,19,18,8,2,0,0,0,4,23756,8903,1588,19,18,4,2,0,0,0,4,78963,9585,1719,19,14,7
5,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581330000000,1,2,0,0,0,4,81527,9136,1571,20,26,11,2,0,0,0,4,78891,8727,1511,17,18,6,2,0,0,0,4,67020,7394,1290,13,25,12,2,0,0,0,4,2575,8805,1598,16,14,5,2,0,0,0,5,4180,8108,1471,21,27,7,3,0,0,0,5,6039,8175,1482,16,24,6,1,0,0,0,2,3417,5807,1051,11,15,4,1,0,0,0,2,2606,4482,856,12,17,6,0,0,0,0,0,0,2567,750,5,2,1,1,0,0,0,2,892,2377,426,6,12,2
6,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581340000000,1,1,4,0,0,6,10829,3383,824,9,12,6,1,2,1,0,7,8510,6963,1289,15,22,9,4,8,4,0,28,11852,12954,2355,26,19,8,0,56,1,0,59,70594,8741,1795,45,159,18,1,53,0,0,55,63486,6621,1387,39,131,24,1,18,1,0,23,149111,9275,1623,21,29,7,3,0,0,0,6,76266,9913,1738,20,15,6,3,1,0,0,7,172061,12375,2096,23,19,10,2,2,0,0,6,84664,10962,1965,21,12,5,3,0,0,0,6,114316,10226,1709,19,18,7
7,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581350000000,1,2,0,0,0,4,119545,11651,2009,21,10,5,2,0,0,0,3,60234,8449,1601,17,12,4,2,0,0,0,4,114474,8315,1429,16,23,9,2,2,0,0,6,114111,7843,1526,14,17,5,2,0,0,0,4,117677,7826,1316,14,14,8,2,0,0,0,4,127689,10140,1735,19,12,4,2,0,0,0,4,75046,10111,1720,19,14,7,1,8,0,0,10,11064,6301,1343,18,21,6,2,53,0,0,57,87520,10348,2294,23,67,13,2,0,0,0,4,5650,9428,1701,19,12,5
8,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581360000000,1,3,0,0,0,6,9698,12437,2252,23,13,7,3,0,0,0,6,146527,12029,2115,22,11,6,3,0,0,0,6,36916,12357,2175,26,13,7,3,0,0,0,6,147330,10925,1915,20,13,7,3,0,0,0,6,92051,10708,1880,19,17,10,2,0,0,0,4,67020,10954,1873,19,9,5,3,0,0,0,6,3864,9498,1724,18,12,6,3,0,0,0,6,6787,11265,2038,21,13,6,2,0,0,0,4,5560,9749,1767,18,6,4,2,12,0,0,16,17826,9441,1766,19,24,9
9,Symmyware-7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,hyBrDFjOidLuty.exe,133346581370000000,1,0,95,0,0,95,113430,8768,1859,31,83,16,2,18,2,0,28,18214,9139,1725,25,41,10,1,51,1,0,56,149460,8677,1638,38,99,18,3,36,2,0,48,232414,12084,2237,35,79,15,2,39,2,0,49,49248,12444,2358,36,91,18,2,45,2,0,55,863108,12864,2424,37,98,14,1,5,1,0,10,1715070,14946,2098,23,24,10,1,2,1,0,7,1951465,13231,1455,16,26,9,1,2,1,0,7,1851639,13677,1654,18,23,10,0,1,0,0,1,54,12568,1470,15,18,8
