,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598180000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,46,2,3,1,0,0,0,0,0,0,28,6,0,1,0,11,0,0,0,45,1200,8057,1745,43,141,38,13,0,0,10,52,3269,4945,1197,33,151,41,9,18,0,0,73,5670,12596,2303,44,100,22
1,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598190000000,1,0,0,0,0,0,0,13951,2307,39,43,8,0,0,0,0,0,0,10896,1801,30,37,13,0,0,0,0,0,0,12537,2074,35,39,11,0,0,0,0,0,0,13509,2237,39,40,10,0,0,0,0,0,0,13045,2164,37,44,13,0,0,0,0,0,0,15296,2534,45,40,14,0,0,0,0,0,0,11186,1881,33,59,19,7,12,0,0,23,11030,12045,2019,40,61,22,94,127,0,0,241,36883504,13813,2047,35,56,31,126,138,0,0,272,129502514,14517,1942,34,48,17
2,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598200000000,1,0,0,0,0,0,0,13371,2210,35,30,9,0,0,0,0,0,0,12619,2091,32,41,8,0,0,0,0,0,0,11469,1895,30,33,8,0,0,0,0,0,0,13740,2269,38,32,8,0,0,0,0,0,0,11731,1950,35,48,11,0,0,0,0,0,0,13874,2298,37,27,9,0,0,0,0,0,0,13299,2204,33,29,14,0,0,0,0,0,0,12594,2084,35,35,12,0,0,0,0,0,0,14139,2345,38,29,11,0,0,0,0,0,0,12449,2062,35,39,10
3,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598210000000,1,0,0,0,0,0,0,12463,2053,32,27,9,0,0,0,0,0,0,14118,2331,40,36,12,0,0,0,0,0,0,12424,2065,38,51,13,0,0,0,0,0,0,13360,2209,34,38,11,0,0,0,0,0,0,12131,2004,32,27,11,0,0,0,0,0,0,13675,2266,38,43,14,0,0,0,0,0,0,12911,2138,33,36,13,0,0,0,0,0,0,13393,2222,36,30,13,0,0,0,0,0,0,11729,1948,34,36,12,0,0,0,0,0,0,11951,1989,32,30,13
4,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598220000000,1,0,0,0,0,0,0,12780,2126,37,41,10,0,0,0,0,0,0,11295,1881,33,44,11,0,0,0,0,0,0,13564,2256,37,28,9,0,0,0,0,0,0,12927,2155,37,35,11,0,0,0,0,0,0,12247,2042,32,30,10,0,0,0,0,0,0,11878,1977,30,28,12,0,0,0,0,0,0,11605,1934,32,31,15,0,0,0,0,0,0,12876,2157,36,41,11,0,0,0,0,0,0,12964,2164,33,37,11,0,0,0,0,0,0,11292,1885,31,36,15
5,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598230000000,1,0,0,0,0,0,0,13496,2253,37,28,13,0,0,0,0,0,0,14076,2356,38,42,12,0,0,0,0,0,0,11558,1932,31,36,11,0,0,0,0,0,0,13734,2298,40,30,12,0,0,0,0,0,0,10980,1844,37,54,14,0,0,0,0,0,0,10580,1751,27,26,14,3,7,0,0,12,4864,13752,2286,38,45,22,0,0,0,0,0,0,14208,2358,39,38,18,0,0,0,0,0,0,13518,2269,40,52,21,0,0,0,0,0,0,13058,2172,38,33,17
6,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598240000000,1,0,0,0,0,0,0,11664,1936,30,36,18,0,0,0,0,0,0,12235,2036,42,42,22,0,0,0,0,0,0,12303,2049,35,36,17,0,0,0,0,0,0,13074,2171,38,41,16,0,0,0,0,0,0,13923,2317,42,46,21,0,0,0,0,0,0,12739,2116,35,37,19,0,0,0,0,0,0,14140,2420,37,47,20,0,0,0,0,0,0,14851,2467,41,43,18,0,0,0,0,0,0,12256,2038,35,40,20,0,0,0,0,0,0,12493,2079,39,46,17
7,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598250000000,1,0,0,0,0,0,0,11644,1935,29,30,19,0,0,0,0,0,0,13028,2162,36,36,21,0,0,0,0,0,0,13121,2178,39,40,19,0,0,0,0,0,0,13588,2257,36,43,22,0,0,0,0,0,0,12728,2111,38,46,25,0,0,0,0,0,0,13429,2233,38,42,21,0,0,0,0,0,0,13517,2244,37,38,13,0,0,0,0,0,0,10001,1663,31,31,17,0,0,0,0,0,0,10477,1741,28,33,15,0,0,0,0,0,0,9912,1692,24,34,12
8,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598260000000,1,0,0,0,0,0,0,9098,1513,22,27,17,0,0,0,0,0,0,9314,1549,25,23,9,0,0,0,0,0,0,11405,1895,33,33,15,0,0,0,0,0,0,10264,1703,28,26,16,0,0,0,0,0,0,10047,1669,28,29,18,0,0,0,0,0,0,12153,2017,28,32,16,0,0,0,0,0,0,10949,1826,32,39,20,0,0,0,0,0,0,10202,1695,27,23,13,0,0,0,0,0,0,11863,1966,31,33,18,0,0,0,0,0,0,10485,1744,31,32,15
9,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598270000000,1,0,0,0,0,0,0,10801,1797,28,29,15,0,0,0,0,0,0,10325,1712,27,29,15,0,0,0,0,0,0,11775,1959,32,40,17,0,0,0,0,0,0,13714,2279,38,44,9,0,0,0,0,0,0,11234,1868,30,36,16,0,0,0,0,0,0,12289,2039,34,31,12,0,0,0,0,0,0,11860,1970,33,36,19,0,0,0,0,0,0,10976,1827,31,33,22,0,0,0,0,0,0,12537,2080,31,39,21,0,0,0,0,0,0,10228,1701,30,32,19
10,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598280000000,1,0,0,0,0,0,0,11458,1902,30,26,15,0,0,0,0,0,0,11153,1861,31,35,17,40,54,0,0,102,13603264,10024,1571,28,45,20,0,0,0,0,0,0,10969,1822,29,27,16,15,16,0,0,34,1991048,12031,1970,35,48,25,96,124,0,0,233,94461066,12032,1691,24,40,16,159,176,0,0,345,282932078,13693,1679,27,51,17,178,186,0,0,369,564210480,12715,1383,21,36,12,173,181,0,0,357,643239600,13644,1578,26,46,12,37,57,0,0,110,21433714,12055,1992,35,39,16
11,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598290000000,1,199,199,0,0,399,769865728,13114,1345,17,24,11,206,218,0,0,429,604070448,14719,1576,21,22,9,44,88,0,0,156,1750668,10270,1679,28,35,14,15,34,0,0,59,24058,7545,1502,19,21,13,0,0,0,0,0,0,11120,3786,11,0,2,0,0,0,0,0,0,11563,3938,11,1,2,0,0,0,0,0,0,6305,2146,6,0,0,0,0,0,0,0,0,9947,3387,10,0,0,0,0,0,0,0,0,10070,3430,9,2,1,0,0,0,0,0,0,9903,3374,10,1,1
12,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,TFlower-6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe.exe,133346598300000000,1,0,0,0,0,0,0,8394,2860,8,1,0,0,0,0,0,0,0,9148,3116,9,1,2,0,0,0,0,0,0,9935,3384,10,0,0,0,0,0,0,0,0,9642,3284,9,1,1,0,0,0,0,0,0,7910,2695,8,2,0,0,0,0,0,0,0,6353,2164,6,2,1,0,0,0,0,0,0,9996,3405,9,1,0,0,0,0,0,0,0,10786,3675,11,0,0,0,0,0,0,0,0,10974,3738,11,1,0,0,0,0,0,0,0,10002,3406,9,0,0
