,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344021980000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,52,2,6,2,0,0,0,0,16,0,1768,378,14,50,11,1,2,0,0,6,2535,11474,1541,31,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022060000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,312,67,2,6,3,0,0,0,0,2,0,250,56,3,7,2,0,0,0,0,2,0,257,60,3,8,3
2,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022070000000,1,0,0,0,0,2,0,252,58,2,11,3,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,2,0,248,55,1,10,2,0,0,0,0,2,0,248,53,3,12,3,0,0,0,0,2,0,293,65,2,17,2,0,0,0,0,2,0,260,58,2,11,2,0,0,0,0,2,0,229,51,1,7,2,0,0,0,0,0,0,26,5,1,4,1,0,0,0,0,2,0,239,52,1,7,2,0,0,0,0,2,0,238,52,1,9,3
3,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022080000000,1,0,0,0,0,2,0,255,54,1,13,1,0,0,0,0,2,0,252,55,3,8,3,0,0,0,0,2,0,241,53,2,6,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,247,55,1,8,4,0,0,0,0,2,0,246,58,2,13,1,0,0,0,0,2,0,242,55,1,8,3,0,0,0,0,2,0,247,53,1,13,2,0,0,0,0,2,0,264,58,2,13,3,0,0,0,0,2,0,258,57,1,10,3
4,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022090000000,1,0,0,0,0,2,0,273,56,4,16,2,0,0,0,0,2,0,247,55,1,7,3,0,0,0,0,0,0,9,2,0,0,1,0,0,0,0,2,0,252,55,2,9,2,0,0,0,0,2,0,254,54,1,12,2,0,0,0,0,2,0,252,57,1,15,3,0,0,0,0,2,0,264,60,2,14,3,0,0,0,0,2,0,239,53,2,7,2,0,0,0,0,2,0,243,55,1,10,3,0,0,0,0,0,0,5,2,1,3,0
5,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022100000000,1,0,0,0,0,2,0,240,53,1,8,2,0,0,0,0,2,0,271,61,2,14,2,0,0,0,0,2,0,248,58,2,11,2,0,0,0,0,2,0,255,57,2,12,2,0,0,0,0,2,0,253,58,2,10,1,0,0,0,0,2,0,237,53,1,7,2,0,0,0,0,2,0,241,55,2,5,3,0,0,0,0,2,0,246,52,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,257,56,2,13,4
6,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022110000000,1,0,0,0,0,2,0,258,58,1,14,4,0,0,0,0,2,0,562,129,5,32,3,0,0,0,0,2,0,257,55,2,8,4,0,0,0,0,0,0,26,5,1,7,1,0,0,0,0,2,0,264,57,2,15,4,1,34,0,0,33,348596,8906,1345,30,132,19,10,37,0,0,39,1337281,77077,10861,84,232,71,8,30,0,0,40,2577326,67191,10534,62,179,63,3,6,0,0,12,375144,82026,13477,81,174,61,5,7,0,0,18,5102858,70698,11803,74,188,84
7,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022120000000,1,1,6,0,1,15,3032746,74338,14348,85,173,77,3,7,0,2,10,7503911,63240,11112,74,168,66,0,1,0,2,10,1827014,47560,9654,63,146,62,1,5,0,2,7,5589138,35508,7069,58,121,64,0,3,0,3,6,3894206,52371,10076,71,152,80,0,4,0,4,11,5884251,56212,11407,73,167,98,0,4,0,3,6,4993337,48370,9852,66,149,82,0,3,0,5,10,4952932,53903,10923,71,159,82,0,3,0,3,6,4603831,55865,11369,75,174,89,0,5,0,3,7,7735054,54302,10874,68,152,92
8,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022130000000,1,0,6,0,6,12,9393085,39891,7764,49,140,73,1,7,0,4,11,5523495,47237,9263,67,149,79,1,5,0,5,12,5172280,46962,9238,64,148,80,1,10,0,4,14,6917911,48873,9036,56,174,90,3,9,0,2,12,5873779,50855,9022,58,161,88,1,4,0,3,10,3079375,60605,11356,64,162,88,2,3,0,2,7,3238760,57658,10179,65,142,70,3,9,0,4,16,9371876,55791,9714,63,164,78,0,2,0,2,10,2901968,58450,11663,66,159,82,0,5,0,4,10,7826354,68324,13821,81,158,96
9,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904.exe,133344022140000000,1,0,2,0,3,6,3294131,55455,11289,62,138,86,0,5,0,4,8,7683586,55354,11281,67,163,93,0,7,0,3,8,8227194,46733,9330,60,138,77,1,11,0,7,20,11285646,64362,12191,78,234,129,3,6,0,4,12,3347418,54957,9878,60,136,74,2,8,0,3,15,7377653,57319,10332,65,186,105,2,10,0,3,15,6147951,70574,12856,73,175,84,2,6,0,2,10,3213028,60014,11386,71,159,81,2,8,0,4,16,8817571,52584,9297,61,161,72,1,5,0,3,9,5711486,61062,11446,70,167,89
