,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831160000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2833,641,25,95,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831260000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11441,2664,36,49,11,0,0,0,0,0,0,228,63,0,1,1,0,0,0,0,0,0,101,26,0,0,0,0,0,0,0,0,0,321,85,0,0,0,0,0,0,0,0,0,378,107,0,0,2,0,0,0,0,0,0,317,84,1,0,0,0,0,0,0,0,0,157,48,0,1,0,0,0,0,0,0,0,249,70,1,0,0
2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831270000000,1,0,0,0,0,0,0,375,107,1,0,0,0,0,0,0,0,0,392,113,1,0,0,0,0,0,0,0,0,366,103,1,0,2,0,0,0,0,0,0,287,72,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,387,111,1,0,1,0,0,0,0,0,0,409,120,1,1,0,0,0,0,0,0,0,365,103,0,1,0,0,0,0,0,0,0,143,44,1,0,1,0,0,0,0,0,0,266,76,0,1,0
3,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831280000000,1,0,0,0,0,0,0,254,58,1,1,0,0,0,0,0,0,0,290,73,1,1,1,0,0,0,0,0,0,398,116,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,287,72,1,1,0,0,0,0,0,0,0,391,113,0,0,0,0,0,0,0,0,0,388,112,0,0,0,0,0,0,0,0,0,359,99,1,1,2,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,392,113,0,0,1
4,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831290000000,1,0,0,0,0,0,0,304,79,1,0,0,0,0,0,0,0,0,382,109,1,2,2,0,0,0,0,0,0,367,104,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,370,104,0,0,0,0,0,0,0,0,0,389,112,1,0,1,0,0,0,0,0,0,343,94,1,1,1,0,0,0,0,0,0,387,112,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,383,110,0,0,1
5,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831300000000,1,0,0,0,0,0,0,295,75,1,1,0,0,0,0,0,0,0,359,101,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,349,96,0,0,1,0,0,0,0,0,0,324,85,1,0,0,0,0,0,0,0,0,291,72,0,0,0,0,0,0,0,0,0,374,106,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,310,80,0,1,0,0,0,0,0,0,0,344,94,0,0,0
6,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831310000000,1,0,0,0,0,0,0,351,97,1,0,0,0,0,0,0,0,0,285,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,70,1,2,0,0,0,0,0,0,0,287,73,0,0,0,0,0,0,0,0,0,295,75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,329,89,1,1,0,0,0,0,0,0,0,382,110,1,0,0,0,0,0,0,0,0,379,107,1,0,1
7,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831320000000,1,0,0,0,0,0,0,393,113,1,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,332,90,1,1,1,0,0,0,0,0,0,393,113,0,1,0,0,0,0,0,0,0,315,83,1,0,0,0,0,0,0,0,0,380,108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,385,111,1,0,0,0,0,0,0,0,0,379,108,0,0,0,0,0,0,0,0,0,393,114,1,1,0
8,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831330000000,1,0,0,0,0,0,0,385,110,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,286,71,1,1,0,0,0,0,0,0,0,287,71,1,0,0,0,0,0,0,0,0,304,79,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,311,82,0,0,1,0,0,0,0,0,0,383,110,0,0,1,0,0,0,0,0,0,432,130,1,1,0,0,0,0,0,0,0,391,113,0,1,0
9,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2.exe,133343831340000000,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,386,111,0,2,1,0,0,0,0,0,0,372,105,0,0,1,0,0,0,0,0,0,350,97,1,1,1,0,0,0,0,0,0,386,111,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,383,111,1,1,0,0,0,0,0,0,0,384,110,0,0,1,0,0,0,0,0,0,379,108,1,0,0,0,0,0,0,0,0,389,113,1,0,0
