,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730300000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,474,112,3,18,4,276,284,0,7,605,3715154419,28952,6303,98,406,59,891,975,0,0,1898,12742338302,46776,9944,91,260,43
1,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730310000000,1,848,914,0,24,1787,14191831648,45422,10822,106,336,62,726,713,0,41,1486,12634082076,44346,10015,109,423,52,863,887,0,38,1801,14661282235,42065,8997,108,358,59,898,975,0,6,1880,18982280647,38380,7821,72,208,43,1013,1112,0,2,2126,24042222913,44150,9461,88,196,39,929,1013,0,4,1946,24840710946,42599,9339,93,282,44,804,824,0,6,1635,19825680722,33530,7544,71,168,44,943,964,0,7,1913,21640881136,39213,8652,77,220,42,963,1017,0,10,1990,21743516079,40301,8178,72,154,40,937,974,0,19,1931,23151794708,38014,7909,79,175,42
2,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730320000000,1,1100,1201,0,9,2310,25504022929,44719,9636,79,154,39,912,949,0,6,1866,7753256558,34470,6736,65,152,40,537,564,0,6,1108,739539106,20252,3161,41,95,29,315,335,0,6,656,354200492,12126,1665,24,60,22,440,479,0,5,923,544237514,17213,2422,33,64,23,369,400,0,9,779,501898303,14323,1993,33,79,26,501,534,0,5,1039,1875640712,14220,2302,29,68,26,629,666,0,2,1298,2622850080,17141,2685,28,46,18,451,470,0,8,928,532767135,17749,2470,33,72,22,440,469,0,1,910,993752902,14421,2011,26,49,22
3,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730330000000,1,652,692,0,2,1347,3518395896,16644,2725,31,49,21,725,764,0,6,1494,4793909393,17541,2881,37,76,21,508,539,0,2,1049,975802792,18100,2553,31,54,22,399,411,0,14,824,227396209,15180,2133,36,102,32,608,645,0,2,1255,1573531529,19124,2783,35,59,23,526,551,0,4,1082,921452025,18515,2609,33,62,23,700,755,0,1,1455,4142883888,19175,2879,34,51,22,740,784,0,2,1527,6695305032,17368,3145,32,57,20,665,708,0,0,1372,4246042624,17169,2734,28,41,18,568,594,0,8,1171,3195273646,16209,2576,33,78,20
4,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730340000000,1,463,491,0,2,956,821012568,17569,2432,31,52,21,447,466,0,9,922,362610847,15726,2215,33,77,22,272,281,0,9,562,374817402,10986,1573,29,81,24,348,370,0,0,718,2526443520,12289,2031,21,37,17,580,617,0,0,1197,5407172608,15032,2819,26,51,18,464,496,0,0,959,5391147008,11872,2331,22,39,14,350,356,0,17,723,545477280,14033,2119,36,104,24,273,289,0,2,565,226915408,11996,1698,21,46,18,235,236,0,13,483,79057881,9661,1442,29,76,21,195,199,0,12,407,36423206,8526,1306,28,77,24
5,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730350000000,1,346,362,0,8,715,481337176,12726,1818,27,66,20,324,330,0,9,663,178963680,12716,1964,26,60,18,181,178,0,13,373,16426701,8582,1543,24,70,15,68,73,0,0,140,276434944,13441,1970,28,52,17,300,315,0,5,621,1358623580,9427,1655,23,48,19,268,285,0,0,552,3381073920,9046,1477,17,50,14,347,369,0,0,716,4857842176,8152,1419,17,45,16,392,416,0,0,809,6115405824,9076,1597,22,58,18,343,373,0,0,716,5942727168,10277,2165,18,29,13,445,473,0,0,918,8422934016,11176,2121,19,33,15
6,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730360000000,1,535,568,0,0,1103,11261637120,12668,2219,23,37,17,489,519,0,1,1008,9881578416,12824,2155,24,39,17,381,404,0,1,787,1355183672,13038,1843,21,38,17,503,530,0,5,1038,2596940716,12220,2080,26,50,16,358,365,0,12,735,346739695,14162,2018,29,85,24,503,534,0,2,1039,1712866310,13144,2034,26,50,22,370,382,0,9,761,217385290,15016,2131,35,81,26,387,398,0,8,793,257842461,14608,2000,31,74,25,514,542,0,5,1061,2645360690,15863,2403,31,68,18,520,552,0,0,1072,4126760960,12044,2102,23,44,19
7,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730370000000,1,315,330,0,3,647,1500823145,12283,2167,24,59,18,483,515,0,4,1002,1109878637,14165,2137,28,52,23,382,418,0,10,811,275467947,15351,2176,33,71,23,411,442,0,8,861,1039549170,16334,2263,34,70,20,563,655,0,0,1218,5068020224,15264,2541,27,40,19,603,735,0,0,1337,7242852864,15431,2714,26,40,19,452,523,0,7,982,5189375510,13506,2300,29,65,20,323,358,0,10,691,320178523,12111,1671,31,95,26,442,544,0,0,986,1927585240,13762,2226,24,44,19,470,525,0,1,997,1945123692,14661,2247,25,49,21
8,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730380000000,1,413,457,0,2,872,1698193072,12201,2066,24,49,19,371,434,0,1,805,1091734802,13107,1876,24,49,21,442,472,0,8,922,1507964791,12468,2088,29,79,25,425,486,0,3,914,659402956,15540,2162,31,59,24,382,426,0,1,810,3501723800,13324,1997,24,49,21,562,633,0,0,1194,6606303232,13725,2566,24,37,17,554,628,0,0,1182,7972065280,12478,2164,21,36,17,592,648,0,1,1241,9669984176,15223,2658,30,50,21,317,330,0,18,665,54599026,12941,1944,34,110,24,341,358,0,12,712,116931236,12806,1799,32,86,24
9,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043,XCry-e32c8b2da15e294e2ad8e1df5c0b655805d9c820e85a33e6a724b65c07d1a043.exe,133346730390000000,1,340,357,0,7,704,535389680,12952,1892,29,71,24,427,457,0,1,885,1908871053,12459,1875,23,48,20,437,468,0,2,907,2462964607,11157,2097,22,59,21,273,294,0,6,573,151320036,11266,1591,25,61,22,289,312,0,5,606,224297220,11635,1743,22,50,18,260,275,0,6,540,218396426,10756,1520,24,64,21,354,382,0,1,738,852540248,12765,1652,22,38,20,442,472,0,0,913,2136763392,10067,1771,21,42,20,341,353,0,8,702,373133309,11991,1637,23,52,20,307,320,0,5,633,414499025,12151,1679,25,53,22
