,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985040000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,147,32,2,9,4,0,0,0,0,0,0,3213,783,12,61,25,0,0,0,0,0,0,10,3,1,4,2,0,0,0,0,0,0,13,2,0,2,2,0,0,0,0,0,0,6,2,1,3,2,0,0,0,0,0,0,66,15,0,9,4
1,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985050000000,1,0,0,0,0,0,0,47,9,2,6,1,393,0,0,0,432,1036872320,8649,1663,49,202,66,271,0,0,0,272,716814512,17880,3699,35,30,11,12,20,0,0,66,84992768,13005,2636,74,259,73,0,0,0,0,0,0,379,71,2,9,6,0,0,0,0,0,0,4,1,0,3,1,0,0,0,0,0,0,65,14,0,5,2,0,0,0,0,0,0,38,9,1,2,2,0,0,0,0,0,0,33,6,2,5,4,0,0,0,0,0,0,6,1,1,2,2
2,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985060000000,1,0,0,0,0,0,0,511,66,4,11,5,0,0,0,0,0,0,87,18,1,5,3,0,0,0,0,0,0,513,92,6,15,4,0,0,0,0,7,0,646,148,5,34,11,0,0,0,0,7,0,4253,699,34,136,32,5,0,0,0,6,96591872,1222,248,16,56,13,0,0,0,0,0,0,232,53,2,4,6,0,0,0,0,4,0,1208,204,11,33,10,0,0,0,0,2,0,888,193,10,33,14,0,0,0,0,24,0,7490,1638,46,109,30
3,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985070000000,1,0,0,0,0,4,0,4475,1006,24,68,12,0,0,0,0,0,0,208,48,1,10,3,6,0,0,0,6,137920512,1172,238,12,55,16,0,0,0,0,1,0,603,124,6,24,9,0,0,0,0,0,0,3328,672,13,26,7,0,0,0,0,0,0,233,48,4,9,3,0,0,0,0,0,0,34,4,0,3,2,0,0,0,0,0,0,30,8,0,3,3,0,0,0,0,0,0,26,4,1,2,1,0,1,0,0,1,1118208,3900,872,13,30,7
4,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985080000000,1,0,0,0,0,0,0,18,2,1,2,2,0,0,0,0,0,0,46,8,1,3,1,0,0,0,0,0,0,32,6,0,2,2,0,0,0,0,0,0,66,11,2,7,3,0,0,0,0,0,0,32,8,0,1,1,0,2,0,0,2,2170880,2769,551,6,6,3,0,0,0,0,0,0,621,128,6,21,6,0,0,0,0,0,0,169,37,4,10,3,1,0,0,0,1,3145728,292,64,6,13,6,0,0,0,0,0,0,673,140,8,14,6
5,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985090000000,1,0,0,0,0,0,0,18,4,1,2,0,0,0,0,0,0,0,39,7,1,7,2,0,0,0,0,0,0,79,16,1,3,1,0,0,0,0,0,0,3288,668,12,29,9,0,0,0,0,0,0,25,5,2,0,0,0,0,0,0,0,0,17,3,1,4,0,0,1,0,0,1,1052672,94,13,0,2,2,0,0,0,0,0,0,33,6,1,4,2,0,0,0,0,0,0,14,3,0,2,0,0,0,0,0,0,0,86,18,1,5,4
6,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985100000000,1,0,0,0,0,0,0,3184,646,10,21,6,0,0,0,0,0,0,722,147,11,37,9,0,0,0,0,0,0,24,3,1,1,2,0,0,0,0,0,0,20,3,0,1,0,0,0,0,0,0,0,31,7,2,1,4,0,0,0,0,0,0,24,5,2,3,2,0,0,0,0,0,0,322,66,1,8,2,2,0,0,0,2,45973504,3952,807,16,49,9,1,0,0,0,6,3145728,2113,442,16,51,13,28,0,0,0,40,355074048,7671,1592,59,167,38
7,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985110000000,1,0,0,0,0,0,0,99,20,2,11,2,0,0,0,0,0,0,99,18,0,12,4,0,0,0,0,0,0,223,46,4,22,4,0,0,0,0,0,0,143,32,3,17,2,0,0,0,0,0,0,124,27,1,12,4,0,1,0,0,1,5312512,1301,254,4,15,6,9,0,0,0,9,170196992,988,201,9,30,9,0,0,0,0,0,0,1170,232,18,45,7,0,0,0,0,0,0,264,58,5,19,10,0,0,0,0,0,0,39,6,0,3,3
8,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985120000000,1,0,0,0,0,0,0,46,6,1,6,2,0,1,0,0,1,1052672,151,28,0,9,2,0,0,0,0,0,0,470,98,5,15,5,1,0,0,0,1,22986752,1272,257,8,29,8,1,0,0,0,1,22986752,2062,439,15,53,10,6,0,0,0,6,18874368,7894,1645,45,132,14,0,0,0,0,0,0,7979,1638,35,111,19,0,0,0,0,0,0,6473,1359,34,91,14,0,0,0,0,0,0,7750,1616,44,113,10,0,0,0,0,0,0,7448,1693,29,79,13
9,Yashma-7ff02d597c1d6d81252edc66749f979c3f61b5e2ebd76ecbbec75859c21baf83,svchost.exe,133343985130000000,1,0,0,0,0,0,0,8468,1767,39,139,8,0,0,0,0,0,0,2486,508,4,19,2,0,0,0,0,0,0,50,10,1,3,2,0,0,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,42,9,0,1,2,0,0,0,0,0,0,12,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,2,0
