,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685150000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,29,180086,631,134,2,11,3,6,0,0,0,23,180530,2238,440,8,49,20,0,0,0,0,0,0,2459,489,2,34,14,0,0,0,0,0,0,2378,470,1,29,12,0,0,0,0,0,0,2361,457,3,58,15,0,0,0,0,0,0,1566,312,2,38,12,0,0,0,0,0,0,210,49,5,12,0,0,0,0,0,0,0,192,43,2,14,0
1,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685160000000,1,0,0,0,0,0,0,205,38,2,11,1,0,0,0,0,0,0,222,50,1,12,1,0,0,0,0,0,0,201,30,1,14,1,0,0,0,0,0,0,240,55,3,11,0,0,0,0,0,0,0,223,48,1,15,0,0,0,0,0,0,0,530,112,1,31,5,0,0,0,0,0,0,2066,418,1,12,4,1,1,0,0,10,520,2317,455,6,62,20,11,107,3,0,137,13123683,6256,984,10,19,5,2,385,2,0,397,244214958,5223,952,32,17,10
2,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685170000000,1,3,91,3,0,109,4997466,6498,1023,5,13,4,5,86,5,0,116,2577348,6745,1072,6,11,5,4,68,4,0,92,2060664,7188,1170,6,11,4,3,226,3,0,247,39179482,7748,1103,6,14,5,4,246,4,0,267,82179400,7924,1108,6,13,5,3,12,3,0,30,1024551,8513,1128,5,12,5,2,332,2,0,344,190711554,9057,1039,5,9,5,2,734,2,0,746,770676446,7219,1011,3,22,12,0,361,0,0,361,134189056,6526,637,7,12,10,0,246,0,0,245,244346880,496,79,0,2,1
3,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685180000000,1,0,290,0,0,294,447218208,754,123,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685200000000,1,3,70,4,0,89,5274939,7321,1338,35,15,7,5,448,5,0,478,255853563,8000,1247,6,16,8,4,177,4,0,201,26041809,8144,1219,6,12,5,3,76,3,0,94,6153343,8396,1153,5,11,4,3,460,3,0,478,355183962,7771,1077,5,16,8,3,187,3,0,205,26698960,6493,933,6,12,5,3,138,3,0,156,25996292,6236,930,5,10,4,3,244,3,0,262,48790224,6627,895,4,13,6,2,73,2,0,85,4735838,6941,1546,4,7,4,0,0,0,0,0,0,7738,2594,2,0,0
5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685210000000,1,0,0,0,0,0,0,6452,2162,2,1,0,0,0,0,0,0,0,7883,2642,3,0,0,0,0,0,0,0,0,7672,2571,1,0,0,0,0,0,0,0,0,4766,1597,0,0,0,0,0,0,0,0,0,7666,2571,1,0,0,0,0,0,0,0,0,6093,2040,2,0,0,0,0,0,0,0,0,3738,1254,1,0,0,0,0,0,0,0,0,2652,889,0,0,1,0,0,0,0,0,0,3763,1260,1,0,0,0,0,0,0,0,0,5967,1999,1,0,0
6,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685220000000,1,0,0,0,0,0,0,4412,1479,1,0,0,0,0,0,0,0,0,6928,2322,1,0,0,0,0,0,0,0,0,3670,1230,1,0,0,0,0,0,0,0,0,7459,2500,2,0,0,0,0,0,0,0,0,4048,1357,1,0,0,0,0,0,0,0,0,5037,1689,2,0,0,0,0,0,0,0,0,2976,999,0,0,0,0,0,0,0,0,0,4080,1367,1,0,0,0,0,0,0,0,0,4859,1629,1,0,0,0,0,0,0,0,0,4228,1418,2,0,1
7,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685230000000,1,0,0,0,0,0,0,5977,2004,1,0,0,0,0,0,0,0,0,4635,1553,0,0,0,0,0,0,0,0,0,987,331,0,0,0,0,0,0,0,0,0,4394,1472,1,0,0,0,0,0,0,0,0,4747,1590,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4404,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5223,1751,2,0,0,0,0,0,0,0,0,575,193,0,0,0
8,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685240000000,1,0,0,0,0,0,0,5065,1698,1,0,0,0,0,0,0,0,0,2336,782,0,1,0,0,0,0,0,0,0,1924,645,1,0,0,0,0,0,0,0,0,1470,492,1,0,0,0,0,0,0,0,0,4279,1435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4399,1474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441,1153,0,0,0,0,0,0,0,0,0,962,322,1,0,0
9,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5,aacce549a756cd942ee79f57625d0902ce79315f4e4bfb1381afa208599d7be5.exe,133497685250000000,1,0,0,0,0,0,0,1223,410,0,0,1,0,0,0,0,0,0,4180,1401,1,0,0,0,0,0,0,0,0,803,269,0,0,0,0,0,0,0,0,0,4802,1610,1,0,0,0,0,0,0,0,0,1903,638,0,0,0,0,0,0,0,0,0,2729,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4521,1514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,13,1930804,5131,1634,0,3,2
