,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867020000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,112,3,0,0,0,0,0,0,0,0,9318,1610,52,61,24,0,0,0,0,0,0,536,141,3,17,8,0,0,0,0,0,0,9,2,0,1,1
1,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867030000000,1,0,0,0,0,0,0,302,60,1,15,4,0,12,0,0,75,19132,5369,1120,41,175,47,2,0,0,0,8,139264,2755,618,13,34,15,0,0,0,0,1,0,76,17,1,5,0,0,0,0,0,0,0,152,31,2,4,0,0,0,0,0,0,0,4718,1041,20,69,12,0,0,0,0,0,0,15810,3093,34,89,36,0,0,0,0,0,0,14908,2777,21,36,12,0,0,0,0,0,0,15329,3398,31,50,16,0,0,0,0,0,0,17315,4482,49,71,22
2,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867040000000,1,0,0,0,0,0,0,16848,4122,78,180,42,0,0,0,0,0,0,13137,3112,53,140,26,0,0,0,0,0,0,2116,477,21,85,24,0,0,0,0,7,0,535,122,7,27,6,0,0,0,0,0,0,10784,1999,35,131,81,0,0,0,0,0,0,28129,4113,49,351,214,0,3,0,0,23,2960,26969,4082,48,358,177,0,0,0,0,0,0,28507,4431,62,295,160,0,0,0,0,0,0,29705,5611,210,73,21,0,0,0,0,0,0,22839,4497,140,166,65
3,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867050000000,1,0,0,0,0,0,0,24730,4675,88,182,106,0,0,0,0,0,0,22886,4232,105,201,88,0,0,0,0,0,0,20117,3645,101,144,62,0,0,0,0,0,0,16250,2915,94,78,19,0,0,0,0,0,0,15011,2743,85,99,26,0,0,0,0,0,0,17108,2666,47,69,25,0,0,0,0,0,0,15737,2913,59,42,16,0,16,0,0,48,57248,7384,1386,43,43,11,0,0,0,0,0,0,13,3,0,4,2,0,0,0,0,0,0,19,4,0,5,2
4,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867060000000,1,0,0,0,0,0,0,12,5,1,3,1,0,0,0,0,0,0,13,4,0,2,0,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,13,2,0,4,0,0,0,0,0,0,0,14,3,0,3,1,0,0,0,0,0,0,63,12,1,5,2,0,0,0,0,0,0,12,1,2,2,1,0,0,0,0,0,0,48,9,0,3,2,0,0,0,0,0,0,13,4,0,4,2,0,0,0,0,0,0,26,6,1,6,3
5,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867070000000,1,0,0,0,0,0,0,29,5,0,3,2,0,0,0,0,0,0,19,6,0,6,2,0,2,0,0,6,30136,3587,671,19,26,6,0,0,0,0,0,0,13,1,0,3,3,0,0,0,0,0,0,20,6,1,4,1,0,0,0,0,0,0,10,1,0,3,0,0,0,0,0,0,0,16,6,2,3,1,0,0,0,0,0,0,15,2,0,4,1,0,0,0,0,0,0,12,2,2,3,2,0,0,0,0,0,0,22,4,0,3,0
6,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867080000000,1,0,0,0,0,0,0,1615,308,8,14,4,0,0,0,0,0,0,61,14,2,13,0,0,0,0,0,0,0,12,3,1,3,2,0,0,0,0,0,0,14,0,0,3,2,0,0,0,0,0,0,14,3,0,3,1,0,0,0,0,0,0,64,11,1,7,3,0,0,0,0,0,0,10,1,0,4,1,0,0,0,0,0,0,48,10,1,4,1,0,0,0,0,0,0,15,3,0,2,1,0,0,0,0,0,0,21,5,2,6,2
7,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867090000000,1,0,0,0,0,0,0,14,2,0,2,0,0,0,0,0,0,0,9,4,1,1,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,19,5,1,4,5,0,0,0,0,0,0,14,3,1,4,0,0,0,0,0,0,0,14,2,2,3,0,0,0,0,0,0,0,12,2,0,4,0,0,0,0,0,0,0,14,3,1,4,1,0,0,0,0,0,0,14,2,1,3,0,0,0,0,0,0,0,21,3,0,2,0
8,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867100000000,1,0,0,0,0,0,0,13,4,0,3,1,0,1,0,0,3,5598,313,60,3,8,2,0,0,0,0,0,0,12,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,10,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2,0,1,0
9,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867110000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,382,113,15,4,2,1,1,0,0,5,1308,7935,1745,73,225,19,0,0,0,0,0,0,8918,1958,47,230,19,0,0,0,0,0,0,6192,1382,47,232,15,0,0,0,0,0,0,7748,1741,45,215,13,0,0,0,0,0,0,6594,1558,26,165,6,0,0,0,0,0,0,6604,1435,52,270,9,0,0,0,0,0,0,6984,1534,55,248,14,0,0,0,0,0,0,7380,1563,55,257,11
10,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867120000000,1,0,0,0,0,0,0,6160,1321,26,189,10,0,0,0,0,0,0,1677,374,13,143,3,14,11,14,0,75,327058166,16092,2547,56,210,14,22,5,0,0,27,679243698,25223,3889,84,244,17,16,4,0,0,20,503143480,23185,3815,91,268,34,20,5,0,0,30,578630230,32259,5372,97,307,31,23,5,0,0,28,680415662,28164,4531,113,286,21,10,13,57,0,243,204040409,21158,3776,106,337,26,12,27,19,0,99,7670046,34466,6950,127,295,25,7,18,62,0,259,95874,20984,4396,89,384,29
11,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867130000000,1,1,6,97,0,392,237297,30448,7012,117,534,44,4,4,2,0,15,39833944,22136,3477,143,250,17,4,4,0,0,8,39833944,23007,3436,135,229,18,4,3,0,0,7,34854701,24455,3858,139,231,24,3,4,0,0,7,34854701,26670,4566,139,230,24,2,2,0,0,4,19916972,13489,2054,86,139,25,4,5,2,0,15,43914525,22534,3822,115,228,23,4,5,0,0,9,36829440,21177,3087,132,225,12,4,3,0,0,7,28645120,25168,4115,142,224,22,3,4,0,0,7,28645120,24389,3866,120,183,20
12,dalexis_c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133343867140000000,1,4,11,0,0,15,35099298,24103,3371,108,136,45,6,10,2,0,27,62539371,27158,4105,133,89,21,3,2,0,0,5,43074240,16339,2586,83,92,28,6,4,0,0,12,64036593,31246,5356,147,117,28,4,5,0,0,8,68925310,31050,5149,132,129,27,3,3,0,0,7,51689088,32630,5301,127,153,22,4,4,0,0,8,68918784,26454,3890,95,42,12,4,4,0,0,8,68918784,27255,4020,102,48,16,3,3,0,0,6,51689088,31478,5153,151,169,29,4,3,0,0,7,60303936,32076,5394,159,163,42
