,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775790000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,13,0,2,1
1,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775800000000,1,0,0,0,0,4,0,6183,882,16,4,2,0,0,0,0,0,0,7332,1035,14,1,2,0,0,0,0,0,0,8941,1262,20,0,0,0,1,0,0,1,625,8006,1133,19,3,0,0,2,0,0,2,1250,9580,1356,21,2,1,0,9,0,0,10,89409363,11279,1474,22,7,0,0,33,0,0,33,461939938,17523,2044,23,15,2,0,31,0,0,31,461938688,16299,1858,20,11,1,0,11,2,0,16,134115912,11456,1496,22,7,1,0,0,0,0,0,0,8926,1263,20,2,1
2,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775810000000,1,0,0,0,0,0,0,9408,1328,21,1,2,0,0,0,0,0,0,8805,1244,19,2,0,0,0,0,0,0,0,8969,1266,20,0,0,0,0,0,0,0,0,9438,1333,22,2,0,0,0,0,0,0,0,9504,1343,21,1,1,0,0,0,0,0,0,9208,1300,21,1,0,0,0,0,0,0,0,9702,1368,22,0,0,0,0,0,0,0,0,9014,1273,21,3,0,0,0,0,0,0,0,9167,1295,22,0,1,0,0,0,0,0,0,9026,1275,20,0,0
3,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775820000000,1,0,0,0,0,0,0,9170,1295,20,1,1,0,0,0,0,0,0,8355,1179,20,1,0,0,0,0,0,0,0,8543,1206,20,1,0,0,0,0,0,0,0,9296,1311,21,0,0,0,0,0,0,0,0,9225,1302,21,1,0,0,0,0,0,0,0,9229,1304,20,0,0,0,0,0,0,0,0,9207,1299,21,1,0,0,0,0,0,0,0,9232,1306,21,1,1,0,0,0,0,0,0,9498,1339,21,1,0,0,0,0,0,0,0,9075,1281,20,0,1
4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775830000000,1,0,0,0,0,0,0,7628,1076,18,1,0,0,0,0,0,0,0,9534,1346,21,1,0,0,0,0,0,0,0,7867,1111,18,1,0,0,0,0,0,0,0,9481,1339,22,1,1,0,0,0,0,0,0,8983,1268,20,0,0,0,0,0,0,0,0,9525,1345,22,1,1,0,1,0,0,1,625,9004,1276,21,2,1,0,0,0,0,0,0,9673,1365,22,0,1,0,0,0,0,0,0,8801,1247,21,1,0,0,0,0,0,1,0,9511,1344,21,1,0
5,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775840000000,1,0,3,0,0,5,1083391,10311,1406,22,0,1,0,0,0,0,0,0,9557,1349,22,2,1,0,0,0,0,1,0,9128,1288,21,1,0,0,3,0,0,3,30660,9218,1292,21,3,1,0,0,0,0,0,0,9098,1284,20,1,0,0,0,0,0,0,0,9476,1338,21,0,0,0,0,0,0,0,0,9553,1349,21,2,0,0,0,0,0,0,0,9248,1305,21,0,0,0,0,0,0,0,0,9435,1332,22,1,1,0,0,0,0,0,0,9354,1321,20,1,0
6,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775850000000,1,0,0,0,0,0,0,9109,1286,21,0,0,0,0,0,0,0,0,9084,1282,20,1,1,0,0,0,0,0,0,9659,1362,22,0,0,0,0,0,0,0,0,8163,1158,17,0,0,0,0,0,0,0,0,6547,925,13,0,0,0,0,0,0,0,0,7494,1061,18,4,0,0,0,0,0,0,0,8248,1172,19,2,0,0,0,0,0,0,0,8177,1156,16,2,1,0,0,0,0,0,0,7463,1054,17,0,0,0,0,0,0,0,0,8962,1265,23,0,1
7,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775860000000,1,0,0,0,0,0,0,7973,1127,19,0,0,0,0,0,0,0,0,8099,1144,20,1,1,0,0,0,0,0,0,8777,1239,19,2,0,0,0,0,0,0,0,8262,1167,18,0,0,0,0,0,0,0,0,8415,1188,20,1,0,0,0,0,0,0,0,8654,1223,19,1,0,0,0,0,0,0,0,7847,1109,19,1,1,0,0,0,0,0,0,7504,1059,17,0,0,0,0,0,0,0,0,8947,1263,20,1,0,0,0,0,0,0,0,8735,1232,21,1,0
8,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775870000000,1,0,0,0,0,0,0,8781,1241,20,2,0,0,0,0,0,0,0,8628,1218,19,1,0,0,0,0,0,0,0,8474,1197,19,2,0,0,0,0,0,0,0,8360,1183,18,2,0,0,0,0,0,0,0,7351,1038,16,1,0,0,0,0,0,0,0,8703,1240,20,1,0,0,0,0,0,0,0,9031,1274,19,0,0,0,0,0,0,0,0,8099,1143,19,0,0,0,0,0,0,0,0,8332,1175,19,1,1,0,0,0,0,0,0,9079,1281,20,0,0
9,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775880000000,1,0,0,0,0,0,0,8389,1180,21,4,0,0,0,0,0,0,0,8675,1225,20,1,1,0,0,0,0,0,0,8956,1264,20,0,0,0,0,0,0,0,0,9045,1277,19,0,0,0,0,0,0,0,0,9093,1284,21,0,0,0,0,0,0,0,0,7355,1039,15,2,0,0,0,0,0,0,0,9292,1312,21,0,0,0,0,0,0,0,0,8897,1257,21,1,0,0,0,0,0,0,0,9281,1310,21,0,0,0,0,0,0,0,0,8877,1252,20,2,0
10,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775890000000,1,0,0,0,0,0,0,9039,1278,20,0,0,0,0,0,0,0,0,8226,1161,20,2,0,0,0,0,0,0,0,8858,1252,20,1,0,0,0,0,0,0,0,8234,1160,20,1,0,0,0,0,0,0,0,8827,1246,20,1,0,0,0,0,0,0,0,8760,1248,20,1,0,0,0,0,0,0,0,7729,1090,18,0,0,0,0,0,0,0,0,8705,1229,20,0,0,0,0,0,0,0,0,8992,1270,21,1,0,0,0,0,0,0,0,9311,1315,22,0,1
11,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775900000000,1,0,0,0,0,0,0,8901,1257,19,2,0,0,0,0,0,0,0,8643,1219,23,1,0,0,0,0,0,0,0,8332,1176,19,2,0,0,0,0,0,0,0,7272,1027,17,1,1,0,0,0,0,0,0,9083,1282,20,0,0,0,0,0,0,0,0,8933,1262,20,1,0,0,0,0,0,0,0,8345,1178,19,0,1,0,0,0,0,0,0,9647,1361,21,1,0,0,0,0,0,0,0,7943,1121,18,0,0,0,0,0,0,0,0,7799,1101,18,2,1
12,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775910000000,1,0,0,0,0,0,0,9383,1325,21,0,0,0,0,0,0,0,0,9410,1329,21,0,0,0,0,0,0,0,0,9488,1339,21,0,0,0,0,0,0,0,0,9135,1290,21,1,0,0,0,0,0,0,0,9301,1315,21,0,0,0,0,0,0,0,0,9526,1344,22,0,0,0,0,0,0,0,0,9408,1329,21,1,1,0,0,0,0,0,0,8091,1148,17,1,0,0,0,0,0,0,0,9530,1344,21,0,1,0,0,0,0,0,0,9090,1284,20,0,0
13,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775920000000,1,0,0,0,0,0,0,9351,1320,22,1,0,0,0,0,0,0,0,8933,1262,20,0,0,0,0,0,0,0,0,9350,1320,21,1,1,0,0,0,0,0,0,9070,1281,20,0,0,0,0,0,0,0,0,8961,1265,20,1,0,0,0,0,0,0,0,8999,1270,20,0,0,0,0,0,0,0,0,9578,1352,22,0,0,0,0,0,0,0,0,8506,1201,19,1,0,0,0,0,0,0,0,8530,1204,19,1,1,0,0,0,0,0,0,7397,1044,17,0,0
14,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775930000000,1,0,0,0,0,0,0,7390,1043,17,0,0,0,0,0,0,0,0,9172,1294,21,0,0,0,0,0,0,0,0,9312,1315,21,1,0,0,0,0,0,0,0,8859,1257,19,0,1,0,0,0,0,0,0,8941,1263,20,0,0,0,0,0,0,0,0,9379,1324,20,1,1,0,0,0,0,0,0,9500,1342,20,1,0,0,0,0,0,0,0,9170,1295,21,0,1,0,0,0,0,0,0,7593,1072,17,1,0,0,0,0,0,0,0,8503,1200,19,0,0
15,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775940000000,1,0,0,0,0,0,0,9056,1278,21,2,0,0,0,0,0,0,0,9439,1333,21,1,1,0,0,0,0,0,0,9233,1304,21,0,0,0,0,0,0,0,0,9295,1312,21,1,0,0,0,0,0,0,0,7395,1044,17,0,0,0,0,0,0,0,0,7188,1015,16,1,1,0,0,0,0,0,0,7739,1092,18,0,0,0,0,0,0,0,0,9271,1309,20,1,0,0,0,0,0,0,0,8321,1178,19,1,1,0,0,0,0,0,0,9224,1307,21,1,1
16,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4.exe,133497775950000000,1,0,0,0,0,0,0,8519,1204,20,2,0,0,0,0,0,0,0,9379,1323,21,0,1,0,0,0,0,0,0,9612,1357,21,1,0,0,0,0,0,0,0,9357,1321,21,1,0,0,0,0,0,0,0,9533,1347,20,0,0,0,0,0,0,0,0,9615,1356,22,2,0,0,0,0,0,0,0,9589,1353,23,1,1,0,0,0,0,0,0,9816,1384,22,1,0,0,0,0,0,0,0,9400,1327,21,0,0,0,0,0,0,0,0,7008,978,17,1,0
